,GP550R
RamanShit,Intensity
249.598,15275.6
252.653,25196.9
255.707,25196.9
258.762,314.961
261.817,314.961
264.871,314.961
267.926,472.441
270.981,629.921
274.035,787.402
277.09,944.882
280.145,1102.36
283.199,1102.36
286.254,944.882
289.309,787.402
292.363,472.441
295.418,472.441
298.473,472.441
301.527,787.402
304.582,1574.8
307.637,2677.17
310.691,4094.49
313.746,5826.77
316.801,5196.85
319.855,4409.45
322.91,4094.49
325.965,3622.05
329.019,3464.57
332.074,2834.65
335.129,1889.76
338.183,1259.84
341.238,944.882
344.293,944.882
347.347,1102.36
350.402,1417.32
353.457,1732.28
356.511,1732.28
359.566,1574.8
362.621,1574.8
365.675,1417.32
368.73,1574.8
371.785,1732.28
374.839,2047.24
377.894,2992.13
380.949,3622.05
384.003,5196.85
387.058,4724.41
390.113,3464.57
393.167,2834.65
396.222,1732.28
399.277,944.882
402.331,472.441
405.386,314.961
408.441,314.961
411.495,157.48
414.55,157.48
417.605,157.48
420.659,157.48
423.714,157.48
426.768,157.48
429.823,314.961
432.878,314.961
435.932,472.441
438.987,472.441
442.042,314.961
445.096,157.48
448.151,157.48
451.206,314.961
454.26,314.961
457.315,472.441
460.37,472.441
463.424,629.921
466.479,629.921
469.534,629.921
472.588,787.402
475.643,944.882
478.698,944.882
481.752,1102.36
484.807,1102.36
487.862,1102.36
490.916,1259.84
493.971,1732.28
497.026,2519.69
500.08,3622.05
503.135,5354.33
506.19,8188.98
509.244,11811
512.299,16063
515.354,18425.2
518.408,21102.4
521.463,18110.2
524.518,15433.1
527.572,10551.2
530.627,7244.09
533.682,5511.81
536.736,4724.41
539.791,3937.01
542.846,2834.65
545.9,1889.76
548.955,1259.84
552.01,944.882
555.064,787.402
558.119,472.441
561.174,314.961
564.228,314.961
567.283,157.48
570.338,157.48
573.392,157.48
576.447,157.48
579.502,157.48
582.556,157.48
585.611,314.961
588.666,472.441
591.72,787.402
594.775,1102.36
597.83,1732.28
600.884,2047.24
603.939,2204.72
606.994,2204.72
610.048,2047.24
613.103,1732.28
616.158,1417.32
619.212,1102.36
622.267,1102.36
625.322,944.882
628.376,787.402
631.431,472.441
634.486,472.441
637.54,314.961
640.595,314.961
643.65,314.961
646.704,157.48
649.759,157.48
652.814,157.48
655.868,157.48
658.923,157.48
661.977,314.961
665.032,472.441
668.087,629.921
671.141,629.921
674.196,787.402
677.251,1102.36
680.305,1417.32
683.36,1417.32
686.415,1259.84
689.469,1259.84
692.524,944.882
695.579,629.921
698.633,314.961
701.688,157.48
704.743,157.48
707.797,157.48
710.852,157.48
713.907,157.48
716.961,157.48
720.016,157.48
723.071,157.48
726.125,157.48
729.18,314.961
732.235,472.441
735.289,629.921
738.344,944.882
741.399,1259.84
744.453,1417.32
747.508,1417.32
750.563,1417.32
753.617,1259.84
756.672,1102.36
759.727,1102.36
762.781,1102.36
765.836,1259.84
768.891,1259.84
771.945,1417.32
775,1417.32
778.055,1417.32
781.109,1259.84
784.164,944.882
787.219,629.921
790.273,472.441
793.328,314.961
796.383,314.961
799.437,314.961
802.492,314.961
805.547,314.961
808.601,314.961
811.656,314.961
814.711,314.961
817.765,314.961
820.82,157.48
823.875,157.48
826.929,157.48
829.984,157.48
833.039,157.48
836.093,157.48
839.148,157.48
842.203,157.48
845.257,157.48
848.312,157.48
851.367,157.48
854.421,157.48
857.476,157.48
860.531,157.48
863.585,157.48
866.64,157.48
869.695,157.48
872.749,157.48
875.804,157.48
878.859,157.48
881.913,157.48
884.968,157.48
888.023,157.48
891.077,157.48
894.132,157.48
897.186,157.48
900.241,157.48
903.296,314.961
906.35,314.961
909.405,472.441
912.46,472.441
915.514,629.921
918.569,787.402
921.624,1102.36
924.678,1417.32
927.733,1889.76
930.788,2519.69
933.842,2992.13
936.897,3622.05
939.952,4409.45
943.006,4881.89
946.061,5511.81
949.116,4881.89
952.17,4409.45
955.225,3464.57
958.28,2519.69
961.334,1732.28
964.389,1259.84
967.444,1102.36
970.498,1102.36
973.553,1102.36
976.608,1417.32
979.662,1889.76
982.717,2519.69
985.772,2834.65
988.826,2834.65
991.881,2677.17
994.936,2362.2
997.99,1732.28
1001.05,1102.36
1004.1,787.402
1007.15,472.441
1010.21,314.961
1013.26,314.961
1016.32,157.48
1019.37,157.48
1022.43,157.48
1025.48,157.48
1028.54,157.48
1031.59,157.48
1034.65,157.48
1037.7,157.48
1040.76,314.961
1043.81,314.961
1046.86,314.961
1049.92,314.961
1052.97,472.441
1056.03,472.441
1059.08,629.921
1062.14,787.402
1065.19,1102.36
1068.25,1417.32
1071.3,1732.28
1074.36,2362.2
1077.41,2677.17
1080.47,2992.13
1083.52,2677.17
1086.58,2204.72
1089.63,1574.8
1092.68,1102.36
1095.74,944.882
1098.79,629.921
1101.85,472.441
1104.9,472.441
1107.96,314.961
1111.01,314.961
1114.07,157.48
1117.12,157.48
1120.18,157.48
1123.23,157.48
1126.29,157.48
1129.34,157.48
1132.4,157.48
1135.45,314.961
1138.5,314.961
1141.56,157.48
1144.61,157.48
1147.67,157.48
1150.72,157.48
1153.78,157.48
1156.83,157.48
1159.89,157.48
1162.94,157.48
1166,157.48
1169.05,157.48
1172.11,157.48
1175.16,157.48
1178.22,157.48
1181.27,314.961
1184.32,314.961
1187.38,314.961
1190.43,314.961
1193.49,314.961
1196.54,157.48
1199.6,157.48
1202.65,157.48
1205.71,314.961
1208.76,314.961
1211.82,314.961
1214.87,314.961
1217.93,314.961
1220.98,314.961
1224.04,314.961
1227.09,314.961
1230.14,314.961
1233.2,314.961
1236.25,314.961
1239.31,314.961
1242.36,314.961
1245.42,314.961
1248.47,314.961
1251.53,314.961
1254.58,314.961
1257.64,314.961
1260.69,314.961
1263.75,314.961
1266.8,314.961
1269.86,314.961
1272.91,314.961
1275.96,314.961
1279.02,314.961
1282.07,314.961
1285.13,314.961
1288.18,314.961
1291.24,314.961
1294.29,314.961
1297.35,314.961
1300.4,314.961
1303.46,314.961
1306.51,314.961
1309.57,314.961
1312.62,472.441
1315.68,472.441
1318.73,314.961
1321.78,314.961
1324.84,314.961
1327.89,314.961
1330.95,314.961
1334,314.961
1337.06,472.441
1340.11,472.441
1343.17,472.441
1346.22,314.961
1349.28,314.961
1352.33,314.961
1355.39,314.961
1358.44,314.961
1361.5,314.961
1364.55,314.961
1367.6,314.961
1370.66,314.961
1373.71,314.961
1376.77,314.961
1379.82,314.961
1382.88,314.961
1385.93,314.961
1388.99,157.48
1392.04,157.48
1395.1,157.48
1398.15,157.48
1401.21,157.48
1404.26,157.48
1407.32,157.48
1410.37,157.48
1413.42,157.48
1416.48,157.48
1419.53,157.48
1422.59,157.48
1425.64,314.961
1428.7,314.961
1431.75,314.961
1434.81,314.961
1437.86,314.961
1440.92,314.961
1443.97,314.961
1447.03,314.961
1450.08,157.48
1453.14,157.48
1456.19,157.48
1459.24,157.48
1462.3,157.48
1465.35,157.48
1468.41,157.48
1471.46,157.48
1474.52,157.48
1477.57,157.48
1480.63,157.48
1483.68,157.48
1486.74,157.48
1489.79,157.48
1492.85,157.48
1495.9,157.48
1498.95,157.48
1502.01,157.48
1505.06,157.48
1508.12,157.48
1511.17,157.48
1514.23,157.48
1517.28,157.48
1520.34,157.48
1523.39,157.48
1526.45,314.961
1529.5,314.961
1532.56,314.961
1535.61,314.961
1538.67,314.961
1541.72,314.961
1544.77,314.961
1547.83,314.961
1550.88,314.961
1553.94,472.441
1556.99,472.441
1560.05,314.961
1563.1,314.961
1566.16,314.961
1569.21,314.961
1572.27,314.961
1575.32,314.961
1578.38,314.961
1581.43,314.961
1584.49,314.961
1587.54,314.961
1590.59,314.961
1593.65,314.961
1596.7,472.441
1599.76,472.441
1602.81,472.441
1605.87,472.441
1608.92,472.441
1611.98,472.441
1615.03,472.441
1618.09,314.961
1621.14,314.961
1624.2,314.961
1627.25,314.961
1630.31,314.961
1633.36,157.48
1636.41,157.48
1639.47,157.48
1642.52,157.48
1645.58,157.48
1648.63,157.48
1651.69,157.48
1654.74,157.48
1657.8,157.48
1660.85,157.48
1663.91,157.48
1666.96,157.48
1670.02,157.48
1673.07,314.961
1676.13,314.961
1679.18,314.961
1682.23,314.961
1685.29,314.961
1688.34,314.961
1691.4,314.961
1694.45,314.961
1697.51,314.961
1700.56,314.961
1703.62,314.961
1706.67,314.961
1709.73,314.961
1712.78,314.961
1715.84,157.48
1718.89,157.48
1721.95,157.48
1725,157.48
1728.05,157.48
1731.11,157.48
1734.16,157.48
1737.22,157.48
1740.27,157.48
1743.33,157.48
1746.38,157.48
1749.44,157.48
1752.49,157.48
1755.55,157.48
1758.6,157.48
1761.66,157.48
1764.71,157.48
1767.77,157.48
1770.82,314.961
1773.87,314.961
1776.93,314.961
1779.98,314.961
1783.04,314.961
1786.09,314.961
1789.15,314.961
1792.2,157.48
1795.26,157.48
1798.31,157.48
1801.37,157.48
1804.42,314.961
1807.48,314.961
1810.53,314.961
1813.59,314.961
1816.64,314.961
1819.69,157.48
1822.75,157.48
1825.8,157.48
1828.86,157.48
1831.91,314.961
1834.97,157.48
1838.02,157.48
1841.08,157.48
1844.13,157.48
1847.19,157.48
1850.24,157.48
1853.3,314.961
1856.35,314.961
1859.41,314.961
1862.46,314.961
1865.51,314.961
1868.57,314.961
1871.62,314.961
1874.68,314.961
1877.73,314.961
1880.79,314.961
1883.84,314.961
1886.9,314.961
1889.95,314.961
1893.01,314.961
1896.06,314.961
1899.12,314.961
1902.17,314.961
1905.23,314.961
1908.28,314.961
1911.33,314.961
1914.39,314.961
1917.44,314.961
1920.5,314.961
1923.55,314.961
1926.61,314.961
1929.66,314.961
1932.72,314.961
1935.77,314.961
1938.83,314.961
1941.88,314.961
1944.94,314.961
1947.99,314.961
1951.05,314.961
1954.1,314.961
1957.15,314.961
1960.21,314.961
1963.26,314.961
1966.32,314.961
1969.37,314.961
