,GP550R
RamanShit,Intensity
256.672,-59.0551
259.882,-59.0551
263.091,-59.0551
266.301,137.795
269.51,137.795
272.72,137.795
275.929,137.795
279.139,137.795
282.348,334.646
285.557,334.646
288.767,137.795
291.976,137.795
295.186,137.795
298.395,137.795
301.605,137.795
304.814,137.795
308.024,137.795
311.233,137.795
314.443,137.795
317.652,334.646
320.861,531.496
324.071,925.197
327.28,1318.9
330.49,6240.16
333.699,11358.3
336.909,17854.3
340.118,29271.7
343.328,11555.1
346.537,7814.96
349.747,2893.7
352.956,1515.75
356.166,1318.9
359.375,1318.9
362.584,1515.75
365.794,1515.75
369.003,2500
372.213,3287.4
375.422,3287.4
378.632,5452.76
381.841,3090.55
385.051,2106.3
388.26,1122.05
391.47,925.197
394.679,925.197
397.889,925.197
401.098,925.197
404.307,925.197
407.517,925.197
410.726,925.197
413.936,925.197
417.145,1122.05
420.355,1122.05
423.564,1318.9
426.774,1318.9
429.983,1318.9
433.193,1318.9
436.402,1318.9
439.611,1318.9
442.821,1318.9
446.03,1318.9
449.24,1318.9
452.449,1318.9
455.659,1318.9
458.868,1318.9
462.078,1318.9
465.287,1318.9
468.497,1515.75
471.706,1515.75
474.916,1515.75
478.125,1515.75
481.334,1712.6
484.544,1712.6
487.753,1712.6
490.963,1712.6
494.172,1515.75
497.382,1122.05
500.591,925.197
503.801,728.346
507.01,728.346
510.22,531.496
513.429,334.646
516.639,137.795
519.848,137.795
523.057,137.795
526.267,137.795
529.476,137.795
532.686,137.795
535.895,137.795
539.105,137.795
542.314,137.795
545.524,137.795
548.733,334.646
551.943,334.646
555.152,334.646
558.361,334.646
561.571,334.646
564.78,334.646
567.99,137.795
571.199,137.795
574.409,137.795
577.618,334.646
580.828,334.646
584.037,531.496
587.247,531.496
590.456,531.496
593.666,531.496
596.875,531.496
600.084,531.496
603.294,531.496
606.503,531.496
609.713,531.496
612.922,531.496
616.132,531.496
619.341,531.496
622.551,531.496
625.76,334.646
628.97,137.795
632.179,137.795
635.389,137.795
638.598,137.795
641.807,137.795
645.017,137.795
648.226,137.795
651.436,137.795
654.645,137.795
657.855,137.795
661.064,137.795
664.274,334.646
667.483,531.496
670.693,531.496
673.902,531.496
677.111,531.496
680.321,531.496
683.53,531.496
686.74,334.646
689.949,334.646
693.159,334.646
696.368,334.646
699.578,334.646
702.787,531.496
705.997,531.496
709.206,531.496
712.416,531.496
715.625,531.496
718.834,531.496
722.044,728.346
725.253,728.346
728.463,728.346
731.672,728.346
734.882,728.346
738.091,728.346
741.301,531.496
744.51,531.496
747.72,531.496
750.929,531.496
754.139,531.496
757.348,531.496
760.557,728.346
763.767,1122.05
766.976,1318.9
770.186,1515.75
773.395,1515.75
776.605,1515.75
779.814,1515.75
783.024,1515.75
786.233,1712.6
789.443,1712.6
792.652,2106.3
795.861,2106.3
799.071,2303.15
802.28,2303.15
805.49,2303.15
808.699,2106.3
811.909,1909.45
815.118,1515.75
818.328,1122.05
821.537,728.346
824.747,728.346
827.956,728.346
831.166,728.346
834.375,728.346
837.584,728.346
840.794,728.346
844.003,728.346
847.213,925.197
850.422,1122.05
853.632,1318.9
856.841,1318.9
860.051,1515.75
863.26,1515.75
866.47,1515.75
869.679,1515.75
872.889,1122.05
876.098,728.346
879.307,531.496
882.517,334.646
885.726,137.795
888.936,137.795
892.145,137.795
895.355,137.795
898.564,137.795
901.774,137.795
904.983,137.795
908.193,137.795
911.402,137.795
914.611,137.795
917.821,137.795
921.03,137.795
924.24,137.795
927.449,137.795
930.659,137.795
933.868,137.795
937.078,137.795
940.287,137.795
943.497,137.795
946.706,137.795
949.916,137.795
953.125,137.795
956.334,137.795
959.544,137.795
962.753,137.795
965.963,137.795
969.172,137.795
972.382,137.795
975.591,137.795
978.801,137.795
982.01,137.795
985.22,137.795
988.429,137.795
991.639,137.795
994.848,137.795
998.057,137.795
1001.27,137.795
1004.48,137.795
1007.69,137.795
1010.9,137.795
1014.1,137.795
1017.31,137.795
1020.52,137.795
1023.73,137.795
1026.94,137.795
1030.15,137.795
1033.36,334.646
1036.57,531.496
1039.78,531.496
1042.99,531.496
1046.2,531.496
1049.41,531.496
1052.62,531.496
1055.83,531.496
1059.04,531.496
1062.25,531.496
1065.46,531.496
1068.67,531.496
1071.88,531.496
1075.08,531.496
1078.29,531.496
1081.5,531.496
1084.71,531.496
1087.92,334.646
1091.13,137.795
1094.34,137.795
1097.55,137.795
1100.76,137.795
1103.97,137.795
1107.18,137.795
1110.39,137.795
1113.6,137.795
1116.81,137.795
1120.02,137.795
1123.23,137.795
1126.44,137.795
1129.65,137.795
1132.85,137.795
1136.06,137.795
1139.27,137.795
1142.48,137.795
1145.69,137.795
1148.9,137.795
1152.11,137.795
1155.32,137.795
1158.53,137.795
1161.74,137.795
1164.95,137.795
1168.16,137.795
1171.37,137.795
1174.58,137.795
1177.79,137.795
1181,137.795
1184.21,137.795
1187.42,137.795
1190.63,137.795
1193.83,137.795
1197.04,334.646
1200.25,334.646
1203.46,137.795
1206.67,137.795
1209.88,137.795
1213.09,137.795
1216.3,137.795
1219.51,137.795
1222.72,137.795
1225.93,137.795
1229.14,137.795
1232.35,137.795
1235.56,137.795
1238.77,137.795
1241.98,137.795
1245.19,137.795
1248.4,137.795
1251.6,137.795
1254.81,137.795
1258.02,137.795
1261.23,137.795
1264.44,137.795
1267.65,137.795
1270.86,137.795
1274.07,137.795
1277.28,137.795
1280.49,137.795
1283.7,137.795
1286.91,137.795
1290.12,137.795
1293.33,137.795
1296.54,137.795
1299.75,137.795
1302.96,137.795
1306.17,334.646
1309.38,531.496
1312.58,531.496
1315.79,531.496
1319,531.496
1322.21,531.496
1325.42,531.496
1328.63,531.496
1331.84,531.496
1335.05,531.496
1338.26,531.496
1341.47,531.496
1344.68,531.496
1347.89,531.496
1351.1,531.496
1354.31,531.496
1357.52,531.496
1360.73,334.646
1363.94,137.795
1367.15,137.795
1370.35,137.795
1373.56,137.795
1376.77,137.795
1379.98,137.795
1383.19,137.795
1386.4,137.795
1389.61,137.795
1392.82,137.795
1396.03,137.795
1399.24,137.795
1402.45,137.795
1405.66,137.795
1408.87,137.795
1412.08,137.795
1415.29,137.795
1418.5,137.795
1421.71,137.795
1424.92,137.795
1428.13,137.795
1431.33,137.795
1434.54,137.795
1437.75,137.795
1440.96,137.795
1444.17,137.795
1447.38,137.795
1450.59,137.795
1453.8,137.795
1457.01,137.795
1460.22,137.795
1463.43,137.795
1466.64,137.795
1469.85,137.795
1473.06,137.795
1476.27,137.795
1479.48,137.795
1482.69,137.795
1485.9,137.795
1489.1,137.795
1492.31,137.795
1495.52,137.795
1498.73,137.795
1501.94,137.795
1505.15,137.795
1508.36,137.795
1511.57,137.795
1514.78,137.795
1517.99,137.795
1521.2,137.795
1524.41,137.795
1527.62,137.795
1530.83,137.795
1534.04,137.795
1537.25,137.795
1540.46,334.646
1543.67,531.496
1546.88,531.496
1550.08,728.346
1553.29,728.346
1556.5,1122.05
1559.71,728.346
1562.92,728.346
1566.13,531.496
1569.34,531.496
1572.55,531.496
1575.76,531.496
1578.97,531.496
1582.18,531.496
1585.39,531.496
1588.6,531.496
1591.81,531.496
1595.02,728.346
1598.23,728.346
1601.44,728.346
1604.65,728.346
1607.85,728.346
1611.06,531.496
1614.27,531.496
1617.48,531.496
1620.69,531.496
1623.9,531.496
1627.11,531.496
1630.32,531.496
1633.53,334.646
1636.74,137.795
1639.95,137.795
1643.16,137.795
1646.37,137.795
1649.58,137.795
1652.79,137.795
1656,137.795
1659.21,137.795
1662.42,137.795
1665.63,137.795
1668.83,137.795
1672.04,137.795
1675.25,137.795
1678.46,137.795
1681.67,137.795
1684.88,137.795
1688.09,137.795
1691.3,137.795
1694.51,137.795
1697.72,137.795
1700.93,137.795
1704.14,137.795
1707.35,137.795
1710.56,137.795
1713.77,137.795
1716.98,137.795
1720.19,137.795
1723.4,137.795
1726.6,137.795
1729.81,137.795
1733.02,137.795
1736.23,137.795
1739.44,137.795
1742.65,137.795
1745.86,137.795
1749.07,137.795
1752.28,137.795
1755.49,137.795
1758.7,137.795
1761.91,137.795
1765.12,137.795
1768.33,137.795
1771.54,137.795
1774.75,137.795
1777.96,137.795
1781.17,137.795
1784.38,137.795
1787.58,137.795
1790.79,137.795
1794,-59.0551
1797.21,-59.0551
1800.42,-59.0551
1803.63,-59.0551
1806.84,-59.0551
1810.05,137.795
1813.26,137.795
1816.47,137.795
1819.68,137.795
1822.89,137.795
1826.1,137.795
1829.31,137.795
1832.52,137.795
1835.73,137.795
1838.94,137.795
1842.15,137.795
1845.35,137.795
1848.56,137.795
1851.77,137.795
1854.98,137.795
1858.19,137.795
1861.4,137.795
1864.61,137.795
1867.82,137.795
1871.03,137.795
1874.24,137.795
1877.45,137.795
1880.66,137.795
1883.87,137.795
1887.08,137.795
1890.29,137.795
1893.5,137.795
1896.71,137.795
1899.92,137.795
1903.13,137.795
1906.33,137.795
1909.54,137.795
1912.75,137.795
1915.96,137.795
1919.17,137.795
1922.38,137.795
1925.59,137.795
1928.8,137.795
1932.01,137.795
1935.22,137.795
1938.43,137.795
1941.64,137.795
1944.85,137.795
1948.06,137.795
1951.27,137.795
1954.48,137.795
1957.69,137.795
1960.9,137.795
1964.1,137.795
1967.31,137.795
1970.52,137.795
1973.73,137.795
1976.94,137.795
1980.15,137.795
1983.36,137.795
1986.57,137.795
1989.78,137.795
1992.99,137.795
1996.2,-59.0551
1999.41,-59.0551
2002.62,-59.0551
2005.83,-59.0551
2009.04,-59.0551
2012.25,-59.0551
2015.46,137.795
2018.67,137.795
2021.88,137.795
2025.08,137.795
2028.29,137.795
2031.5,137.795
2034.71,137.795
2037.92,137.795
2041.13,137.795
2044.34,137.795
2047.55,137.795
2050.76,137.795
2053.97,137.795
2057.18,137.795
2060.39,137.795
2063.6,137.795
2066.81,137.795
2070.02,137.795
2073.23,137.795
2076.44,137.795
2079.65,137.795
2082.85,334.646
2086.06,334.646
2089.27,334.646
2092.48,334.646
2095.69,334.646
2098.9,334.646
2102.11,334.646
2105.32,137.795
2108.53,137.795
2111.74,137.795
2114.95,137.795
2118.16,137.795
2121.37,137.795
2124.58,137.795
2127.79,137.795
2131,137.795
2134.21,137.795
2137.42,137.795
2140.63,137.795
2143.83,137.795
2147.04,137.795
2150.25,137.795
2153.46,137.795
2156.67,334.646
2159.88,334.646
2163.09,334.646
2166.3,334.646
2169.51,334.646
2172.72,137.795
2175.93,137.795
2179.14,137.795
2182.35,137.795
2185.56,137.795
2188.77,137.795
2191.98,-59.0551
2195.19,-59.0551
2198.4,-59.0551
2201.6,-59.0551
2204.81,-59.0551
2208.02,137.795
2211.23,137.795
2214.44,137.795
2217.65,137.795
2220.86,137.795
2224.07,137.795
2227.28,137.795
2230.49,137.795
2233.7,137.795
2236.91,137.795
2240.12,137.795
2243.33,137.795
2246.54,137.795
2249.75,137.795
2252.96,137.795
2256.17,137.795
2259.38,137.795
2262.58,137.795
2265.79,137.795
2269,137.795
2272.21,137.795
2275.42,137.795
2278.63,334.646
2281.84,334.646
2285.05,531.496
2288.26,531.496
