,GP550R
RamanShit,Intensity
261.755,90.5512
264.815,90.5512
267.874,90.5512
270.934,90.5512
273.994,90.5512
277.053,90.5512
280.113,90.5512
283.172,90.5512
286.232,90.5512
289.291,161.417
292.351,161.417
295.411,161.417
298.47,161.417
301.53,161.417
304.589,161.417
307.649,161.417
310.709,232.283
313.768,232.283
316.828,232.283
319.887,303.15
322.947,303.15
326.006,444.882
329.066,1011.81
332.126,2996.06
335.185,4555.12
338.245,11358.3
341.304,13059.1
344.364,4413.39
347.424,2854.33
350.483,1082.68
353.543,586.614
356.602,374.016
359.662,374.016
362.721,444.882
365.781,586.614
368.841,1153.54
371.9,1507.87
374.96,2216.54
378.019,1507.87
381.079,1224.41
384.138,728.346
387.198,374.016
390.258,374.016
393.317,374.016
396.377,374.016
399.436,374.016
402.496,374.016
405.556,374.016
408.615,374.016
411.675,374.016
414.734,444.882
417.794,444.882
420.853,444.882
423.913,444.882
426.973,444.882
430.032,444.882
433.092,444.882
436.151,374.016
439.211,374.016
442.271,303.15
445.33,232.283
448.39,232.283
451.449,232.283
454.509,303.15
457.568,303.15
460.628,303.15
463.688,303.15
466.747,303.15
469.807,303.15
472.866,303.15
475.926,303.15
478.986,303.15
482.045,303.15
485.105,232.283
488.164,232.283
491.224,232.283
494.283,90.5512
497.343,90.5512
500.403,90.5512
503.462,90.5512
506.522,90.5512
509.581,90.5512
512.641,90.5512
515.7,90.5512
518.76,90.5512
521.82,90.5512
524.879,90.5512
527.939,161.417
530.998,161.417
534.058,161.417
537.118,161.417
540.177,161.417
543.237,161.417
546.296,161.417
549.356,161.417
552.415,232.283
555.475,232.283
558.535,232.283
561.594,232.283
564.654,232.283
567.713,232.283
570.773,232.283
573.833,232.283
576.892,232.283
579.952,232.283
583.011,232.283
586.071,232.283
589.13,232.283
592.19,232.283
595.25,232.283
598.309,303.15
601.369,303.15
604.428,303.15
607.488,303.15
610.548,232.283
613.607,232.283
616.667,232.283
619.726,232.283
622.786,232.283
625.845,161.417
628.905,161.417
631.965,161.417
635.024,161.417
638.084,161.417
641.143,161.417
644.203,90.5512
647.262,90.5512
650.322,90.5512
653.382,90.5512
656.441,90.5512
659.501,90.5512
662.56,90.5512
665.62,90.5512
668.68,90.5512
671.739,90.5512
674.799,90.5512
677.858,90.5512
680.918,161.417
683.977,161.417
687.037,161.417
690.097,161.417
693.156,90.5512
696.216,90.5512
699.275,90.5512
702.335,90.5512
705.395,90.5512
708.454,90.5512
711.514,161.417
714.573,161.417
717.633,161.417
720.692,161.417
723.752,161.417
726.812,161.417
729.871,161.417
732.931,161.417
735.99,161.417
739.05,161.417
742.11,161.417
745.169,161.417
748.229,161.417
751.288,161.417
754.348,161.417
757.407,161.417
760.467,232.283
763.527,303.15
766.586,444.882
769.646,444.882
772.705,515.748
775.765,515.748
778.824,444.882
781.884,444.882
784.944,444.882
788.003,515.748
791.063,586.614
794.122,728.346
797.182,799.213
800.242,799.213
803.301,799.213
806.361,799.213
809.42,799.213
812.48,657.48
815.539,586.614
818.599,444.882
821.659,303.15
824.718,232.283
827.778,232.283
830.837,232.283
833.897,232.283
836.957,232.283
840.016,303.15
843.076,303.15
846.135,374.016
849.195,374.016
852.254,444.882
855.314,515.748
858.374,586.614
861.433,657.48
864.493,728.346
867.552,728.346
870.612,728.346
873.671,657.48
876.731,444.882
879.791,232.283
882.85,161.417
885.91,90.5512
888.969,90.5512
892.029,90.5512
895.089,90.5512
898.148,90.5512
901.208,90.5512
904.267,90.5512
907.327,90.5512
910.386,90.5512
913.446,90.5512
916.506,90.5512
919.565,90.5512
922.625,90.5512
925.684,90.5512
928.744,90.5512
931.804,90.5512
934.863,90.5512
937.923,90.5512
940.982,90.5512
944.042,161.417
947.101,161.417
950.161,161.417
953.221,161.417
956.28,161.417
959.34,161.417
962.399,90.5512
965.459,90.5512
968.519,90.5512
971.578,90.5512
974.638,90.5512
977.697,90.5512
980.757,90.5512
983.816,90.5512
986.876,90.5512
989.936,90.5512
992.995,90.5512
996.055,90.5512
999.114,90.5512
1002.17,90.5512
1005.23,90.5512
1008.29,161.417
1011.35,90.5512
1014.41,90.5512
1017.47,90.5512
1020.53,90.5512
1023.59,90.5512
1026.65,90.5512
1029.71,90.5512
1032.77,90.5512
1035.83,90.5512
1038.89,90.5512
1041.95,161.417
1045.01,161.417
1048.07,161.417
1051.13,90.5512
1054.19,90.5512
1057.25,90.5512
1060.31,90.5512
1063.37,90.5512
1066.43,90.5512
