,GP550R
RamanShit,Intensity
255.948,23.2558
259.778,23.2558
263.609,69.7674
267.44,69.7674
271.27,69.7674
275.101,69.7674
278.931,69.7674
282.762,69.7674
286.593,69.7674
290.423,69.7674
294.254,69.7674
298.085,69.7674
301.915,162.791
305.746,255.814
309.577,255.814
313.407,255.814
317.238,255.814
321.069,255.814
324.899,395.349
328.73,581.395
332.56,720.93
336.391,953.488
340.222,1186.05
344.052,1325.58
347.883,2395.35
351.714,2023.26
355.544,1279.07
359.375,1279.07
363.206,1093.02
367.036,813.953
370.867,581.395
374.698,395.349
378.528,302.326
382.359,162.791
386.19,69.7674
390.02,69.7674
393.851,69.7674
397.681,69.7674
401.512,69.7674
405.343,69.7674
409.173,69.7674
413.004,69.7674
416.835,69.7674
420.665,69.7674
424.496,69.7674
428.327,69.7674
432.157,69.7674
435.988,69.7674
439.819,69.7674
443.649,69.7674
447.48,69.7674
451.31,69.7674
455.141,69.7674
458.972,69.7674
462.802,69.7674
466.633,69.7674
470.464,116.279
474.294,209.302
478.125,209.302
481.956,209.302
485.786,255.814
489.617,255.814
493.448,255.814
497.278,255.814
501.109,348.837
504.94,255.814
508.77,162.791
512.601,116.279
516.431,116.279
520.262,116.279
524.093,116.279
527.923,116.279
531.754,116.279
535.585,209.302
539.415,395.349
543.246,581.395
547.077,627.907
550.907,1000
554.738,1372.09
558.569,674.419
562.399,534.884
566.23,302.326
570.06,209.302
573.891,116.279
577.722,69.7674
581.552,69.7674
585.383,69.7674
589.214,69.7674
593.044,69.7674
596.875,69.7674
600.706,69.7674
604.536,69.7674
608.367,69.7674
612.198,69.7674
616.028,69.7674
619.859,69.7674
623.69,116.279
627.52,209.302
631.351,255.814
635.181,348.837
639.012,255.814
642.843,255.814
646.673,209.302
650.504,116.279
654.335,69.7674
658.165,69.7674
661.996,69.7674
665.827,69.7674
669.657,69.7674
673.488,69.7674
677.319,69.7674
681.149,69.7674
684.98,69.7674
688.81,69.7674
692.641,69.7674
696.472,69.7674
700.302,69.7674
704.133,69.7674
707.964,69.7674
711.794,69.7674
715.625,69.7674
719.456,69.7674
723.286,69.7674
727.117,69.7674
730.948,69.7674
734.778,69.7674
738.609,69.7674
742.44,69.7674
746.27,69.7674
750.101,69.7674
753.931,69.7674
757.762,69.7674
761.593,69.7674
765.423,69.7674
769.254,69.7674
773.085,69.7674
776.915,69.7674
780.746,69.7674
784.577,69.7674
788.407,69.7674
792.238,69.7674
796.069,69.7674
799.899,69.7674
803.73,69.7674
807.56,69.7674
811.391,69.7674
815.222,69.7674
819.052,69.7674
822.883,69.7674
826.714,69.7674
830.544,69.7674
834.375,69.7674
838.206,69.7674
842.036,162.791
845.867,255.814
849.698,488.372
853.528,674.419
857.359,720.93
861.19,1232.56
865.02,953.488
868.851,627.907
872.681,581.395
876.512,534.884
880.343,441.86
884.173,534.884
888.004,627.907
891.835,813.953
895.665,953.488
899.496,1325.58
903.327,2534.88
907.157,3465.12
910.988,3511.63
914.819,10488.4
918.649,8813.95
922.48,3511.63
926.31,3232.56
930.141,2162.79
933.972,1000
937.802,581.395
941.633,441.86
945.464,255.814
949.294,162.791
953.125,69.7674
956.956,69.7674
960.786,69.7674
964.617,69.7674
968.448,69.7674
972.278,69.7674
976.109,69.7674
979.94,69.7674
983.77,69.7674
987.601,69.7674
991.431,69.7674
995.262,69.7674
999.093,69.7674
1002.92,69.7674
1006.75,69.7674
1010.58,69.7674
1014.42,69.7674
1018.25,69.7674
1022.08,116.279
1025.91,162.791
1029.74,209.302
1033.57,255.814
1037.4,348.837
1041.23,395.349
1045.06,441.86
1048.89,581.395
1052.72,488.372
1056.55,395.349
1060.38,302.326
1064.21,209.302
1068.04,162.791
1071.88,116.279
1075.71,69.7674
1079.54,69.7674
1083.37,69.7674
1087.2,69.7674
1091.03,69.7674
1094.86,69.7674
1098.69,69.7674
1102.52,69.7674
1106.35,69.7674
1110.18,69.7674
1114.01,69.7674
1117.84,69.7674
1121.67,69.7674
1125.5,69.7674
1129.33,69.7674
1133.17,69.7674
1137,69.7674
1140.83,69.7674
1144.66,69.7674
1148.49,69.7674
1152.32,69.7674
1156.15,69.7674
1159.98,69.7674
1163.81,69.7674
1167.64,69.7674
1171.47,69.7674
1175.3,69.7674
1179.13,69.7674
1182.96,69.7674
1186.79,69.7674
1190.63,69.7674
1194.46,69.7674
1198.29,69.7674
1202.12,69.7674
1205.95,69.7674
1209.78,69.7674
1213.61,69.7674
1217.44,69.7674
1221.27,69.7674
1225.1,69.7674
1228.93,69.7674
1232.76,69.7674
1236.59,69.7674
1240.42,69.7674
1244.25,69.7674
1248.08,69.7674
1251.92,69.7674
1255.75,69.7674
1259.58,69.7674
1263.41,69.7674
1267.24,69.7674
1271.07,69.7674
1274.9,69.7674
1278.73,69.7674
1282.56,69.7674
1286.39,69.7674
1290.22,69.7674
1294.05,69.7674
1297.88,69.7674
1301.71,69.7674
1305.54,69.7674
1309.38,69.7674
1313.21,69.7674
1317.04,69.7674
1320.87,69.7674
1324.7,69.7674
1328.53,69.7674
1332.36,69.7674
1336.19,69.7674
1340.02,69.7674
1343.85,69.7674
1347.68,69.7674
1351.51,69.7674
1355.34,69.7674
1359.17,69.7674
1363,69.7674
1366.83,69.7674
1370.67,69.7674
1374.5,69.7674
1378.33,69.7674
1382.16,69.7674
1385.99,69.7674
1389.82,69.7674
1393.65,69.7674
1397.48,69.7674
1401.31,69.7674
1405.14,69.7674
1408.97,69.7674
1412.8,69.7674
1416.63,69.7674
1420.46,69.7674
1424.29,69.7674
1428.13,69.7674
1431.96,69.7674
1435.79,69.7674
1439.62,69.7674
1443.45,69.7674
1447.28,69.7674
1451.11,69.7674
1454.94,69.7674
1458.77,69.7674
1462.6,69.7674
1466.43,69.7674
1470.26,69.7674
1474.09,69.7674
1477.92,69.7674
1481.75,69.7674
1485.58,69.7674
1489.42,69.7674
1493.25,69.7674
1497.08,69.7674
1500.91,69.7674
1504.74,69.7674
1508.57,69.7674
1512.4,69.7674
1516.23,69.7674
1520.06,69.7674
1523.89,69.7674
1527.72,69.7674
1531.55,69.7674
1535.38,69.7674
1539.21,69.7674
1543.04,69.7674
1546.88,69.7674
1550.71,69.7674
1554.54,69.7674
1558.37,69.7674
1562.2,69.7674
1566.03,69.7674
1569.86,69.7674
1573.69,69.7674
1577.52,69.7674
1581.35,69.7674
1585.18,69.7674
1589.01,69.7674
1592.84,69.7674
1596.67,69.7674
1600.5,69.7674
1604.33,69.7674
1608.17,69.7674
1612,69.7674
1615.83,69.7674
1619.66,69.7674
1623.49,69.7674
1627.32,69.7674
1631.15,69.7674
1634.98,69.7674
1638.81,69.7674
1642.64,69.7674
1646.47,69.7674
1650.3,69.7674
1654.13,69.7674
1657.96,69.7674
1661.79,69.7674
1665.63,69.7674
1669.46,69.7674
1673.29,69.7674
1677.12,69.7674
1680.95,69.7674
1684.78,69.7674
1688.61,69.7674
1692.44,69.7674
1696.27,69.7674
1700.1,69.7674
1703.93,69.7674
1707.76,69.7674
1711.59,69.7674
1715.42,69.7674
1719.25,69.7674
1723.08,69.7674
1726.92,69.7674
1730.75,69.7674
1734.58,69.7674
1738.41,69.7674
1742.24,69.7674
1746.07,69.7674
1749.9,69.7674
1753.73,69.7674
1757.56,69.7674
1761.39,69.7674
1765.22,69.7674
1769.05,69.7674
1772.88,69.7674
1776.71,69.7674
1780.54,69.7674
1784.38,69.7674
1788.21,69.7674
1792.04,69.7674
1795.87,69.7674
1799.7,69.7674
1803.53,69.7674
1807.36,69.7674
1811.19,69.7674
1815.02,69.7674
1818.85,69.7674
1822.68,69.7674
1826.51,69.7674
1830.34,69.7674
1834.17,69.7674
1838,69.7674
1841.83,69.7674
1845.67,69.7674
1849.5,69.7674
1853.33,69.7674
1857.16,69.7674
1860.99,69.7674
1864.82,69.7674
1868.65,69.7674
1872.48,69.7674
1876.31,69.7674
1880.14,69.7674
1883.97,69.7674
1887.8,69.7674
1891.63,69.7674
1895.46,69.7674
1899.29,69.7674
1903.13,69.7674
1906.96,69.7674
1910.79,69.7674
1914.62,69.7674
1918.45,69.7674
1922.28,69.7674
1926.11,69.7674
1929.94,69.7674
1933.77,69.7674
1937.6,69.7674
1941.43,69.7674
1945.26,69.7674
1949.09,69.7674
1952.92,69.7674
1956.75,69.7674
1960.58,69.7674
1964.42,69.7674
1968.25,69.7674
1972.08,69.7674
1975.91,69.7674
1979.74,69.7674
1983.57,69.7674
1987.4,69.7674
1991.23,69.7674
1995.06,69.7674
1998.89,69.7674
2002.72,69.7674
2006.55,69.7674
2010.38,69.7674
2014.21,69.7674
2018.04,69.7674
2021.88,69.7674
2025.71,69.7674
2029.54,69.7674
2033.37,69.7674
2037.2,69.7674
2041.03,69.7674
2044.86,69.7674
2048.69,69.7674
2052.52,69.7674
2056.35,116.279
2060.18,69.7674
2064.01,69.7674
2067.84,69.7674
2071.67,69.7674
2075.5,69.7674
2079.33,69.7674
2083.17,69.7674
2087,69.7674
2090.83,69.7674
2094.66,69.7674
2098.49,69.7674
2102.32,69.7674
2106.15,69.7674
2109.98,69.7674
2113.81,69.7674
2117.64,69.7674
2121.47,69.7674
2125.3,69.7674
2129.13,69.7674
2132.96,69.7674
2136.79,69.7674
2140.63,69.7674
2144.46,69.7674
2148.29,69.7674
2152.12,69.7674
2155.95,69.7674
2159.78,69.7674
