,GP550R
RamanShit,Intensity
249.598,17272.7
252.653,25177.9
255.707,25177.9
258.762,5098.81
261.817,5889.33
264.871,7786.56
267.926,1778.66
270.981,0
274.035,0
277.09,0
280.145,197.628
283.199,355.731
286.254,355.731
289.309,355.731
292.363,197.628
295.418,197.628
298.473,39.5257
301.527,39.5257
304.582,39.5257
307.637,355.731
310.691,671.937
313.746,671.937
316.801,671.937
319.855,671.937
322.91,671.937
325.965,830.04
329.019,988.142
332.074,1146.25
335.129,1620.55
338.183,1936.76
341.238,2094.86
344.293,2569.17
347.347,3201.58
350.402,4150.2
353.457,4782.61
356.511,4782.61
359.566,4782.61
362.621,4624.51
365.675,4308.3
368.73,3675.89
371.785,3201.58
374.839,2885.38
377.894,2885.38
380.949,2727.27
384.003,2569.17
387.058,2094.86
390.113,1462.45
393.167,830.04
396.222,513.834
399.277,355.731
402.331,355.731
405.386,355.731
408.441,355.731
411.495,513.834
414.55,671.937
417.605,671.937
420.659,830.04
423.714,1146.25
426.768,1936.76
429.823,2411.07
432.878,2727.27
435.932,3043.48
438.987,2252.96
442.042,1778.66
445.096,1462.45
448.151,1146.25
451.206,1304.35
454.26,1462.45
457.315,1778.66
460.37,2885.38
463.424,3833.99
466.479,4466.4
469.534,3833.99
472.588,3675.89
475.643,3043.48
478.698,2252.96
481.752,1462.45
484.807,830.04
487.862,513.834
490.916,355.731
493.971,197.628
497.026,197.628
500.08,197.628
503.135,355.731
506.19,513.834
509.244,671.937
512.299,830.04
515.354,830.04
518.408,830.04
521.463,830.04
524.518,830.04
527.572,830.04
530.627,671.937
533.682,671.937
536.736,513.834
539.791,355.731
542.846,197.628
545.9,197.628
548.955,197.628
552.01,197.628
555.064,197.628
558.119,197.628
561.174,197.628
564.228,197.628
567.283,197.628
570.338,197.628
573.392,197.628
576.447,39.5257
579.502,39.5257
582.556,39.5257
585.611,197.628
588.666,355.731
591.72,513.834
594.775,513.834
597.83,513.834
600.884,671.937
603.939,671.937
606.994,671.937
610.048,830.04
613.103,830.04
616.158,830.04
619.212,988.142
622.267,988.142
625.322,830.04
628.376,830.04
631.431,830.04
634.486,830.04
637.54,830.04
640.595,671.937
643.65,671.937
646.704,355.731
649.759,355.731
652.814,197.628
655.868,39.5257
658.923,39.5257
661.977,39.5257
665.032,197.628
668.087,197.628
671.141,197.628
674.196,355.731
677.251,671.937
680.305,830.04
683.36,1304.35
686.415,1936.76
689.469,3201.58
692.524,5098.81
