,GP550R
RamanShit,Intensity
259,238.39
261,281.734
263,238.39
265,238.39
267,195.046
269,151.703
271,151.703
273,151.703
275,151.703
277,151.703
279,151.703
281,195.046
283,195.046
285,195.046
287,195.046
289,195.046
291,195.046
293,195.046
295,195.046
297,195.046
299,195.046
301,195.046
303,195.046
305,195.046
307,195.046
309,195.046
311,195.046
313,195.046
315,195.046
317,195.046
319,195.046
321,195.046
323,195.046
325,195.046
327,195.046
329,195.046
331,195.046
333,195.046
335,195.046
337,195.046
339,238.39
341,238.39
343,325.077
345,368.421
347,455.108
349,541.796
351,541.796
353,628.483
355,541.796
357,455.108
359,411.765
361,281.734
363,195.046
365,195.046
367,195.046
369,195.046
371,195.046
373,195.046
375,195.046
377,195.046
379,238.39
381,238.39
383,281.734
385,368.421
387,455.108
389,541.796
391,541.796
393,541.796
395,541.796
397,498.452
399,455.108
401,411.765
403,238.39
405,195.046
407,195.046
409,195.046
411,195.046
413,195.046
415,195.046
417,195.046
419,195.046
421,195.046
423,195.046
425,195.046
427,195.046
429,195.046
431,238.39
433,238.39
435,281.734
437,368.421
439,455.108
441,498.452
443,715.17
445,1018.58
447,1278.64
449,1885.45
451,2925.7
453,3575.85
455,4529.41
457,7520.12
459,9557.28
461,9600.62
463,11637.8
465,9513.93
467,9427.24
469,7996.9
471,5092.88
473,3099.07
475,2145.51
477,1538.7
479,1235.29
481,1061.92
483,975.232
485,801.858
487,715.17
489,585.139
491,541.796
493,455.108
495,411.765
497,411.765
499,368.421
501,325.077
503,281.734
505,238.39
507,238.39
509,238.39
511,238.39
513,238.39
515,238.39
517,238.39
519,238.39
521,238.39
523,238.39
525,238.39
527,195.046
529,195.046
531,195.046
533,195.046
535,195.046
537,195.046
539,195.046
541,195.046
543,195.046
545,195.046
547,195.046
549,195.046
551,195.046
553,195.046
555,195.046
557,195.046
559,195.046
561,195.046
563,195.046
565,195.046
567,195.046
569,195.046
571,195.046
573,195.046
575,195.046
577,195.046
579,195.046
581,195.046
583,195.046
585,195.046
587,195.046
589,195.046
591,195.046
593,195.046
595,195.046
597,195.046
599,195.046
601,195.046
603,195.046
605,195.046
607,195.046
609,195.046
611,195.046
613,195.046
615,195.046
617,195.046
619,195.046
621,195.046
623,195.046
625,195.046
627,195.046
629,195.046
631,195.046
633,195.046
635,195.046
637,195.046
639,195.046
641,195.046
643,195.046
645,195.046
647,195.046
649,195.046
651,195.046
653,195.046
655,195.046
657,195.046
659,195.046
661,195.046
663,195.046
665,195.046
667,195.046
669,195.046
671,195.046
673,195.046
675,195.046
677,238.39
679,238.39
681,238.39
683,238.39
685,238.39
687,238.39
689,325.077
691,325.077
693,368.421
695,368.421
697,368.421
699,325.077
701,195.046
703,238.39
705,238.39
707,238.39
709,238.39
711,238.39
713,238.39
715,238.39
