,GP550R
RamanShit,Intensity
255.499,49.0196
259.369,1323.53
263.238,931.373
267.108,735.294
270.978,637.255
274.847,735.294
278.717,735.294
282.587,735.294
286.456,735.294
290.326,735.294
294.196,735.294
298.065,735.294
301.935,735.294
305.804,735.294
309.674,735.294
313.544,735.294
317.413,735.294
321.283,735.294
325.153,735.294
329.022,735.294
332.892,735.294
336.762,931.373
340.631,1127.45
344.501,1127.45
348.371,1421.57
352.24,1127.45
356.11,1029.41
359.98,931.373
363.849,735.294
367.719,735.294
371.589,735.294
375.458,735.294
379.328,833.333
383.198,1029.41
387.067,1029.41
390.937,1029.41
394.807,1127.45
398.676,1029.41
402.546,833.333
406.415,735.294
410.285,735.294
414.155,735.294
418.024,735.294
421.894,735.294
425.764,735.294
429.633,833.333
433.503,1127.45
437.373,1421.57
441.242,2009.8
445.112,4166.67
448.982,7009.8
452.851,8480.39
456.721,11911.8
460.591,22303.9
464.46,8382.35
468.33,6225.49
472.2,3872.55
476.069,3186.27
479.939,2107.84
483.809,1617.65
487.678,1323.53
491.548,1127.45
495.418,1029.41
499.287,1029.41
503.157,1029.41
507.026,1029.41
510.896,1029.41
514.766,833.333
518.635,735.294
522.505,735.294
526.375,735.294
530.244,735.294
534.114,735.294
537.984,735.294
541.853,735.294
545.723,735.294
549.593,735.294
553.462,735.294
557.332,735.294
561.202,735.294
565.071,735.294
568.941,735.294
572.811,735.294
576.68,735.294
580.55,735.294
584.42,735.294
588.289,735.294
592.159,833.333
596.029,931.373
599.898,931.373
603.768,931.373
607.637,931.373
611.507,931.373
615.377,931.373
619.246,931.373
623.116,931.373
626.986,931.373
630.855,931.373
634.725,833.333
638.595,735.294
642.464,735.294
646.334,735.294
650.204,735.294
654.073,735.294
657.943,735.294
661.813,735.294
665.682,735.294
669.552,735.294
673.422,833.333
677.291,833.333
681.161,931.373
685.031,1029.41
688.9,1029.41
692.77,1029.41
696.64,1029.41
700.509,1029.41
704.379,1029.41
708.248,931.373
712.118,931.373
715.988,833.333
719.857,735.294
723.727,735.294
727.597,735.294
731.466,735.294
735.336,735.294
739.206,735.294
743.075,735.294
746.945,735.294
750.815,735.294
754.684,735.294
758.554,735.294
762.424,735.294
766.293,735.294
770.163,735.294
774.033,735.294
777.902,735.294
781.772,735.294
785.642,833.333
789.511,931.373
793.381,1029.41
797.251,1029.41
801.12,1029.41
804.99,1323.53
808.859,1029.41
812.729,931.373
816.599,931.373
820.468,735.294
824.338,735.294
828.208,735.294
832.077,735.294
835.947,735.294
839.817,735.294
843.686,833.333
847.556,833.333
851.426,833.333
855.295,735.294
859.165,735.294
863.035,735.294
866.904,735.294
870.774,735.294
874.644,735.294
878.513,735.294
882.383,833.333
886.253,833.333
890.122,833.333
893.992,833.333
897.862,833.333
901.731,833.333
905.601,833.333
909.47,833.333
913.34,833.333
917.21,833.333
921.079,735.294
924.949,735.294
928.819,735.294
932.688,735.294
936.558,735.294
940.428,735.294
944.297,735.294
948.167,735.294
952.037,735.294
955.906,735.294
959.776,735.294
963.646,735.294
967.515,735.294
971.385,735.294
975.255,735.294
979.124,735.294
982.994,735.294
986.864,735.294
990.733,735.294
994.603,735.294
998.473,735.294
1002.34,735.294
1006.21,735.294
1010.08,735.294
1013.95,735.294
1017.82,735.294
1021.69,735.294
1025.56,735.294
1029.43,735.294
1033.3,735.294
1037.17,735.294
1041.04,735.294
1044.91,735.294
1048.78,735.294
1052.65,735.294
1056.52,735.294
1060.39,735.294
1064.26,833.333
1068.13,833.333
1072,833.333
1075.87,833.333
1079.74,833.333
1083.6,833.333
1087.47,735.294
1091.34,735.294
1095.21,735.294
1099.08,735.294
1102.95,735.294
1106.82,735.294
1110.69,735.294
1114.56,833.333
1118.43,931.373
1122.3,1029.41
1126.17,1225.49
1130.04,1323.53
1133.91,1421.57
1137.78,1617.65
1141.65,1813.73
1145.52,1813.73
1149.39,1813.73
1153.26,1813.73
1157.13,1911.76
1161,1715.69
1164.87,1323.53
1168.74,1029.41
1172.61,931.373
1176.48,833.333
1180.35,735.294
1184.22,735.294
1188.09,735.294
1191.96,735.294
1195.82,833.333
1199.69,931.373
1203.56,1029.41
1207.43,1127.45
1211.3,1127.45
1215.17,1225.49
1219.04,1225.49
1222.91,1225.49
1226.78,1225.49
1230.65,1323.53
1234.52,1421.57
1238.39,1519.61
1242.26,1715.69
1246.13,2205.88
1250,2696.08
1253.87,2794.12
1257.74,2892.16
1261.61,3284.31
1265.48,2696.08
1269.35,2500
1273.22,2205.88
1277.09,1911.76
1280.96,1323.53
1284.83,1127.45
1288.7,931.373
1292.57,931.373
1296.44,931.373
1300.31,931.373
1304.18,931.373
1308.04,931.373
1311.91,931.373
1315.78,1029.41
1319.65,1127.45
1323.52,1225.49
1327.39,1323.53
1331.26,1421.57
1335.13,1421.57
1339,1421.57
1342.87,1421.57
1346.74,1225.49
1350.61,1225.49
1354.48,1225.49
1358.35,1225.49
1362.22,1127.45
1366.09,1029.41
1369.96,1029.41
1373.83,1029.41
1377.7,833.333
1381.57,735.294
1385.44,735.294
1389.31,735.294
1393.18,735.294
1397.05,637.255
1400.92,245.098
1404.79,735.294
1408.66,735.294
1412.53,735.294
1416.4,833.333
1420.26,931.373
1424.13,931.373
1428,931.373
1431.87,1029.41
1435.74,1127.45
1439.61,1127.45
1443.48,1323.53
1447.35,1421.57
1451.22,1421.57
1455.09,1421.57
1458.96,1519.61
1462.83,1519.61
1466.7,1519.61
1470.57,1519.61
1474.44,1519.61
1478.31,1421.57
1482.18,1323.53
1486.05,1225.49
1489.92,1127.45
1493.79,1029.41
1497.66,1029.41
1501.53,931.373
1505.4,931.373
1509.27,931.373
1513.14,833.333
1517.01,735.294
1520.88,735.294
1524.75,735.294
1528.62,735.294
1532.48,735.294
1536.35,735.294
1540.22,735.294
1544.09,833.333
1547.96,931.373
1551.83,931.373
1555.7,931.373
1559.57,1029.41
1563.44,1029.41
1567.31,1029.41
1571.18,1029.41
1575.05,1127.45
1578.92,1127.45
1582.79,1127.45
1586.66,1225.49
1590.53,1225.49
