,GP550R
RamanShit,Intensity
258.696,610.236
261.755,610.236
264.815,334.646
267.874,334.646
270.934,59.0551
273.994,59.0551
277.053,59.0551
280.113,59.0551
283.172,59.0551
286.232,59.0551
289.291,59.0551
292.351,59.0551
295.411,59.0551
298.47,59.0551
301.53,59.0551
304.589,59.0551
307.649,59.0551
310.709,59.0551
313.768,59.0551
316.828,59.0551
319.887,59.0551
322.947,59.0551
326.006,59.0551
329.066,59.0551
332.126,334.646
335.185,334.646
338.245,334.646
341.304,610.236
344.364,885.827
347.424,1437.01
350.483,1437.01
353.543,1437.01
356.602,1161.42
359.662,610.236
362.721,334.646
365.781,334.646
368.841,59.0551
371.9,59.0551
374.96,59.0551
378.019,334.646
381.079,334.646
384.138,610.236
387.198,885.827
390.258,1161.42
393.317,1437.01
396.377,1437.01
399.436,1161.42
402.496,885.827
405.556,610.236
408.615,334.646
411.675,59.0551
414.734,59.0551
417.794,59.0551
420.853,59.0551
423.913,334.646
426.973,334.646
430.032,334.646
433.092,610.236
436.151,885.827
439.211,1437.01
442.271,2263.78
445.33,3641.73
448.39,5846.46
451.449,9980.31
454.509,19074.8
457.568,27893.7
460.628,53248
463.688,45531.5
466.747,30098.4
469.807,23208.7
472.866,12736.2
475.926,7775.59
478.986,5295.28
482.045,3917.32
485.105,2814.96
488.164,2263.78
491.224,1712.6
494.283,1437.01
497.343,1161.42
500.403,885.827
503.462,610.236
506.522,610.236
509.581,610.236
512.641,610.236
515.7,334.646
518.76,334.646
521.82,334.646
524.879,334.646
527.939,334.646
530.998,334.646
534.058,334.646
537.118,334.646
540.177,334.646
543.237,334.646
546.296,334.646
549.356,59.0551
552.415,59.0551
555.475,59.0551
558.535,59.0551
561.594,59.0551
564.654,59.0551
567.713,59.0551
570.773,59.0551
573.833,59.0551
576.892,59.0551
579.952,59.0551
583.011,334.646
586.071,334.646
589.13,334.646
592.19,334.646
595.25,334.646
598.309,334.646
601.369,334.646
604.428,59.0551
607.488,59.0551
610.548,59.0551
613.607,59.0551
616.667,59.0551
619.726,59.0551
622.786,334.646
625.845,334.646
628.905,334.646
631.965,334.646
635.024,334.646
638.084,334.646
641.143,334.646
644.203,334.646
647.262,334.646
650.322,334.646
653.382,334.646
