,GP550R
RamanShit,Intensity
255.607,1564.42
259.159,1196.32
262.71,1012.27
266.262,1012.27
269.813,1012.27
273.364,1012.27
276.916,1012.27
280.467,1012.27
284.019,1012.27
287.57,1012.27
291.121,1012.27
294.673,1012.27
298.224,1012.27
301.776,1012.27
305.327,1012.27
308.879,1012.27
312.43,1012.27
315.981,1012.27
319.533,1012.27
323.084,1012.27
326.636,1012.27
330.187,1012.27
333.738,1196.32
337.29,1564.42
340.841,1932.52
344.393,2484.66
347.944,3036.81
351.495,1932.52
355.047,1380.37
358.598,1012.27
362.15,1012.27
365.701,1012.27
369.252,1012.27
372.804,1196.32
376.355,1380.37
379.907,1932.52
383.458,2300.61
387.009,2300.61
390.561,2300.61
394.112,2300.61
397.664,2116.56
401.215,1564.42
404.766,1012.27
408.318,1012.27
411.869,1012.27
415.421,1012.27
418.972,1012.27
422.523,1012.27
426.075,1196.32
429.626,1564.42
433.178,2300.61
436.729,3957.06
440.28,5429.45
443.832,7453.99
447.383,15184
450.935,20889.6
454.486,41319
458.037,49969.3
461.589,20521.5
465.14,19969.3
468.692,15184
472.243,8190.18
475.794,5429.45
479.346,4141.1
482.897,3220.86
486.449,2668.71
490,2484.66
493.551,2116.56
497.103,2116.56
500.654,1932.52
504.206,1564.42
507.757,1380.37
511.308,1380.37
514.86,1196.32
518.411,1012.27
521.963,1012.27
525.514,1012.27
529.065,1012.27
532.617,1012.27
536.168,1012.27
539.72,1012.27
543.271,1012.27
546.822,1012.27
550.374,1012.27
553.925,1012.27
557.477,1012.27
561.028,1012.27
564.579,1012.27
568.131,1012.27
571.682,1012.27
575.234,1012.27
578.785,1012.27
582.336,1012.27
585.888,1012.27
589.439,1012.27
592.991,1012.27
596.542,1012.27
600.093,1012.27
603.645,1012.27
607.196,1012.27
610.748,1012.27
614.299,1012.27
617.85,1012.27
621.402,1012.27
624.953,1012.27
628.505,1012.27
632.056,1012.27
635.607,1012.27
639.159,1012.27
642.71,1012.27
646.262,1012.27
649.813,1012.27
653.364,1012.27
656.916,1012.27
660.467,1012.27
664.019,1012.27
667.57,1012.27
671.121,1012.27
674.673,1012.27
678.224,1196.32
681.776,1564.42
685.327,1748.47
688.879,1748.47
692.43,1748.47
695.981,1564.42
699.533,1564.42
703.084,1196.32
706.636,1012.27
710.187,1012.27
713.738,1012.27
717.29,1012.27
720.841,1012.27
724.393,1012.27
727.944,1012.27
731.495,1012.27
735.047,1012.27
738.598,1012.27
742.15,1012.27
745.701,1012.27
749.252,1012.27
752.804,1012.27
756.355,1012.27
759.907,1012.27
763.458,1012.27
767.009,1012.27
770.561,1012.27
774.112,1012.27
777.664,1196.32
781.215,1380.37
784.766,1748.47
788.318,1748.47
791.869,1748.47
795.421,1932.52
798.972,1196.32
802.523,1748.47
806.075,1564.42
809.626,1380.37
813.178,1380.37
816.729,1196.32
820.28,1012.27
823.832,1012.27
827.383,1012.27
830.935,1012.27
834.486,1012.27
838.037,1012.27
841.589,1012.27
845.14,1012.27
848.692,1012.27
852.243,1012.27
855.794,1012.27
859.346,1012.27
862.897,1012.27
866.449,1012.27
870,1012.27
873.551,1012.27
877.103,1012.27
880.654,1012.27
884.206,1012.27
887.757,1012.27
891.308,1012.27
894.86,1012.27
898.411,1012.27
901.963,1012.27
905.514,1012.27
909.065,1012.27
912.617,1012.27
916.168,1012.27
919.72,1012.27
923.271,1012.27
926.822,1012.27
930.374,1012.27
933.925,1012.27
937.477,1012.27
941.028,1012.27
944.579,1012.27
948.131,1012.27
951.682,1012.27
955.234,1012.27
958.785,1012.27
962.336,1012.27
965.888,1012.27
969.439,1012.27
972.991,1012.27
976.542,1012.27
980.093,1012.27
983.645,1012.27
987.196,1012.27
990.748,1012.27
994.299,1012.27
997.85,1012.27
1001.4,644.172
1004.95,1012.27
1008.5,1012.27
1012.06,1012.27
1015.61,1012.27
1019.16,1012.27
1022.71,1012.27
1026.26,1012.27
1029.81,1012.27
1033.36,1012.27
1036.92,1012.27
1040.47,1012.27
1044.02,1012.27
1047.57,1012.27
1051.12,1012.27
1054.67,1196.32
1058.22,1380.37
1061.78,1564.42
1065.33,1564.42
1068.88,1564.42
1072.43,1564.42
1075.98,1564.42
1079.53,1564.42
1083.08,1564.42
1086.64,1196.32
1090.19,1012.27
1093.74,1012.27
1097.29,1012.27
1100.84,644.172
1104.39,1012.27
1107.94,1012.27
1111.5,1012.27
1115.05,1012.27
1118.6,1012.27
1122.15,1012.27
1125.7,1012.27
1129.25,1012.27
1132.8,1012.27
1136.36,1012.27
1139.91,1196.32
1143.46,1380.37
1147.01,1564.42
1150.56,1932.52
1154.11,1932.52
1157.66,2484.66
1161.21,1932.52
1164.77,1748.47
1168.32,1564.42
1171.87,1196.32
1175.42,1012.27
1178.97,1012.27
1182.52,1012.27
1186.07,1012.27
1189.63,1012.27
1193.18,1012.27
1196.73,1012.27
1200.28,1012.27
1203.83,1012.27
1207.38,1012.27
1210.93,1012.27
1214.49,1012.27
1218.04,1012.27
1221.59,1012.27
1225.14,1012.27
1228.69,1196.32
1232.24,1012.27
1235.79,1012.27
1239.35,1012.27
1242.9,1012.27
1246.45,1012.27
1250,1012.27
1253.55,1012.27
1257.1,1012.27
1260.65,1012.27
1264.21,1012.27
1267.76,1012.27
1271.31,1012.27
1274.86,1012.27
1278.41,1012.27
1281.96,1012.27
1285.51,1012.27
1289.07,1012.27
1292.62,1012.27
1296.17,1012.27
1299.72,1012.27
1303.27,1012.27
1306.82,1012.27
1310.37,1012.27
1313.93,1012.27
1317.48,1012.27
1321.03,1012.27
1324.58,1012.27
1328.13,1012.27
1331.68,1012.27
1335.23,1012.27
1338.79,1012.27
1342.34,1012.27
1345.89,1012.27
1349.44,1012.27
1352.99,1012.27
1356.54,1012.27
1360.09,1012.27
1363.64,1012.27
1367.2,1012.27
1370.75,1012.27
1374.3,1012.27
1377.85,1012.27
1381.4,1012.27
1384.95,1012.27
1388.5,1012.27
1392.06,1012.27
1395.61,1012.27
1399.16,644.172
1402.71,1012.27
1406.26,1012.27
1409.81,1012.27
1413.36,1012.27
1416.92,1012.27
1420.47,1012.27
1424.02,1012.27
1427.57,1012.27
1431.12,1012.27
1434.67,1012.27
1438.22,1012.27
1441.78,1012.27
1445.33,1012.27
1448.88,1012.27
1452.43,1012.27
1455.98,1012.27
1459.53,1012.27
1463.08,1012.27
1466.64,1012.27
1470.19,1012.27
1473.74,1012.27
1477.29,1012.27
1480.84,1012.27
1484.39,1012.27
1487.94,1012.27
1491.5,1012.27
1495.05,1012.27
1498.6,644.172
1502.15,1012.27
1505.7,1012.27
1509.25,1012.27
1512.8,1012.27
1516.36,1012.27
1519.91,1012.27
1523.46,1012.27
1527.01,1012.27
1530.56,1012.27
1534.11,1012.27
1537.66,1012.27
1541.21,1012.27
1544.77,1012.27
1548.32,1012.27
1551.87,1012.27
