,GP550R
RamanShit,Intensity
258.696,157.48
261.755,157.48
264.815,157.48
267.874,157.48
270.934,314.961
273.994,314.961
277.053,314.961
280.113,472.441
283.172,472.441
286.232,472.441
289.291,629.921
292.351,629.921
295.411,629.921
298.47,787.402
301.53,944.882
304.589,1102.36
307.649,1417.32
310.709,1732.28
313.768,2047.24
316.828,2204.72
319.887,2519.69
322.947,2992.13
326.006,3307.09
329.066,3622.05
332.126,4409.45
335.185,5826.77
338.245,6771.65
341.304,8031.5
344.364,6614.17
347.424,5511.81
350.483,3464.57
353.543,2677.17
356.602,2677.17
359.662,2834.65
362.721,2992.13
365.781,3149.61
368.841,3464.57
371.9,2992.13
374.96,2519.69
378.019,1574.8
381.079,944.882
384.138,787.402
387.198,472.441
390.258,314.961
393.317,157.48
396.377,157.48
399.436,157.48
402.496,157.48
405.556,157.48
408.615,157.48
411.675,157.48
414.734,157.48
417.794,157.48
420.853,157.48
423.913,157.48
426.973,157.48
430.032,157.48
433.092,157.48
436.151,157.48
439.211,157.48
442.271,157.48
445.33,157.48
448.39,157.48
451.449,157.48
454.509,157.48
457.568,157.48
460.628,157.48
463.688,314.961
466.747,472.441
469.807,629.921
472.866,944.882
475.926,1102.36
478.986,1259.84
482.045,1417.32
485.105,1417.32
488.164,1574.8
491.224,1732.28
494.283,1732.28
497.343,2047.24
500.403,1574.8
503.462,1417.32
506.522,944.882
509.581,629.921
512.641,472.441
515.7,472.441
518.76,472.441
521.82,472.441
524.879,472.441
527.939,472.441
530.998,472.441
534.058,629.921
537.118,787.402
540.177,944.882
543.237,1102.36
546.296,1574.8
549.356,2047.24
552.415,2519.69
555.475,2047.24
558.535,1889.76
561.594,1574.8
564.654,1102.36
567.713,944.882
570.773,944.882
573.833,944.882
576.892,944.882
579.952,944.882
583.011,787.402
586.071,787.402
589.13,787.402
592.19,787.402
595.25,787.402
598.309,629.921
601.369,629.921
604.428,629.921
607.488,629.921
610.548,629.921
613.607,629.921
616.667,629.921
619.726,787.402
622.786,944.882
625.845,944.882
628.905,1102.36
631.965,1102.36
635.024,944.882
638.084,944.882
641.143,787.402
644.203,629.921
647.262,472.441
