,GP550R
RamanShit,Intensity
261.755,137.795
264.815,334.646
267.874,334.646
270.934,137.795
273.994,137.795
277.053,137.795
280.113,-59.0551
283.172,-59.0551
286.232,-59.0551
289.291,-59.0551
292.351,-59.0551
295.411,137.795
298.47,137.795
301.53,137.795
304.589,334.646
307.649,531.496
310.709,728.346
313.768,1122.05
316.828,1909.45
319.887,2696.85
322.947,3681.1
326.006,4074.8
329.066,4074.8
332.126,4074.8
335.185,3877.95
338.245,3287.4
341.304,2893.7
344.364,2500
347.424,2106.3
350.483,1909.45
353.543,1515.75
356.602,1318.9
359.662,925.197
362.721,531.496
365.781,531.496
368.841,334.646
371.9,334.646
374.96,137.795
378.019,137.795
381.079,137.795
384.138,334.646
387.198,531.496
390.258,531.496
393.317,531.496
396.377,531.496
399.436,728.346
402.496,925.197
405.556,1515.75
408.615,2303.15
411.675,3287.4
414.734,3877.95
417.794,4665.35
420.853,3877.95
423.913,3681.1
426.973,2893.7
430.032,1909.45
433.092,1318.9
436.151,1122.05
439.211,728.346
442.271,531.496
445.33,334.646
448.39,334.646
451.449,334.646
454.509,334.646
457.568,531.496
460.628,531.496
463.688,728.346
466.747,728.346
469.807,531.496
472.866,334.646
475.926,137.795
478.986,-59.0551
482.045,-59.0551
485.105,-59.0551
488.164,-59.0551
491.224,137.795
494.283,334.646
497.343,531.496
500.403,728.346
503.462,925.197
506.522,1318.9
509.581,1318.9
512.641,1318.9
515.7,1122.05
518.76,728.346
521.82,334.646
524.879,137.795
527.939,-59.0551
530.998,-59.0551
534.058,-59.0551
537.118,137.795
540.177,334.646
543.237,334.646
546.296,334.646
549.356,531.496
552.415,728.346
555.475,728.346
558.535,925.197
561.594,728.346
564.654,728.346
567.713,728.346
570.773,728.346
573.833,728.346
576.892,728.346
579.952,531.496
583.011,137.795
586.071,-59.0551
589.13,-59.0551
592.19,-59.0551
595.25,-59.0551
598.309,-59.0551
601.369,-59.0551
604.428,-59.0551
607.488,-59.0551
610.548,-59.0551
613.607,-59.0551
616.667,-59.0551
619.726,-59.0551
622.786,137.795
625.845,137.795
628.905,334.646
631.965,334.646
635.024,531.496
638.084,728.346
641.143,1122.05
644.203,1909.45
647.262,2893.7
650.322,4468.5
653.382,7027.56
656.441,11358.3
659.501,17066.9
662.56,22381.9
665.62,24940.9
668.68,27893.7
671.739,30846.5
674.799,23563
677.858,18838.6
680.918,13129.9
683.977,8996.06
687.037,5846.46
690.097,3484.25
693.156,2303.15
696.216,1515.75
699.275,925.197
702.335,728.346
705.395,334.646
708.454,334.646
711.514,334.646
714.573,334.646
717.633,334.646
720.692,334.646
723.752,334.646
726.812,137.795
729.871,137.795
732.931,137.795
735.99,137.795
739.05,137.795
742.11,137.795
745.169,137.795
748.229,137.795
751.288,-59.0551
754.348,-59.0551
757.407,-59.0551
760.467,-59.0551
763.527,-59.0551
766.586,-59.0551
769.646,-59.0551
772.705,-59.0551
775.765,-59.0551
778.824,-59.0551
781.884,-59.0551
784.944,-59.0551
788.003,-59.0551
