,GP550R
RamanShit,Intensity
258.696,98.0392
261.755,98.0392
264.815,98.0392
267.874,98.0392
270.934,98.0392
273.994,294.118
277.053,686.275
280.113,1666.67
283.172,2450.98
286.232,3235.29
289.291,2843.14
292.351,2450.98
295.411,2058.82
298.47,1274.51
301.53,686.275
304.589,294.118
307.649,98.0392
310.709,98.0392
313.768,98.0392
316.828,98.0392
319.887,98.0392
322.947,98.0392
326.006,98.0392
329.066,98.0392
332.126,98.0392
335.185,98.0392
338.245,98.0392
341.304,98.0392
344.364,98.0392
347.424,98.0392
350.483,294.118
353.543,294.118
356.602,294.118
359.662,294.118
362.721,294.118
365.781,294.118
368.841,294.118
371.9,294.118
374.96,294.118
378.019,294.118
381.079,490.196
384.138,686.275
387.198,882.353
390.258,1274.51
393.317,1666.67
396.377,2450.98
399.436,3431.37
402.496,4803.92
405.556,5784.31
408.615,6764.71
411.675,7549.02
414.734,8529.41
417.794,9509.8
420.853,10686.3
423.913,12058.8
426.973,13627.5
430.032,15196.1
433.092,16568.6
436.151,17156.9
439.211,17352.9
442.271,17156.9
445.33,16960.8
448.39,16176.5
451.449,14803.9
454.509,12843.1
457.568,10686.3
460.628,8333.33
463.688,6176.47
466.747,4607.84
469.807,3431.37
472.866,2450.98
475.926,1666.67
478.986,1078.43
482.045,686.275
485.105,490.196
488.164,294.118
491.224,98.0392
494.283,98.0392
497.343,98.0392
500.403,98.0392
503.462,98.0392
506.522,98.0392
509.581,98.0392
512.641,98.0392
515.7,98.0392
518.76,98.0392
521.82,98.0392
524.879,98.0392
527.939,98.0392
530.998,98.0392
534.058,98.0392
537.118,98.0392
540.177,98.0392
543.237,294.118
546.296,490.196
549.356,686.275
552.415,1078.43
555.475,1470.59
558.535,2254.9
561.594,3039.22
564.654,4019.61
567.713,5196.08
570.773,6372.55
573.833,7941.18
576.892,9509.8
579.952,11470.6
583.011,14019.6
586.071,16960.8
589.13,19705.9
592.19,22843.1
595.25,26372.5
598.309,29902
601.369,33235.3
604.428,35784.3
607.488,38333.3
610.548,38529.4
613.607,36372.5
616.667,35000
619.726,31862.7
622.786,28137.3
625.845,24215.7
628.905,20294.1
631.965,16960.8
635.024,13823.5
638.084,11274.5
641.143,8725.49
644.203,6764.71
647.262,5196.08
650.322,4019.61
653.382,3235.29
656.441,2450.98
659.501,1862.75
662.56,1470.59
665.62,1078.43
668.68,882.353
671.739,686.275
674.799,294.118
677.858,294.118
680.918,294.118
683.977,98.0392
687.037,98.0392
690.097,98.0392
693.156,98.0392
696.216,98.0392
699.275,98.0392
702.335,98.0392
705.395,98.0392
708.454,98.0392
711.514,98.0392
714.573,98.0392
717.633,98.0392
720.692,98.0392
723.752,98.0392
726.812,98.0392
729.871,98.0392
732.931,98.0392
735.99,98.0392
739.05,98.0392
742.11,98.0392
745.169,98.0392
748.229,98.0392
751.288,98.0392
754.348,98.0392
757.407,98.0392
760.467,98.0392
763.527,98.0392
766.586,98.0392
769.646,98.0392
772.705,98.0392
775.765,98.0392
778.824,98.0392
781.884,294.118
784.944,294.118
788.003,294.118
791.063,294.118
794.122,294.118
797.182,294.118
800.242,294.118
803.301,490.196
806.361,490.196
809.42,490.196
812.48,490.196
815.539,490.196
818.599,490.196
821.659,294.118
824.718,294.118
827.778,294.118
830.837,294.118
833.897,294.118
836.957,294.118
840.016,294.118
843.076,294.118
846.135,98.0392
849.195,98.0392
852.254,98.0392
855.314,98.0392
858.374,98.0392
861.433,98.0392
864.493,98.0392
867.552,98.0392
870.612,98.0392
873.671,98.0392
876.731,98.0392
879.791,98.0392
882.85,98.0392
885.91,98.0392
888.969,98.0392
892.029,98.0392
895.089,98.0392
898.148,98.0392
901.208,98.0392
904.267,98.0392
907.327,98.0392
910.386,98.0392
913.446,98.0392
916.506,98.0392
919.565,98.0392
922.625,98.0392
925.684,98.0392
928.744,98.0392
931.804,98.0392
934.863,98.0392
937.923,98.0392
940.982,98.0392
944.042,98.0392
947.101,98.0392
950.161,98.0392
953.221,98.0392
956.28,98.0392
959.34,98.0392
962.399,98.0392
965.459,98.0392
968.519,98.0392
971.578,98.0392
974.638,98.0392
977.697,98.0392
980.757,98.0392
983.816,98.0392
986.876,98.0392
989.936,98.0392
992.995,98.0392
996.055,98.0392
999.114,98.0392
1002.17,98.0392
1005.23,98.0392
1008.29,98.0392
1011.35,98.0392
1014.41,98.0392
1017.47,98.0392
1020.53,98.0392
1023.59,98.0392
1026.65,98.0392
1029.71,98.0392
1032.77,98.0392
1035.83,98.0392
1038.89,98.0392
1041.95,98.0392
1045.01,98.0392
1048.07,98.0392
1051.13,98.0392
1054.19,98.0392
1057.25,98.0392
1060.31,98.0392
1063.37,98.0392
1066.43,98.0392
1069.48,98.0392
1072.54,98.0392
1075.6,98.0392
1078.66,98.0392
1081.72,98.0392
1084.78,98.0392
1087.84,98.0392
1090.9,98.0392
1093.96,98.0392
1097.02,98.0392
1100.08,98.0392
1103.14,98.0392
1106.2,98.0392
1109.26,98.0392
1112.32,98.0392
1115.38,98.0392
1118.44,98.0392
1121.5,98.0392
1124.56,98.0392
1127.62,98.0392
1130.68,98.0392
1133.74,98.0392
1136.8,98.0392
1139.86,98.0392
1142.91,98.0392
1145.97,98.0392
1149.03,98.0392
1152.09,98.0392
1155.15,98.0392
1158.21,98.0392
1161.27,98.0392
1164.33,98.0392
1167.39,98.0392
1170.45,98.0392
1173.51,98.0392
1176.57,98.0392
1179.63,98.0392
1182.69,98.0392
1185.75,98.0392
1188.81,98.0392
1191.87,98.0392
1194.93,98.0392
1197.99,98.0392
1201.05,98.0392
1204.11,98.0392
1207.17,98.0392
1210.23,98.0392
1213.29,98.0392
1216.34,98.0392
1219.4,98.0392
