,GP550R
RamanShit,Intensity
261.817,117.647
264.871,117.647
267.926,117.647
270.981,117.647
274.035,117.647
277.09,117.647
280.145,117.647
283.199,117.647
286.254,117.647
289.309,117.647
292.363,117.647
295.418,117.647
298.473,117.647
301.527,117.647
304.582,117.647
307.637,117.647
310.691,117.647
313.746,117.647
316.801,117.647
319.855,117.647
322.91,117.647
325.965,117.647
329.019,117.647
332.074,117.647
335.129,117.647
338.183,117.647
341.238,117.647
344.293,117.647
347.347,117.647
350.402,117.647
353.457,117.647
356.511,117.647
359.566,117.647
362.621,117.647
365.675,117.647
368.73,117.647
371.785,117.647
374.839,117.647
377.894,117.647
380.949,117.647
384.003,117.647
387.058,274.51
390.113,431.373
393.167,588.235
396.222,901.961
399.277,1215.69
402.331,1686.27
405.386,2470.59
408.441,3254.9
411.495,4196.08
414.55,5137.25
417.605,6392.16
420.659,7960.78
423.714,9686.27
426.768,11568.6
429.823,13764.7
432.878,16117.6
435.932,18470.6
438.987,20823.5
442.042,22705.9
445.096,24431.4
448.151,24588.2
451.206,23176.5
454.26,22235.3
457.315,19725.5
460.37,16588.2
463.424,12823.5
466.479,9529.41
469.534,7333.33
472.588,5294.12
475.643,3725.49
478.698,2627.45
481.752,1843.14
484.807,1215.69
487.862,901.961
490.916,588.235
493.971,274.51
497.026,117.647
500.08,117.647
503.135,117.647
506.19,117.647
509.244,117.647
512.299,117.647
515.354,117.647
518.408,117.647
521.463,117.647
524.518,117.647
527.572,117.647
530.627,117.647
533.682,117.647
536.736,117.647
539.791,117.647
542.846,274.51
545.9,274.51
548.955,274.51
552.01,588.235
555.064,745.098
558.119,1058.82
561.174,1529.41
564.228,2000
567.283,2627.45
570.338,3411.76
573.392,4352.94
576.447,5450.98
579.502,6549.02
582.556,7960.78
585.611,9843.14
588.666,12039.2
591.72,14235.3
594.775,16745.1
597.83,19568.6
600.884,22549
603.939,25372.5
606.994,26941.2
610.048,28980.4
613.103,29451
616.158,27098
619.212,25843.1
622.267,22705.9
625.322,19411.8
628.376,16117.6
631.431,13137.3
634.486,10470.6
637.54,8274.51
640.595,6549.02
643.65,4823.53
646.704,3411.76
649.759,2627.45
652.814,2000
655.868,1372.55
658.923,1058.82
