,GP550R
RamanShit,Intensity
258.828,211.765
261.878,588.235
264.928,494.118
267.978,400
271.027,211.765
274.077,23.5294
277.127,23.5294
280.177,23.5294
283.226,23.5294
286.276,23.5294
289.326,117.647
292.376,211.765
295.425,494.118
298.475,964.706
301.525,1152.94
304.575,1247.06
307.624,1152.94
310.674,964.706
313.724,776.471
316.774,682.353
319.823,776.471
322.873,870.588
325.923,964.706
328.973,1247.06
332.022,1435.29
335.072,1529.41
338.122,1529.41
341.172,1435.29
344.222,1341.18
347.271,1152.94
350.321,1152.94
353.371,1152.94
356.421,1247.06
359.47,1341.18
362.52,1529.41
365.57,2000
368.62,2564.71
371.669,3223.53
374.719,3694.12
377.769,4070.59
380.819,4070.59
383.868,4070.59
386.918,4070.59
389.968,3976.47
393.018,3788.24
396.067,3788.24
399.117,3788.24
402.167,3788.24
405.217,3788.24
408.266,3788.24
411.316,3788.24
414.366,3694.12
417.416,3505.88
420.465,3129.41
423.515,2658.82
426.565,2188.24
429.615,1811.76
432.665,1717.65
435.714,1717.65
438.764,1717.65
441.814,1905.88
444.864,2188.24
447.913,2564.71
450.963,2941.18
454.013,3411.76
457.063,3882.35
460.112,4352.94
463.162,4917.65
466.212,5200
469.262,5482.35
472.311,5105.88
475.361,4635.29
478.411,3600
481.461,2564.71
484.51,2094.12
487.56,1811.76
490.61,2094.12
493.66,2094.12
496.709,2188.24
499.759,2376.47
502.809,2188.24
505.859,2000
508.909,1623.53
511.958,1058.82
515.008,588.235
518.058,400
521.108,305.882
524.157,305.882
527.207,211.765
530.257,211.765
533.307,211.765
536.356,211.765
539.406,211.765
542.456,305.882
545.506,400
548.555,588.235
551.605,964.706
554.655,1811.76
557.705,2847.06
560.754,3976.47
563.804,4917.65
566.854,5764.71
569.904,5670.59
572.953,5576.47
576.003,5764.71
579.053,5858.82
582.103,6611.76
585.152,7741.18
588.202,10094.1
591.252,10376.5
594.302,8023.53
597.352,7082.35
600.401,5294.12
603.451,4070.59
606.501,3129.41
609.551,2470.59
