,GP550R
RamanShit,Intensity
258.762,244.094
261.817,480.315
264.871,480.315
267.926,401.575
270.981,322.835
274.035,165.354
277.09,165.354
280.145,165.354
283.199,244.094
286.254,401.575
289.309,637.795
292.363,795.276
295.418,795.276
298.473,795.276
301.527,716.535
304.582,480.315
307.637,244.094
310.691,86.6142
313.746,86.6142
316.801,86.6142
319.855,86.6142
322.91,86.6142
325.965,86.6142
329.019,86.6142
332.074,165.354
335.129,244.094
338.183,244.094
341.238,322.835
344.293,322.835
347.347,322.835
350.402,401.575
353.457,480.315
356.511,637.795
359.566,795.276
362.621,795.276
365.675,716.535
368.73,716.535
371.785,480.315
374.839,401.575
377.894,322.835
380.949,322.835
384.003,322.835
387.058,322.835
390.113,322.835
393.167,165.354
396.222,165.354
399.277,86.6142
402.331,86.6142
405.386,86.6142
408.441,86.6142
411.495,165.354
414.55,244.094
417.605,480.315
420.659,637.795
423.714,637.795
426.768,637.795
429.823,637.795
432.878,637.795
435.932,795.276
438.987,1110.24
442.042,1740.16
445.096,2921.26
448.151,4574.8
451.206,6543.31
454.26,8039.37
457.315,9929.13
460.37,10086.6
463.424,8275.59
466.479,7488.19
469.534,5755.91
472.588,4102.36
475.643,2842.52
478.698,1897.64
481.752,1346.46
484.807,952.756
487.862,716.535
490.916,559.055
493.971,401.575
497.026,244.094
500.08,165.354
503.135,86.6142
506.19,86.6142
509.244,86.6142
512.299,86.6142
515.354,165.354
518.408,244.094
521.463,322.835
524.518,795.276
527.572,1503.94
530.627,2370.08
533.682,3472.44
536.736,3551.18
539.791,2685.04
542.846,2212.6
545.9,1346.46
548.955,874.016
552.01,559.055
555.064,322.835
558.119,244.094
561.174,165.354
564.228,165.354
567.283,86.6142
570.338,86.6142
573.392,86.6142
576.447,86.6142
579.502,86.6142
582.556,86.6142
585.611,86.6142
588.666,86.6142
591.72,86.6142
594.775,165.354
597.83,165.354
600.884,244.094
603.939,244.094
606.994,244.094
610.048,322.835
613.103,322.835
616.158,244.094
619.212,244.094
622.267,165.354
625.322,86.6142
628.376,86.6142
631.431,86.6142
634.486,86.6142
637.54,86.6142
640.595,165.354
643.65,165.354
646.704,165.354
649.759,165.354
652.814,165.354
655.868,165.354
658.923,165.354
661.977,165.354
665.032,165.354
668.087,165.354
671.141,244.094
674.196,244.094
677.251,322.835
680.305,322.835
683.36,244.094
686.415,244.094
689.469,165.354
692.524,165.354
695.579,86.6142
698.633,86.6142
701.688,86.6142
704.743,86.6142
707.797,86.6142
710.852,86.6142
713.907,86.6142
716.961,86.6142
720.016,86.6142
723.071,86.6142
726.125,86.6142
729.18,86.6142
732.235,86.6142
735.289,86.6142
738.344,86.6142
741.399,86.6142
744.453,165.354
747.508,244.094
750.563,322.835
753.617,480.315
756.672,559.055
759.727,874.016
762.781,1188.98
765.836,1582.68
768.891,1818.9
771.945,1897.64
775,1740.16
778.055,1503.94
781.109,952.756
784.164,559.055
787.219,322.835
790.273,165.354
793.328,165.354
796.383,165.354
799.437,165.354
802.492,165.354
805.547,165.354
808.601,165.354
811.656,86.6142
814.711,86.6142
817.765,86.6142
820.82,86.6142
823.875,86.6142
826.929,86.6142
829.984,86.6142
833.039,86.6142
836.093,86.6142
839.148,86.6142
842.203,86.6142
845.257,86.6142
848.312,86.6142
851.367,86.6142
854.421,86.6142
857.476,86.6142
860.531,86.6142
863.585,86.6142
866.64,86.6142
869.695,86.6142
872.749,86.6142
875.804,86.6142
878.859,86.6142
881.913,86.6142
884.968,86.6142
888.023,86.6142
891.077,86.6142
894.132,86.6142
897.186,86.6142
900.241,86.6142
903.296,86.6142
906.35,86.6142
909.405,86.6142
912.46,86.6142
915.514,86.6142
918.569,86.6142
921.624,244.094
924.678,86.6142
927.733,86.6142
930.788,86.6142
933.842,86.6142
936.897,86.6142
939.952,86.6142
943.006,86.6142
946.061,86.6142
949.116,86.6142
952.17,86.6142
955.225,86.6142
958.28,86.6142
961.334,86.6142
964.389,86.6142
967.444,86.6142
970.498,86.6142
973.553,86.6142
976.608,86.6142
979.662,86.6142
982.717,86.6142
985.772,86.6142
988.826,86.6142
991.881,86.6142
994.936,86.6142
997.99,86.6142
1001.05,86.6142
1004.1,86.6142
1007.15,86.6142
1010.21,86.6142
1013.26,86.6142
1016.32,86.6142
1019.37,86.6142
1022.43,86.6142
1025.48,86.6142
1028.54,86.6142
1031.59,86.6142
1034.65,86.6142
1037.7,86.6142
1040.76,86.6142
1043.81,86.6142
1046.86,86.6142
1049.92,86.6142
1052.97,86.6142
1056.03,86.6142
1059.08,86.6142
1062.14,165.354
1065.19,322.835
1068.25,637.795
1071.3,1031.5
1074.36,1346.46
1077.41,1661.42
1080.47,2133.86
1083.52,2842.52
1086.58,3866.14
1089.63,5125.98
1092.68,6464.57
1095.74,7488.19
1098.79,8039.37
1101.85,8196.85
1104.9,8196.85
1107.96,8196.85
1111.01,8039.37
1114.07,7488.19
1117.12,6700.79
1120.18,6228.35
1123.23,5992.13
1126.29,5913.39
1129.34,5834.65
1132.4,5677.17
1135.45,5440.94
1138.5,5283.46
1141.56,4968.5
1144.61,4732.28
1147.67,4496.06
1150.72,4259.84
1153.78,4023.62
1156.83,3944.88
1159.89,3944.88
1162.94,4023.62
1166,4102.36
1169.05,4259.84
1172.11,4496.06
1175.16,4811.02
1178.22,5047.24
1181.27,5283.46
1184.32,5519.69
1187.38,5677.17
1190.43,5755.91
1193.49,5755.91
1196.54,5755.91
1199.6,5677.17
1202.65,5598.43
1205.71,5362.2
1208.76,5047.24
1211.82,4653.54
1214.87,4259.84
1217.93,3866.14
1220.98,3472.44
1224.04,3078.74
1227.09,2606.3
1230.14,2212.6
1233.2,1740.16
1236.25,1425.2
1239.31,1110.24
1242.36,795.276
1245.42,559.055
1248.47,322.835
1251.53,165.354
1254.58,86.6142
1257.64,7.87402
1260.69,7.87402
1263.75,7.87402
1266.8,7.87402
1269.86,7.87402
1272.91,7.87402
1275.96,7.87402
1279.02,86.6142
1282.07,165.354
1285.13,401.575
1288.18,716.535
1291.24,1188.98
1294.29,1740.16
1297.35,2448.82
1300.4,3314.96
1303.46,4338.58
1306.51,5440.94
1309.57,6858.27
1312.62,8433.07
1315.68,9771.65
1318.73,11110.2
1321.78,12370.1
1324.84,13551.2
1327.89,14496.1
1330.95,15204.7
1334,15598.4
1337.06,15834.6
1340.11,15598.4
1343.17,15519.7
1346.22,15204.7
1349.28,14417.3
1352.33,13551.2
1355.39,12448.8
1358.44,11110.2
1361.5,9929.13
1364.55,8826.77
1367.6,7724.41
1370.66,6543.31
1373.71,5519.69
1376.77,4889.76
1379.82,4259.84
1382.88,3708.66
1385.93,3236.22
1388.99,2842.52
1392.04,2527.56
1395.1,2448.82
1398.15,2291.34
1401.21,2133.86
1404.26,2133.86
1407.32,1976.38
1410.37,1976.38
1413.42,1897.64
1416.48,1818.9
1419.53,1740.16
1422.59,1503.94
1425.64,1346.46
1428.7,1188.98
1431.75,1031.5
1434.81,795.276
1437.86,637.795
1440.92,559.055
1443.97,401.575
1447.03,401.575
1450.08,401.575
1453.14,401.575
1456.19,480.315
1459.24,559.055
1462.3,716.535
1465.35,874.016
1468.41,1110.24
1471.46,1346.46
1474.52,1661.42
1477.57,1897.64
1480.63,2212.6
1483.68,2370.08
1486.74,2606.3
1489.79,2606.3
1492.85,2606.3
1495.9,2606.3
1498.95,2527.56
1502.01,2448.82
1505.06,2212.6
1508.12,1897.64
1511.17,1740.16
1514.23,1425.2
1517.28,1267.72
1520.34,1188.98
1523.39,1031.5
1526.45,952.756
1529.5,874.016
1532.56,874.016
1535.61,874.016
1538.67,874.016
1541.72,874.016
1544.77,874.016
1547.83,874.016
1550.88,874.016
1553.94,795.276
1556.99,795.276
1560.05,795.276
1563.1,716.535
1566.16,559.055
1569.21,480.315
1572.27,480.315
1575.32,401.575
1578.38,322.835
1581.43,165.354
1584.49,165.354
1587.54,86.6142
1590.59,86.6142
1593.65,86.6142
1596.7,86.6142
1599.76,165.354
1602.81,244.094
1605.87,401.575
1608.92,559.055
1611.98,952.756
1615.03,1267.72
1618.09,1582.68
1621.14,1818.9
1624.2,2133.86
1627.25,2370.08
1630.31,2606.3
1633.36,2685.04
1636.41,2763.78
1639.47,2763.78
1642.52,2685.04
1645.58,2527.56
1648.63,2291.34
1651.69,2055.12
1654.74,1818.9
1657.8,1503.94
1660.85,1188.98
1663.91,874.016
1666.96,716.535
1670.02,480.315
1673.07,322.835
1676.13,165.354
1679.18,86.6142
1682.23,86.6142
1685.29,86.6142
1688.34,86.6142
1691.4,86.6142
1694.45,165.354
1697.51,244.094
1700.56,322.835
1703.62,480.315
1706.67,637.795
1709.73,637.795
1712.78,637.795
1715.84,637.795
1718.89,637.795
1721.95,559.055
1725,559.055
1728.05,559.055
1731.11,559.055
1734.16,559.055
1737.22,480.315
1740.27,480.315
1743.33,401.575
1746.38,244.094
1749.44,244.094
1752.49,165.354
1755.55,86.6142
