,GP550R
RamanShit,Intensity
264.815,235.294
267.874,156.863
270.934,156.863
273.994,78.4314
277.053,78.4314
280.113,78.4314
283.172,78.4314
286.232,156.863
289.291,156.863
292.351,156.863
295.411,156.863
298.47,156.863
301.53,156.863
304.589,156.863
307.649,78.4314
310.709,78.4314
313.768,78.4314
316.828,78.4314
319.887,78.4314
322.947,78.4314
326.006,78.4314
329.066,78.4314
332.126,156.863
335.185,156.863
338.245,156.863
341.304,156.863
344.364,156.863
347.424,156.863
350.483,156.863
353.543,235.294
356.602,235.294
359.662,313.725
362.721,313.725
365.781,235.294
368.841,235.294
371.9,235.294
374.96,235.294
378.019,156.863
381.079,156.863
384.138,156.863
387.198,156.863
390.258,156.863
393.317,78.4314
396.377,78.4314
399.436,78.4314
402.496,78.4314
405.556,78.4314
408.615,78.4314
411.675,78.4314
414.734,78.4314
417.794,78.4314
420.853,78.4314
423.913,78.4314
426.973,78.4314
430.032,78.4314
433.092,78.4314
436.151,156.863
439.211,156.863
442.271,235.294
445.33,392.157
448.39,627.451
451.449,1019.61
454.509,1490.2
457.568,1803.92
460.628,1960.78
463.688,1725.49
466.747,1568.63
469.807,1098.04
472.866,784.314
475.926,549.02
478.986,392.157
482.045,235.294
485.105,235.294
488.164,156.863
491.224,156.863
494.283,156.863
497.343,156.863
500.403,156.863
503.462,156.863
506.522,156.863
509.581,156.863
512.641,156.863
515.7,235.294
518.76,235.294
521.82,235.294
524.879,313.725
527.939,470.588
530.998,549.02
534.058,784.314
537.118,862.745
540.177,941.176
543.237,784.314
546.296,705.882
549.356,470.588
552.415,392.157
555.475,235.294
558.535,235.294
561.594,156.863
564.654,156.863
567.713,78.4314
570.773,78.4314
573.833,78.4314
576.892,78.4314
579.952,78.4314
583.011,78.4314
586.071,78.4314
589.13,78.4314
592.19,78.4314
595.25,78.4314
598.309,78.4314
601.369,78.4314
604.428,78.4314
607.488,78.4314
610.548,78.4314
613.607,78.4314
616.667,78.4314
619.726,78.4314
622.786,78.4314
625.845,78.4314
628.905,78.4314
631.965,78.4314
635.024,78.4314
638.084,156.863
641.143,156.863
644.203,156.863
647.262,156.863
650.322,156.863
653.382,156.863
656.441,156.863
659.501,156.863
662.56,156.863
665.62,156.863
668.68,156.863
671.739,156.863
674.799,156.863
677.858,156.863
680.918,156.863
683.977,156.863
687.037,156.863
690.097,156.863
693.156,156.863
696.216,156.863
699.275,156.863
702.335,156.863
705.395,156.863
708.454,156.863
711.514,156.863
714.573,156.863
717.633,156.863
720.692,78.4314
723.752,78.4314
726.812,78.4314
729.871,78.4314
732.931,78.4314
735.99,78.4314
