,GP550R
RamanShit,Intensity
258.629,39.5257
261.694,134.387
264.758,134.387
267.823,134.387
270.887,229.249
273.952,229.249
277.016,229.249
280.081,229.249
283.145,229.249
286.21,229.249
289.274,229.249
292.339,134.387
295.403,134.387
298.468,134.387
301.532,134.387
304.597,39.5257
307.661,39.5257
310.726,39.5257
313.79,39.5257
316.855,39.5257
319.919,39.5257
322.984,-55.336
326.048,-55.336
329.113,-55.336
332.177,-55.336
335.242,-55.336
338.306,-55.336
341.371,-55.336
344.435,-55.336
347.5,-55.336
350.565,39.5257
353.629,39.5257
356.694,39.5257
359.758,39.5257
362.823,39.5257
365.887,39.5257
368.952,39.5257
372.016,39.5257
375.081,39.5257
378.145,39.5257
381.21,39.5257
384.274,39.5257
387.339,39.5257
390.403,39.5257
393.468,39.5257
396.532,39.5257
399.597,39.5257
402.661,39.5257
405.726,39.5257
408.79,39.5257
411.855,39.5257
414.919,39.5257
417.984,39.5257
421.048,39.5257
424.113,39.5257
427.177,-55.336
430.242,-55.336
433.306,-55.336
436.371,39.5257
439.435,39.5257
442.5,39.5257
445.565,134.387
448.629,229.249
451.694,229.249
454.758,229.249
457.823,229.249
460.887,229.249
463.952,229.249
467.016,229.249
470.081,229.249
473.145,134.387
476.21,134.387
479.274,134.387
482.339,134.387
485.403,134.387
488.468,134.387
491.532,134.387
494.597,229.249
497.661,229.249
500.726,229.249
503.79,229.249
506.855,229.249
509.919,229.249
512.984,229.249
516.048,229.249
519.113,229.249
522.177,229.249
525.242,229.249
528.306,324.111
531.371,324.111
534.435,229.249
537.5,229.249
540.565,229.249
543.629,134.387
546.694,134.387
549.758,134.387
552.823,39.5257
555.887,39.5257
558.952,39.5257
562.016,39.5257
565.081,39.5257
568.145,39.5257
571.21,39.5257
574.274,39.5257
577.339,-55.336
580.403,-55.336
583.468,-55.336
586.532,-55.336
589.597,-55.336
592.661,-55.336
595.726,-55.336
598.79,-55.336
601.855,-55.336
604.919,-55.336
607.984,-55.336
611.048,-55.336
614.113,-55.336
617.177,-55.336
620.242,-55.336
623.306,-55.336
626.371,39.5257
629.435,39.5257
632.5,39.5257
635.565,39.5257
638.629,39.5257
641.694,39.5257
644.758,39.5257
647.823,39.5257
650.887,39.5257
653.952,39.5257
657.016,39.5257
660.081,39.5257
663.145,39.5257
666.21,39.5257
669.274,39.5257
672.339,39.5257
675.403,39.5257
678.468,39.5257
681.532,39.5257
684.597,39.5257
687.661,39.5257
690.726,39.5257
693.79,39.5257
696.855,39.5257
699.919,39.5257
702.984,39.5257
706.048,39.5257
709.113,39.5257
712.177,39.5257
715.242,39.5257
718.306,39.5257
721.371,39.5257
