,GP550R
RamanShit,Intensity
258.696,86.6142
261.755,86.6142
264.815,86.6142
267.874,86.6142
270.934,165.354
273.994,165.354
277.053,86.6142
280.113,86.6142
283.172,86.6142
286.232,86.6142
289.291,86.6142
292.351,86.6142
295.411,86.6142
298.47,165.354
301.53,165.354
304.589,244.094
307.649,322.835
310.709,480.315
313.768,716.535
316.828,1031.5
319.887,1503.94
322.947,2212.6
326.006,3314.96
329.066,4023.62
332.126,5125.98
335.185,4023.62
338.245,3157.48
341.304,1740.16
344.364,874.016
347.424,559.055
350.483,401.575
353.543,322.835
356.602,244.094
359.662,165.354
362.721,86.6142
365.781,86.6142
368.841,86.6142
371.9,86.6142
374.96,86.6142
378.019,165.354
381.079,244.094
384.138,322.835
387.198,559.055
390.258,952.756
393.317,1425.2
396.377,1661.42
399.436,2527.56
402.496,1503.94
405.556,1188.98
408.615,637.795
411.675,322.835
414.734,244.094
417.794,165.354
420.853,86.6142
423.913,86.6142
426.973,86.6142
430.032,86.6142
433.092,86.6142
436.151,86.6142
439.211,86.6142
442.271,86.6142
445.33,86.6142
448.39,86.6142
451.449,86.6142
454.509,86.6142
457.568,86.6142
460.628,86.6142
463.688,86.6142
466.747,86.6142
469.807,86.6142
472.866,86.6142
475.926,86.6142
478.986,86.6142
482.045,86.6142
485.105,86.6142
488.164,86.6142
491.224,86.6142
494.283,86.6142
497.343,86.6142
500.403,86.6142
503.462,86.6142
506.522,86.6142
509.581,86.6142
512.641,86.6142
515.7,86.6142
518.76,86.6142
521.82,86.6142
524.879,86.6142
527.939,86.6142
530.998,86.6142
534.058,86.6142
537.118,86.6142
540.177,86.6142
543.237,86.6142
546.296,86.6142
549.356,86.6142
552.415,86.6142
555.475,86.6142
558.535,86.6142
561.594,86.6142
564.654,86.6142
567.713,86.6142
570.773,86.6142
573.833,86.6142
576.892,86.6142
579.952,86.6142
583.011,86.6142
586.071,86.6142
589.13,86.6142
592.19,86.6142
595.25,86.6142
598.309,86.6142
601.369,86.6142
604.428,86.6142
607.488,86.6142
610.548,86.6142
613.607,86.6142
616.667,86.6142
619.726,86.6142
622.786,86.6142
625.845,86.6142
628.905,86.6142
631.965,86.6142
635.024,86.6142
638.084,86.6142
641.143,86.6142
644.203,86.6142
647.262,86.6142
650.322,86.6142
653.382,86.6142
656.441,86.6142
659.501,86.6142
662.56,86.6142
665.62,86.6142
668.68,86.6142
671.739,86.6142
674.799,86.6142
677.858,86.6142
680.918,86.6142
683.977,86.6142
687.037,86.6142
690.097,86.6142
693.156,86.6142
696.216,86.6142
699.275,86.6142
702.335,86.6142
705.395,86.6142
708.454,86.6142
711.514,86.6142
714.573,86.6142
717.633,86.6142
720.692,86.6142
723.752,86.6142
726.812,86.6142
729.871,86.6142
732.931,86.6142
735.99,86.6142
739.05,86.6142
742.11,86.6142
745.169,86.6142
748.229,86.6142
751.288,86.6142
754.348,86.6142
757.407,86.6142
760.467,86.6142
763.527,86.6142
766.586,86.6142
769.646,86.6142
772.705,86.6142
775.765,86.6142
778.824,86.6142
781.884,165.354
784.944,244.094
788.003,322.835
791.063,637.795
794.122,716.535
797.182,1267.72
800.242,637.795
803.301,480.315
806.361,244.094
809.42,86.6142
812.48,86.6142
815.539,86.6142
818.599,86.6142
821.659,86.6142
824.718,165.354
827.778,244.094
830.837,480.315
833.897,637.795
836.957,952.756
840.016,637.795
843.076,559.055
846.135,322.835
849.195,165.354
852.254,165.354
855.314,86.6142
858.374,86.6142
861.433,86.6142
864.493,86.6142
867.552,86.6142
870.612,165.354
873.671,244.094
876.731,322.835
879.791,401.575
882.85,637.795
885.91,716.535
888.969,795.276
892.029,874.016
895.089,1110.24
898.148,1976.38
901.208,3551.18
904.267,6385.83
907.327,8118.11
910.386,12606.3
913.446,17173.2
916.506,6700.79
919.565,3866.14
922.625,1740.16
925.684,952.756
928.744,559.055
931.804,480.315
934.863,322.835
937.923,322.835
940.982,244.094
944.042,165.354
947.101,165.354
950.161,86.6142
953.221,86.6142
956.28,86.6142
959.34,86.6142
962.399,86.6142
965.459,86.6142
968.519,86.6142
971.578,86.6142
974.638,86.6142
977.697,86.6142
980.757,86.6142
983.816,86.6142
986.876,86.6142
989.936,86.6142
992.995,86.6142
996.055,86.6142
999.114,86.6142
1002.17,86.6142
1005.23,86.6142
1008.29,86.6142
1011.35,86.6142
1014.41,86.6142
1017.47,86.6142
1020.53,86.6142
1023.59,86.6142
1026.65,86.6142
1029.71,86.6142
1032.77,86.6142
1035.83,86.6142
1038.89,86.6142
1041.95,86.6142
1045.01,86.6142
1048.07,86.6142
1051.13,86.6142
1054.19,86.6142
1057.25,86.6142
1060.31,86.6142
1063.37,86.6142
1066.43,86.6142
1069.48,86.6142
1072.54,86.6142
1075.6,86.6142
1078.66,86.6142
1081.72,86.6142
1084.78,86.6142
1087.84,86.6142
1090.9,86.6142
1093.96,86.6142
1097.02,86.6142
1100.08,86.6142
1103.14,86.6142
1106.2,86.6142
1109.26,86.6142
1112.32,86.6142
1115.38,86.6142
1118.44,86.6142
1121.5,86.6142
1124.56,86.6142
1127.62,86.6142
1130.68,86.6142
1133.74,86.6142
1136.8,86.6142
1139.86,86.6142
1142.91,86.6142
1145.97,86.6142
1149.03,86.6142
1152.09,86.6142
1155.15,86.6142
1158.21,86.6142
1161.27,86.6142
1164.33,86.6142
1167.39,86.6142
1170.45,86.6142
1173.51,86.6142
1176.57,86.6142
1179.63,86.6142
1182.69,86.6142
1185.75,86.6142
1188.81,86.6142
1191.87,86.6142
1194.93,86.6142
1197.99,86.6142
1201.05,86.6142
1204.11,86.6142
1207.17,86.6142
1210.23,86.6142
1213.29,86.6142
1216.34,86.6142
1219.4,86.6142
1222.46,86.6142
1225.52,86.6142
