,GP550R
RamanShit,Intensity
263.828,11.5132
267.635,11.5132
271.443,11.5132
275.251,27.9605
279.058,27.9605
282.866,27.9605
286.673,27.9605
290.481,27.9605
294.289,44.4079
298.096,60.8553
301.904,60.8553
305.711,60.8553
309.519,60.8553
313.327,110.197
317.134,159.539
320.942,225.329
324.749,340.461
328.557,570.724
332.365,718.75
336.172,866.776
339.98,1129.93
343.788,1458.88
347.595,1689.14
351.403,1935.86
355.21,2182.57
359.018,2199.01
362.826,3169.41
366.633,2889.8
370.441,1952.3
374.248,1705.59
378.056,1245.07
381.864,587.171
385.671,373.355
389.479,307.566
393.287,241.776
397.094,225.329
400.902,208.882
404.709,192.434
408.517,192.434
412.325,208.882
416.132,208.882
419.94,225.329
423.747,225.329
427.555,241.776
431.363,291.118
435.17,389.803
438.978,455.592
442.786,472.039
446.593,521.382
450.401,620.066
454.208,472.039
458.016,373.355
461.824,208.882
465.631,77.3026
469.439,27.9605
473.246,27.9605
477.054,11.5132
480.862,11.5132
484.669,27.9605
488.477,27.9605
492.285,60.8553
496.092,93.75
499.9,126.645
503.707,143.092
507.515,208.882
511.323,241.776
515.13,258.224
518.938,274.671
522.745,274.671
526.553,258.224
530.361,208.882
534.168,126.645
537.976,77.3026
541.784,77.3026
545.591,44.4079
549.399,27.9605
553.206,27.9605
557.014,27.9605
560.822,11.5132
564.629,11.5132
568.437,11.5132
572.244,11.5132
576.052,44.4079
579.86,77.3026
583.667,126.645
587.475,208.882
591.283,274.671
595.09,324.013
598.898,340.461
602.705,389.803
606.513,455.592
610.321,488.487
614.128,587.171
617.936,669.408
621.743,702.303
625.551,751.645
629.359,784.539
633.166,800.987
636.974,800.987
640.782,800.987
644.589,817.434
648.397,817.434
652.204,850.329
656.012,1097.04
659.82,1327.3
663.627,1623.36
667.435,1919.41
671.242,2527.96
675.05,2199.01
678.858,1902.96
682.665,1689.14
686.473,1245.07
690.281,1014.8
694.088,866.776
697.896,636.513
701.703,537.829
705.511,472.039
709.319,324.013
713.126,159.539
716.934,77.3026
720.741,60.8553
724.549,27.9605
728.357,11.5132
732.164,11.5132
735.972,11.5132
739.78,27.9605
743.587,27.9605
747.395,44.4079
751.202,44.4079
755.01,44.4079
758.818,44.4079
762.625,44.4079
766.433,44.4079
770.24,44.4079
774.048,44.4079
777.856,27.9605
781.663,27.9605
785.471,27.9605
789.279,27.9605
793.086,11.5132
796.894,11.5132
800.701,11.5132
804.509,11.5132
808.317,11.5132
812.124,27.9605
815.932,27.9605
819.739,27.9605
823.547,27.9605
827.355,27.9605
831.162,27.9605
834.97,27.9605
838.778,44.4079
842.585,44.4079
846.393,44.4079
850.2,44.4079
854.008,44.4079
857.816,44.4079
861.623,44.4079
865.431,44.4079
869.238,27.9605
873.046,27.9605
876.854,27.9605
880.661,27.9605
884.469,27.9605
888.277,11.5132
892.084,27.9605
895.892,27.9605
899.699,27.9605
903.507,27.9605
907.315,27.9605
911.122,27.9605
914.93,27.9605
918.737,27.9605
922.545,27.9605
926.353,27.9605
930.16,11.5132
933.968,11.5132
937.776,11.5132
941.583,27.9605
945.391,44.4079
949.198,44.4079
953.006,60.8553
956.814,77.3026
960.621,44.4079
964.429,44.4079
968.236,44.4079
972.044,44.4079
975.852,44.4079
979.659,44.4079
983.467,44.4079
987.275,60.8553
991.082,60.8553
994.89,60.8553
998.697,77.3026
1002.51,77.3026
1006.31,77.3026
1010.12,77.3026
1013.93,126.645
1017.74,175.987
1021.54,241.776
1025.35,439.145
1029.16,603.618
1032.97,620.066
1036.77,1327.3
1040.58,1179.28
1044.39,620.066
1048.2,455.592
