,GP550R
RamanShit,Intensity
261.817,748.031
264.871,1220.47
267.926,1929.13
270.981,3110.24
274.035,4527.56
277.09,6889.76
280.145,9960.63
283.199,11850.4
286.254,12795.3
289.309,11850.4
292.363,10669.3
295.418,8307.09
298.473,5708.66
301.527,4055.12
304.582,2874.02
307.637,1929.13
310.691,1456.69
313.746,1220.47
316.801,984.252
319.855,748.031
322.91,511.811
325.965,511.811
329.019,275.591
332.074,275.591
335.129,275.591
338.183,275.591
341.238,275.591
344.293,275.591
347.347,275.591
350.402,275.591
353.457,275.591
356.511,275.591
359.566,275.591
362.621,275.591
365.675,275.591
368.73,275.591
371.785,275.591
374.839,275.591
377.894,275.591
380.949,275.591
384.003,275.591
387.058,275.591
390.113,275.591
393.167,275.591
396.222,275.591
399.277,275.591
402.331,275.591
405.386,275.591
408.441,275.591
411.495,275.591
414.55,275.591
417.605,275.591
420.659,275.591
423.714,275.591
426.768,275.591
429.823,275.591
432.878,275.591
435.932,275.591
438.987,275.591
442.042,275.591
445.096,275.591
448.151,275.591
451.206,275.591
454.26,275.591
457.315,275.591
460.37,275.591
463.424,275.591
466.479,275.591
469.534,275.591
472.588,511.811
475.643,511.811
478.698,748.031
481.752,748.031
484.807,984.252
487.862,984.252
490.916,748.031
493.971,748.031
497.026,748.031
500.08,748.031
503.135,748.031
506.19,748.031
509.244,748.031
512.299,748.031
515.354,748.031
518.408,748.031
521.463,748.031
524.518,748.031
527.572,748.031
530.627,748.031
533.682,748.031
536.736,511.811
539.791,511.811
542.846,511.811
545.9,511.811
548.955,511.811
552.01,511.811
555.064,511.811
558.119,511.811
561.174,275.591
564.228,275.591
567.283,275.591
570.338,275.591
573.392,275.591
576.447,275.591
579.502,275.591
582.556,275.591
585.611,275.591
588.666,275.591
591.72,275.591
594.775,275.591
597.83,275.591
600.884,275.591
603.939,275.591
606.994,275.591
610.048,275.591
613.103,275.591
616.158,275.591
619.212,275.591
622.267,275.591
625.322,275.591
628.376,275.591
631.431,275.591
634.486,275.591
637.54,275.591
640.595,275.591
643.65,275.591
646.704,275.591
649.759,275.591
652.814,275.591
655.868,275.591
658.923,275.591
661.977,275.591
665.032,275.591
668.087,275.591
671.141,275.591
674.196,275.591
677.251,275.591
680.305,275.591
683.36,275.591
686.415,275.591
689.469,275.591
692.524,275.591
695.579,275.591
698.633,275.591
701.688,275.591
704.743,275.591
707.797,511.811
710.852,748.031
713.907,984.252
716.961,1456.69
720.016,2165.35
723.071,2401.57
726.125,2401.57
729.18,2401.57
732.235,2165.35
735.289,1692.91
738.344,1456.69
741.399,1220.47
744.453,984.252
747.508,748.031
750.563,511.811
753.617,275.591
756.672,275.591
759.727,275.591
762.781,275.591
765.836,275.591
768.891,275.591
771.945,275.591
775,275.591
778.055,275.591
781.109,275.591
784.164,275.591
787.219,275.591
790.273,275.591
793.328,275.591
796.383,275.591
799.437,275.591
802.492,275.591
805.547,275.591
808.601,275.591
811.656,275.591
814.711,275.591
817.765,275.591
820.82,275.591
823.875,275.591
826.929,275.591
829.984,275.591
833.039,275.591
836.093,275.591
839.148,275.591
842.203,275.591
845.257,275.591
848.312,275.591
851.367,275.591
854.421,275.591
857.476,275.591
860.531,275.591
863.585,275.591
866.64,275.591
869.695,275.591
872.749,275.591
875.804,275.591
878.859,275.591
881.913,275.591
884.968,275.591
888.023,275.591
891.077,275.591
894.132,275.591
897.186,275.591
900.241,275.591
903.296,275.591
906.35,275.591
909.405,275.591
912.46,275.591
915.514,275.591
918.569,275.591
921.624,275.591
924.678,275.591
927.733,275.591
930.788,275.591
933.842,275.591
936.897,275.591
939.952,275.591
943.006,275.591
946.061,275.591
949.116,275.591
952.17,275.591
955.225,275.591
958.28,275.591
961.334,275.591
964.389,275.591
967.444,275.591
970.498,275.591
973.553,275.591
976.608,275.591
979.662,275.591
982.717,275.591
985.772,275.591
988.826,275.591
991.881,275.591
994.936,275.591
997.99,275.591
1001.05,275.591
1004.1,275.591
1007.15,275.591
1010.21,275.591
1013.26,275.591
1016.32,275.591
1019.37,275.591
1022.43,275.591
1025.48,275.591
1028.54,275.591
1031.59,275.591
1034.65,275.591
1037.7,511.811
1040.76,511.811
1043.81,511.811
1046.86,748.031
1049.92,748.031
1052.97,984.252
1056.03,1220.47
1059.08,1456.69
1062.14,1692.91
1065.19,2165.35
1068.25,3110.24
1071.3,4055.12
1074.36,6181.1
1077.41,10669.3
1080.47,19645.7
1083.52,25787.4
1086.58,37126
1089.63,25787.4
1092.68,22007.9
1095.74,13031.5
1098.79,5708.66
1101.85,2874.02
1104.9,1692.91
1107.96,1220.47
1111.01,748.031
1114.07,511.811
1117.12,511.811
1120.18,275.591
1123.23,275.591
1126.29,275.591
1129.34,275.591
1132.4,275.591
1135.45,275.591
1138.5,275.591
1141.56,275.591
