,GP550R
RamanShit,Intensity
255.707,364.173
258.762,147.638
261.817,147.638
264.871,104.331
267.926,104.331
270.981,104.331
274.035,147.638
277.09,190.945
280.145,277.559
283.199,277.559
286.254,320.866
289.309,494.094
292.363,883.858
295.418,1750
298.473,3265.75
301.527,5214.57
304.582,8982.28
307.637,9242.13
310.691,6253.94
313.746,4781.5
316.801,2529.53
319.855,1403.54
322.91,883.858
325.965,624.016
329.019,537.402
332.074,450.787
335.129,364.173
338.183,320.866
341.238,277.559
344.293,234.252
347.347,190.945
350.402,147.638
353.457,147.638
356.511,147.638
359.566,147.638
362.621,147.638
365.675,147.638
368.73,147.638
371.785,147.638
374.839,147.638
377.894,147.638
380.949,277.559
384.003,450.787
387.058,667.323
390.113,450.787
393.167,407.48
396.222,407.48
399.277,364.173
402.331,407.48
405.386,450.787
408.441,494.094
411.495,710.63
414.55,927.165
417.605,1706.69
420.659,1836.61
423.714,927.165
426.768,667.323
429.823,234.252
432.878,104.331
435.932,104.331
438.987,104.331
442.042,147.638
445.096,450.787
448.151,1446.85
451.206,2183.07
454.26,3785.43
457.315,2183.07
460.37,1663.39
463.424,797.244
466.479,364.173
469.534,190.945
472.588,147.638
475.643,147.638
478.698,147.638
481.752,147.638
484.807,104.331
487.862,104.331
490.916,61.0236
493.971,61.0236
497.026,61.0236
500.08,104.331
503.135,190.945
506.19,234.252
509.244,234.252
512.299,277.559
515.354,277.559
518.408,277.559
521.463,277.559
524.518,320.866
527.572,320.866
530.627,320.866
533.682,320.866
536.736,450.787
539.791,320.866
542.846,320.866
545.9,320.866
548.955,320.866
552.01,364.173
555.064,407.48
558.119,364.173
561.174,364.173
564.228,364.173
567.283,364.173
570.338,320.866
573.392,320.866
576.447,320.866
579.502,364.173
582.556,450.787
585.611,667.323
588.666,927.165
591.72,1403.54
594.775,1490.16
597.83,1013.78
600.884,840.551
603.939,624.016
606.994,537.402
610.048,450.787
613.103,364.173
616.158,364.173
619.212,364.173
622.267,320.866
625.322,320.866
628.376,277.559
631.431,277.559
634.486,234.252
637.54,234.252
640.595,234.252
643.65,234.252
646.704,190.945
649.759,190.945
652.814,147.638
655.868,147.638
658.923,147.638
661.977,147.638
665.032,147.638
668.087,147.638
671.141,147.638
674.196,147.638
677.251,104.331
680.305,104.331
683.36,104.331
686.415,61.0236
689.469,61.0236
692.524,61.0236
695.579,61.0236
698.633,104.331
701.688,147.638
704.743,147.638
707.797,147.638
710.852,147.638
713.907,147.638
716.961,147.638
720.016,147.638
723.071,104.331
726.125,104.331
729.18,104.331
732.235,147.638
735.289,147.638
738.344,147.638
741.399,147.638
744.453,147.638
747.508,147.638
750.563,104.331
753.617,104.331
756.672,104.331
759.727,104.331
762.781,104.331
765.836,104.331
768.891,104.331
771.945,104.331
775,104.331
778.055,104.331
781.109,104.331
784.164,104.331
787.219,104.331
790.273,104.331
793.328,104.331
796.383,61.0236
799.437,61.0236
802.492,104.331
805.547,104.331
808.601,147.638
811.656,190.945
814.711,234.252
817.765,190.945
820.82,190.945
823.875,190.945
826.929,190.945
829.984,190.945
833.039,190.945
836.093,190.945
839.148,190.945
842.203,147.638
845.257,147.638
848.312,147.638
851.367,147.638
854.421,147.638
857.476,190.945
860.531,234.252
863.585,277.559
866.64,364.173
869.695,407.48
872.749,537.402
875.804,364.173
878.859,320.866
881.913,234.252
884.968,147.638
888.023,104.331
891.077,104.331
894.132,104.331
897.186,147.638
900.241,147.638
903.296,190.945
906.35,190.945
909.405,190.945
912.46,147.638
915.514,147.638
918.569,104.331
921.624,104.331
924.678,104.331
927.733,104.331
930.788,147.638
933.842,147.638
936.897,190.945
939.952,234.252
943.006,320.866
946.061,494.094
949.116,710.63
952.17,1013.78
955.225,1490.16
958.28,1750
961.334,2053.15
964.389,1750
967.444,1706.69
970.498,1446.85
973.553,970.472
976.608,667.323
979.662,450.787
982.717,320.866
985.772,277.559
988.826,190.945
991.881,147.638
994.936,104.331
997.99,61.0236
1001.05,61.0236
1004.1,61.0236
1007.15,61.0236
1010.21,104.331
1013.26,61.0236
1016.32,61.0236
1019.37,61.0236
1022.43,61.0236
1025.48,104.331
1028.54,147.638
1031.59,234.252
1034.65,277.559
1037.7,277.559
1040.76,277.559
1043.81,234.252
1046.86,147.638
1049.92,147.638
1052.97,104.331
1056.03,61.0236
1059.08,61.0236
1062.14,61.0236
1065.19,61.0236
1068.25,61.0236
1071.3,104.331
1074.36,104.331
1077.41,61.0236
1080.47,61.0236
1083.52,61.0236
1086.58,61.0236
1089.63,61.0236
1092.68,61.0236
1095.74,61.0236
