,GP550R
RamanShit,Intensity
258.696,334.646
261.755,334.646
264.815,334.646
267.874,334.646
270.934,334.646
273.994,334.646
277.053,610.236
280.113,885.827
283.172,1712.6
286.232,1988.19
289.291,1988.19
292.351,1988.19
295.411,1712.6
298.47,1712.6
301.53,1712.6
304.589,1988.19
307.649,2263.78
310.709,2539.37
313.768,2814.96
316.828,2263.78
319.887,1988.19
322.947,1161.42
326.006,885.827
329.066,610.236
332.126,334.646
335.185,334.646
338.245,334.646
341.304,334.646
344.364,334.646
347.424,334.646
350.483,610.236
353.543,885.827
356.602,1712.6
359.662,3641.73
362.721,8602.36
365.781,18248
368.841,25689
371.9,33405.5
374.96,27066.9
378.019,26791.3
381.079,24311
384.138,18523.6
387.198,12736.2
390.258,9153.54
393.317,8326.77
396.377,8326.77
399.436,8602.36
402.496,8877.95
405.556,9153.54
408.615,10255.9
411.675,9153.54
414.734,8326.77
417.794,6122.05
420.853,3090.55
423.913,1161.42
426.973,610.236
430.032,334.646
433.092,334.646
436.151,334.646
439.211,334.646
442.271,610.236
445.33,885.827
448.39,1161.42
451.449,1437.01
454.509,2539.37
457.568,4192.91
460.628,6122.05
463.688,8326.77
466.747,10255.9
469.807,14389.8
472.866,22106.3
475.926,29547.2
478.986,42775.6
482.045,44704.7
485.105,31476.4
488.164,26791.3
491.224,18523.6
494.283,12460.6
497.343,7775.59
500.403,4468.5
503.462,2814.96
506.522,1712.6
509.581,1437.01
512.641,1437.01
515.7,1437.01
518.76,1712.6
521.82,1712.6
524.879,1437.01
527.939,1161.42
530.998,610.236
534.058,334.646
537.118,334.646
540.177,610.236
543.237,885.827
546.296,1988.19
549.356,2539.37
552.415,3090.55
555.475,2263.78
558.535,1712.6
561.594,885.827
564.654,610.236
567.713,610.236
570.773,610.236
573.833,885.827
576.892,1161.42
579.952,1712.6
583.011,2539.37
586.071,3641.73
589.13,4744.09
592.19,6673.23
595.25,9429.13
598.309,13838.6
601.369,16318.9
604.428,20177.2
607.488,16318.9
610.548,15492.1
613.607,11633.9
616.667,6673.23
619.726,3917.32
622.786,2539.37
625.845,1712.6
628.905,1161.42
631.965,885.827
635.024,610.236
638.084,610.236
641.143,334.646
644.203,334.646
647.262,334.646
650.322,59.0551
653.382,59.0551
656.441,59.0551
659.501,59.0551
662.56,59.0551
665.62,59.0551
668.68,59.0551
671.739,59.0551
674.799,59.0551
677.858,59.0551
680.918,59.0551
683.977,334.646
687.037,334.646
690.097,610.236
693.156,885.827
696.216,1437.01
699.275,2814.96
702.335,5570.87
705.395,9429.13
708.454,9704.72
711.514,6673.23
714.573,5570.87
717.633,4192.91
720.692,3917.32
723.752,4192.91
726.812,5019.69
729.871,7224.41
732.931,10807.1
735.99,15492.1
739.05,18248
742.11,21555.1
745.169,18248
748.229,17972.4
751.288,15492.1
754.348,11358.3
757.407,8051.18
760.467,5570.87
763.527,3917.32
766.586,2814.96
769.646,1988.19
772.705,1712.6
775.765,1437.01
778.824,1437.01
781.884,1712.6
784.944,1988.19
788.003,3090.55
791.063,3917.32
794.122,5019.69
797.182,3917.32
800.242,3641.73
803.301,2539.37
806.361,1437.01
809.42,885.827
812.48,334.646
815.539,334.646
818.599,334.646
821.659,334.646
824.718,334.646
827.778,610.236
830.837,885.827
833.897,1437.01
836.957,1988.19
840.016,2814.96
843.076,4468.5
846.135,6673.23
849.195,11082.7
852.254,18799.2
855.314,29271.7
858.374,49114.2
861.433,51043.3
864.493,33956.7
867.552,27342.5
870.612,16318.9
873.671,10255.9
876.731,6673.23
879.791,4468.5
882.85,3090.55
885.91,1988.19
888.969,1161.42
892.029,885.827
895.089,610.236
898.148,334.646
901.208,334.646
904.267,334.646
907.327,59.0551
910.386,59.0551
913.446,59.0551
916.506,59.0551
919.565,59.0551
922.625,334.646
925.684,334.646
928.744,610.236
931.804,885.827
934.863,1161.42
937.923,1712.6
940.982,1988.19
944.042,1988.19
947.101,1712.6
950.161,1437.01
953.221,885.827
956.28,610.236
959.34,334.646
962.399,334.646
965.459,334.646
968.519,334.646
971.578,610.236
974.638,885.827
977.697,1161.42
980.757,1712.6
983.816,2814.96
986.876,4192.91
989.936,5019.69
992.995,5295.28
996.055,5019.69
999.114,4468.5
1002.17,3641.73
1005.23,2814.96
1008.29,2263.78
1011.35,1988.19
1014.41,1712.6
1017.47,1712.6
1020.53,1712.6
1023.59,1712.6
1026.65,1988.19
1029.71,2539.37
1032.77,3366.14
1035.83,5019.69
1038.89,7775.59
1041.95,9980.31
1045.01,12736.2
1048.07,9980.31
1051.13,9704.72
1054.19,7775.59
1057.25,5019.69
1060.31,3090.55
1063.37,1988.19
1066.43,1437.01
1069.48,885.827
1072.54,610.236
1075.6,610.236
1078.66,334.646
1081.72,334.646
1084.78,334.646
1087.84,334.646
1090.9,59.0551
1093.96,59.0551
1097.02,59.0551
1100.08,59.0551
1103.14,59.0551
1106.2,59.0551
1109.26,59.0551
1112.32,59.0551
1115.38,59.0551
1118.44,59.0551
1121.5,59.0551
1124.56,59.0551
1127.62,59.0551
1130.68,59.0551
1133.74,334.646
1136.8,334.646
1139.86,334.646
1142.91,334.646
1145.97,334.646
1149.03,334.646
1152.09,334.646
1155.15,334.646
1158.21,334.646
1161.27,334.646
1164.33,334.646
1167.39,334.646
1170.45,334.646
1173.51,334.646
1176.57,334.646
1179.63,334.646
1182.69,334.646
1185.75,334.646
1188.81,334.646
1191.87,334.646
1194.93,334.646
1197.99,334.646
1201.05,334.646
1204.11,334.646
1207.17,334.646
1210.23,334.646
1213.29,334.646
1216.34,334.646
1219.4,334.646
1222.46,334.646
1225.52,334.646
1228.58,334.646
1231.64,334.646
1234.7,334.646
1237.76,334.646
1240.82,334.646
1243.88,334.646
1246.94,334.646
1250,334.646
1253.06,334.646
1256.12,334.646
1259.18,334.646
1262.24,334.646
1265.3,334.646
1268.36,334.646
1271.42,334.646
1274.48,334.646
1277.54,334.646
1280.6,334.646
1283.66,334.646
1286.71,334.646
1289.77,334.646
1292.83,334.646
1295.89,334.646
1298.95,334.646
1302.01,334.646
1305.07,334.646
1308.13,334.646
1311.19,334.646
1314.25,334.646
1317.31,334.646
1320.37,59.0551
1323.43,59.0551
1326.49,59.0551
1329.55,59.0551
1332.61,59.0551
1335.67,334.646
1338.73,334.646
1341.79,334.646
1344.85,334.646
1347.91,334.646
1350.97,334.646
1354.03,334.646
1357.09,334.646
1360.14,334.646
1363.2,334.646
1366.26,334.646
1369.32,334.646
1372.38,334.646
1375.44,334.646
1378.5,334.646
1381.56,334.646
1384.62,334.646
1387.68,334.646
1390.74,334.646
1393.8,334.646
1396.86,334.646
1399.92,334.646
1402.98,334.646
1406.04,334.646
1409.1,334.646
1412.16,334.646
1415.22,334.646
1418.28,334.646
1421.34,334.646
1424.4,334.646
1427.46,334.646
1430.52,334.646
1433.57,334.646
1436.63,334.646
1439.69,334.646
1442.75,334.646
1445.81,334.646
1448.87,334.646
1451.93,334.646
1454.99,334.646
1458.05,334.646
1461.11,334.646
1464.17,334.646
1467.23,334.646
1470.29,334.646
1473.35,334.646
1476.41,334.646
1479.47,334.646
