,GP550R
RamanShit,Intensity
261.817,334.646
264.871,334.646
267.926,334.646
270.981,334.646
274.035,334.646
277.09,334.646
280.145,334.646
283.199,610.236
286.254,610.236
289.309,885.827
292.363,885.827
295.418,885.827
298.473,610.236
301.527,610.236
304.582,610.236
307.637,610.236
310.691,610.236
313.746,885.827
316.801,885.827
319.855,610.236
322.91,610.236
325.965,610.236
329.019,610.236
332.074,334.646
335.129,334.646
338.183,334.646
341.238,334.646
344.293,334.646
347.347,334.646
350.402,610.236
353.457,885.827
356.511,1161.42
359.566,2263.78
362.621,5295.28
365.675,12460.6
368.73,24862.2
371.785,32027.6
374.839,38917.3
377.894,31752
380.949,25137.8
384.003,14940.9
387.058,9704.72
390.113,7775.59
393.167,7500
396.222,6948.82
399.277,6948.82
402.331,6948.82
405.386,6948.82
408.441,6948.82
411.495,6673.23
414.55,5570.87
417.605,4192.91
420.659,2814.96
423.714,1437.01
426.768,610.236
429.823,334.646
432.878,334.646
435.932,59.0551
438.987,59.0551
442.042,59.0551
445.096,334.646
448.151,334.646
451.206,610.236
454.26,885.827
457.315,1161.42
460.37,1988.19
463.424,2539.37
466.479,2814.96
469.534,3090.55
472.588,3366.14
475.643,3917.32
478.698,5570.87
481.752,6948.82
484.807,7500
487.862,7500
490.916,7224.41
493.971,6673.23
497.026,5019.69
500.08,3366.14
503.135,2263.78
506.19,1161.42
509.244,885.827
512.299,610.236
515.354,610.236
518.408,610.236
521.463,610.236
524.518,610.236
527.572,334.646
530.627,334.646
533.682,334.646
536.736,334.646
539.791,610.236
542.846,1161.42
545.9,2814.96
548.955,4744.09
552.01,9153.54
555.064,9704.72
558.119,5019.69
561.174,3641.73
564.228,1437.01
567.283,610.236
570.338,334.646
573.392,334.646
576.447,334.646
579.502,334.646
582.556,610.236
585.611,885.827
588.666,1161.42
591.72,1437.01
594.775,1988.19
597.83,3090.55
600.884,4192.91
603.939,5019.69
606.994,5570.87
610.048,5019.69
613.103,4192.91
616.158,2814.96
619.212,1712.6
622.267,1161.42
625.322,885.827
628.376,610.236
631.431,334.646
634.486,334.646
637.54,334.646
640.595,334.646
643.65,334.646
646.704,334.646
649.759,334.646
652.814,59.0551
655.868,59.0551
658.923,59.0551
661.977,59.0551
665.032,59.0551
668.087,59.0551
671.141,59.0551
674.196,59.0551
677.251,59.0551
680.305,334.646
683.36,334.646
686.415,334.646
689.469,610.236
692.524,885.827
695.579,1437.01
698.633,2263.78
701.688,4192.91
704.743,5846.46
707.797,8051.18
710.852,5846.46
713.907,5570.87
716.961,4468.5
720.016,3366.14
723.071,3090.55
726.125,3366.14
729.18,3917.32
732.235,5019.69
735.289,6948.82
738.344,9429.13
741.399,10807.1
744.453,11909.4
747.508,10807.1
750.563,9980.31
753.617,7775.59
756.672,5570.87
759.727,3917.32
762.781,2814.96
765.836,1988.19
768.891,1437.01
771.945,885.827
775,610.236
778.055,610.236
781.109,610.236
784.164,885.827
787.219,1437.01
790.273,2539.37
793.328,3090.55
796.383,3917.32
799.437,3090.55
802.492,2814.96
805.547,1988.19
808.601,885.827
811.656,610.236
814.711,334.646
817.765,334.646
820.82,334.646
823.875,334.646
826.929,610.236
829.984,885.827
833.039,1161.42
836.093,1712.6
839.148,2539.37
842.203,3641.73
845.257,5295.28
848.312,8326.77
851.367,13563
854.421,22657.5
857.476,32027.6
860.531,52421.3
863.585,46633.9
866.64,35059.1
869.695,28444.9
872.749,17696.9
875.804,11082.7
878.859,7500
881.913,5019.69
884.968,3366.14
888.023,2263.78
891.077,1437.01
894.132,885.827
897.186,610.236
900.241,334.646
903.296,334.646
906.35,334.646
909.405,59.0551
912.46,59.0551
915.514,59.0551
918.569,334.646
921.624,334.646
924.678,334.646
927.733,610.236
930.788,1161.42
933.842,1712.6
936.897,2814.96
939.952,3641.73
943.006,4192.91
946.061,5019.69
949.116,3366.14
952.17,2814.96
955.225,1712.6
958.28,1161.42
961.334,610.236
964.389,334.646
967.444,334.646
970.498,334.646
973.553,334.646
976.608,334.646
979.662,334.646
982.717,610.236
985.772,885.827
988.826,1161.42
991.881,1161.42
994.936,1437.01
997.99,1437.01
1001.05,1161.42
1004.1,1161.42
1007.15,885.827
1010.21,610.236
1013.26,610.236
1016.32,610.236
1019.37,885.827
1022.43,1161.42
1025.48,1437.01
1028.54,1712.6
1031.59,2263.78
1034.65,3366.14
1037.7,5019.69
1040.76,7500
1043.81,9153.54
1046.86,11633.9
1049.92,9153.54
1052.97,8877.95
1056.03,7224.41
1059.08,4468.5
1062.14,3090.55
1065.19,1988.19
1068.25,1437.01
1071.3,885.827
1074.36,610.236
1077.41,610.236
1080.47,334.646
1083.52,334.646
1086.58,334.646
1089.63,334.646
1092.68,334.646
1095.74,334.646
1098.79,334.646
1101.85,334.646
1104.9,334.646
1107.96,334.646
1111.01,334.646
1114.07,334.646
1117.12,59.0551
1120.18,59.0551
1123.23,59.0551
1126.29,59.0551
1129.34,59.0551
1132.4,59.0551
1135.45,59.0551
1138.5,334.646
1141.56,334.646
1144.61,334.646
1147.67,334.646
1150.72,334.646
1153.78,334.646
1156.83,334.646
1159.89,334.646
1162.94,334.646
1166,334.646
1169.05,334.646
1172.11,334.646
1175.16,334.646
1178.22,334.646
1181.27,334.646
1184.32,334.646
1187.38,334.646
1190.43,334.646
1193.49,334.646
1196.54,334.646
1199.6,334.646
1202.65,334.646
1205.71,334.646
1208.76,334.646
1211.82,334.646
1214.87,334.646
1217.93,334.646
1220.98,334.646
1224.04,334.646
1227.09,334.646
1230.14,334.646
1233.2,334.646
1236.25,334.646
1239.31,334.646
1242.36,334.646
1245.42,334.646
1248.47,334.646
1251.53,334.646
1254.58,334.646
1257.64,334.646
1260.69,334.646
1263.75,334.646
1266.8,334.646
1269.86,334.646
1272.91,334.646
1275.96,334.646
1279.02,334.646
1282.07,334.646
1285.13,334.646
1288.18,334.646
1291.24,334.646
1294.29,334.646
1297.35,334.646
1300.4,334.646
1303.46,334.646
1306.51,334.646
1309.57,334.646
1312.62,334.646
1315.68,334.646
1318.73,334.646
1321.78,334.646
1324.84,334.646
1327.89,334.646
1330.95,334.646
1334,334.646
1337.06,334.646
1340.11,334.646
1343.17,334.646
1346.22,334.646
1349.28,334.646
1352.33,334.646
1355.39,334.646
1358.44,334.646
1361.5,334.646
1364.55,334.646
1367.6,334.646
1370.66,334.646
1373.71,334.646
1376.77,334.646
1379.82,334.646
1382.88,334.646
1385.93,334.646
1388.99,334.646
1392.04,334.646
1395.1,334.646
1398.15,334.646
1401.21,334.646
1404.26,334.646
1407.32,334.646
1410.37,334.646
1413.42,334.646
1416.48,334.646
1419.53,334.646
1422.59,334.646
1425.64,334.646
1428.7,334.646
1431.75,334.646
1434.81,334.646
1437.86,334.646
1440.92,334.646
1443.97,334.646
1447.03,334.646
1450.08,334.646
1453.14,334.646
1456.19,334.646
1459.24,334.646
1462.3,334.646
1465.35,334.646
1468.41,334.646
1471.46,334.646
1474.52,334.646
1477.57,334.646
1480.63,334.646
1483.68,334.646
1486.74,334.646
1489.79,334.646
1492.85,334.646
1495.9,334.646
1498.95,334.646
1502.01,334.646
1505.06,334.646
1508.12,334.646
1511.17,334.646
1514.23,334.646
1517.28,334.646
1520.34,334.646
1523.39,334.646
1526.45,334.646
1529.5,334.646
1532.56,334.646
1535.61,334.646
1538.67,334.646
1541.72,334.646
1544.77,334.646
1547.83,334.646
1550.88,334.646
1553.94,334.646
1556.99,334.646
1560.05,334.646
1563.1,334.646
1566.16,334.646
1569.21,334.646
1572.27,334.646
1575.32,334.646
1578.38,334.646
1581.43,334.646
1584.49,334.646
1587.54,334.646
1590.59,334.646
1593.65,334.646
1596.7,334.646
1599.76,334.646
1602.81,334.646
1605.87,334.646
1608.92,334.646
1611.98,334.646
1615.03,334.646
1618.09,334.646
