,GP550R
RamanShit,Intensity
264.815,19.685
267.874,19.685
270.934,19.685
273.994,19.685
277.053,19.685
280.113,90.5512
283.172,161.417
286.232,232.283
289.291,303.15
292.351,444.882
295.411,728.346
298.47,1153.54
301.53,1437.01
304.589,2003.94
307.649,2074.8
310.709,1366.14
313.768,1082.68
316.828,657.48
319.887,374.016
322.947,232.283
326.006,161.417
329.066,90.5512
332.126,90.5512
335.185,19.685
338.245,19.685
341.304,19.685
344.364,19.685
347.424,19.685
350.483,19.685
353.543,19.685
356.602,19.685
359.662,-51.1811
362.721,-51.1811
365.781,-51.1811
368.841,-51.1811
371.9,-51.1811
374.96,-51.1811
378.019,-51.1811
381.079,-51.1811
384.138,-51.1811
387.198,19.685
390.258,19.685
393.317,19.685
396.377,19.685
399.436,19.685
402.496,19.685
405.556,19.685
408.615,19.685
411.675,19.685
414.734,19.685
417.794,19.685
420.853,19.685
423.913,19.685
426.973,19.685
430.032,19.685
433.092,19.685
436.151,19.685
439.211,19.685
442.271,19.685
445.33,19.685
448.39,19.685
451.449,19.685
454.509,19.685
457.568,19.685
460.628,19.685
463.688,19.685
466.747,19.685
469.807,19.685
472.866,19.685
475.926,19.685
478.986,19.685
482.045,19.685
485.105,19.685
488.164,19.685
491.224,19.685
494.283,19.685
497.343,19.685
500.403,-51.1811
503.462,-51.1811
506.522,-51.1811
509.581,-51.1811
512.641,-51.1811
515.7,-51.1811
518.76,-51.1811
521.82,-51.1811
524.879,-51.1811
527.939,-51.1811
530.998,-51.1811
534.058,-51.1811
537.118,-51.1811
540.177,19.685
543.237,19.685
546.296,19.685
549.356,19.685
552.415,19.685
555.475,19.685
558.535,19.685
561.594,19.685
564.654,-51.1811
567.713,-51.1811
570.773,-51.1811
573.833,-51.1811
576.892,-51.1811
579.952,-51.1811
583.011,19.685
586.071,19.685
589.13,19.685
592.19,19.685
595.25,19.685
598.309,19.685
601.369,19.685
604.428,19.685
607.488,19.685
610.548,19.685
613.607,19.685
616.667,19.685
619.726,19.685
622.786,19.685
625.845,19.685
628.905,19.685
631.965,19.685
635.024,19.685
638.084,19.685
641.143,19.685
644.203,19.685
647.262,-51.1811
650.322,-51.1811
653.382,-51.1811
656.441,-51.1811
659.501,-51.1811
662.56,-51.1811
665.62,-51.1811
668.68,-51.1811
671.739,-51.1811
674.799,-51.1811
677.858,-51.1811
680.918,-51.1811
683.977,-51.1811
687.037,-51.1811
690.097,19.685
693.156,19.685
696.216,19.685
699.275,19.685
702.335,19.685
705.395,19.685
708.454,19.685
711.514,19.685
714.573,19.685
717.633,19.685
720.692,90.5512
723.752,161.417
726.812,303.15
729.871,444.882
732.931,870.079
735.99,444.882
739.05,303.15
742.11,161.417
745.169,90.5512
748.229,19.685
751.288,19.685
754.348,19.685
757.407,19.685
760.467,19.685
763.527,-51.1811
766.586,-51.1811
769.646,-51.1811
772.705,-51.1811
775.765,-51.1811
778.824,-51.1811
781.884,-51.1811
784.944,-51.1811
788.003,-51.1811
791.063,-51.1811
794.122,-51.1811
797.182,-51.1811
800.242,-51.1811
803.301,-51.1811
806.361,-51.1811
809.42,-51.1811
812.48,19.685
815.539,19.685
818.599,19.685
821.659,19.685
824.718,19.685
827.778,19.685
830.837,19.685
833.897,19.685
836.957,19.685
840.016,19.685
843.076,19.685
846.135,19.685
849.195,19.685
852.254,19.685
855.314,19.685
858.374,19.685
861.433,19.685
864.493,19.685
867.552,19.685
870.612,-51.1811
873.671,-51.1811
876.731,-51.1811
879.791,-51.1811
882.85,-51.1811
885.91,-51.1811
888.969,19.685
892.029,19.685
895.089,19.685
898.148,19.685
901.208,19.685
904.267,19.685
907.327,19.685
910.386,19.685
913.446,19.685
916.506,19.685
919.565,19.685
922.625,19.685
925.684,19.685
928.744,19.685
931.804,19.685
934.863,19.685
937.923,19.685
940.982,19.685
944.042,19.685
947.101,19.685
950.161,19.685
953.221,19.685
956.28,19.685
959.34,19.685
962.399,19.685
965.459,19.685
968.519,19.685
971.578,19.685
974.638,19.685
977.697,19.685
980.757,-51.1811
983.816,-51.1811
986.876,-51.1811
989.936,-51.1811
992.995,-51.1811
996.055,-51.1811
999.114,-51.1811
1002.17,-51.1811
1005.23,-51.1811
1008.29,-51.1811
1011.35,-51.1811
1014.41,-51.1811
1017.47,-51.1811
1020.53,-51.1811
1023.59,19.685
1026.65,19.685
1029.71,19.685
1032.77,19.685
1035.83,19.685
1038.89,19.685
1041.95,90.5512
1045.01,90.5512
1048.07,90.5512
1051.13,90.5512
1054.19,161.417
1057.25,161.417
1060.31,161.417
1063.37,232.283
1066.43,303.15
1069.48,374.016
1072.54,444.882
1075.6,586.614
1078.66,799.213
1081.72,1224.41
1084.78,2003.94
1087.84,3421.26
1090.9,5972.44
1093.96,7602.36
1097.02,11074.8
1100.08,7460.63
1103.14,5476.38
1106.2,2500
1109.26,1295.28
1112.32,728.346
1115.38,444.882
1118.44,303.15
1121.5,161.417
1124.56,90.5512
1127.62,90.5512
1130.68,19.685
1133.74,19.685
1136.8,19.685
1139.86,-51.1811
1142.91,-51.1811
1145.97,-51.1811
1149.03,-51.1811
1152.09,-51.1811
1155.15,-51.1811
1158.21,-51.1811
1161.27,-51.1811
1164.33,-51.1811
1167.39,-51.1811
1170.45,-51.1811
1173.51,-51.1811
1176.57,19.685
1179.63,19.685
1182.69,19.685
1185.75,19.685
1188.81,19.685
1191.87,19.685
1194.93,19.685
1197.99,19.685
1201.05,19.685
1204.11,19.685
1207.17,19.685
1210.23,19.685
1213.29,19.685
1216.34,19.685
1219.4,-51.1811
1222.46,-51.1811
1225.52,-51.1811
1228.58,-51.1811
1231.64,-51.1811
1234.7,-51.1811
1237.76,-51.1811
1240.82,-51.1811
1243.88,-51.1811
1246.94,19.685
1250,-51.1811
1253.06,-51.1811
1256.12,-51.1811
1259.18,-51.1811
1262.24,-51.1811
1265.3,-51.1811
1268.36,-51.1811
1271.42,-51.1811
1274.48,-51.1811
1277.54,-51.1811
1280.6,-51.1811
1283.66,-51.1811
1286.71,-51.1811
1289.77,-51.1811
1292.83,-51.1811
1295.89,-51.1811
1298.95,-51.1811
1302.01,-51.1811
1305.07,-51.1811
1308.13,-51.1811
1311.19,-51.1811
1314.25,-51.1811
1317.31,-51.1811
1320.37,-51.1811
1323.43,-51.1811
1326.49,-51.1811
1329.55,-51.1811
1332.61,-51.1811
1335.67,-51.1811
1338.73,-51.1811
1341.79,-51.1811
1344.85,-51.1811
1347.91,-51.1811
1350.97,-51.1811
1354.03,-51.1811
1357.09,-51.1811
1360.14,-51.1811
1363.2,-51.1811
1366.26,-51.1811
1369.32,-51.1811
1372.38,-51.1811
1375.44,-51.1811
1378.5,-51.1811
1381.56,-51.1811
1384.62,-51.1811
1387.68,-51.1811
1390.74,-51.1811
1393.8,-51.1811
1396.86,-51.1811
1399.92,-51.1811
1402.98,-51.1811
1406.04,-51.1811
1409.1,-51.1811
1412.16,-51.1811
1415.22,-51.1811
1418.28,-51.1811
1421.34,-51.1811
1424.4,-51.1811
1427.46,-51.1811
1430.52,-51.1811
1433.57,-51.1811
1436.63,-51.1811
1439.69,-51.1811
1442.75,-51.1811
1445.81,-51.1811
1448.87,-51.1811
1451.93,-51.1811
1454.99,-51.1811
1458.05,-51.1811
1461.11,-51.1811
1464.17,-51.1811
1467.23,-51.1811
1470.29,-51.1811
1473.35,-51.1811
1476.41,-51.1811
1479.47,-51.1811
1482.53,-51.1811
1485.59,-51.1811
1488.65,-51.1811
1491.71,-51.1811
1494.77,-51.1811
1497.83,-51.1811
1500.89,-51.1811
1503.95,-51.1811
1507,-51.1811
1510.06,-51.1811
1513.12,-51.1811
1516.18,-51.1811
1519.24,-51.1811
1522.3,-51.1811
1525.36,-51.1811
1528.42,-51.1811
1531.48,-51.1811
1534.54,-51.1811
1537.6,-51.1811
1540.66,-51.1811
1543.72,-51.1811
1546.78,-51.1811
1549.84,-51.1811
1552.9,-51.1811
1555.96,-51.1811
1559.02,-51.1811
1562.08,-51.1811
1565.14,-51.1811
1568.2,-51.1811
1571.26,-51.1811
1574.32,-51.1811
1577.38,-51.1811
1580.43,-51.1811
1583.49,-51.1811
1586.55,-51.1811
1589.61,-51.1811
1592.67,-51.1811
1595.73,-51.1811
1598.79,-51.1811
1601.85,-51.1811
1604.91,-51.1811
1607.97,-51.1811
1611.03,-51.1811
1614.09,-51.1811
1617.15,-51.1811
1620.21,-51.1811
1623.27,-51.1811
1626.33,-51.1811
1629.39,-51.1811
1632.45,-51.1811
1635.51,-51.1811
1638.57,-51.1811
1641.63,-51.1811
1644.69,-51.1811
1647.75,-51.1811
1650.81,-51.1811
1653.86,-51.1811
1656.92,-51.1811
1659.98,-51.1811
1663.04,-51.1811
1666.1,-51.1811
1669.16,-51.1811
1672.22,-51.1811
1675.28,-51.1811
1678.34,-51.1811
1681.4,-51.1811
1684.46,-51.1811
1687.52,-51.1811
1690.58,-51.1811
1693.64,-51.1811
1696.7,-51.1811
1699.76,-51.1811
1702.82,-51.1811
1705.88,-51.1811
1708.94,-51.1811
1712,-51.1811
1715.06,-51.1811
1718.12,-51.1811
1721.18,-51.1811
1724.24,-51.1811
1727.29,-51.1811
1730.35,-51.1811
1733.41,-51.1811
1736.47,-51.1811
1739.53,-51.1811
1742.59,-51.1811
1745.65,-51.1811
1748.71,-51.1811
1751.77,-51.1811
1754.83,-51.1811
1757.89,-51.1811
1760.95,-51.1811
1764.01,-51.1811
1767.07,-51.1811
1770.13,-51.1811
1773.19,-51.1811
1776.25,-51.1811
1779.31,-51.1811
1782.37,-51.1811
1785.43,-51.1811
1788.49,-51.1811
1791.55,-51.1811
1794.61,-51.1811
1797.67,-51.1811
1800.72,-51.1811
1803.78,-51.1811
1806.84,-51.1811
1809.9,-51.1811
1812.96,-51.1811
1816.02,-51.1811
1819.08,-51.1811
1822.14,-51.1811
1825.2,-51.1811
1828.26,-51.1811
1831.32,-51.1811
1834.38,-51.1811
1837.44,-51.1811
1840.5,-51.1811
1843.56,-51.1811
1846.62,-51.1811
1849.68,-51.1811
1852.74,-51.1811
1855.8,-51.1811
1858.86,-51.1811
1861.92,-51.1811
1864.98,-51.1811
1868.04,-51.1811
1871.1,-51.1811
1874.15,-51.1811
1877.21,-51.1811
1880.27,-51.1811
1883.33,-51.1811
1886.39,-51.1811
1889.45,-51.1811
1892.51,-51.1811
1895.57,-51.1811
1898.63,-51.1811
1901.69,-51.1811
1904.75,-51.1811
1907.81,-51.1811
1910.87,-51.1811
1913.93,-51.1811
1916.99,-51.1811
1920.05,-51.1811
1923.11,-51.1811
1926.17,-51.1811
1929.23,-51.1811
1932.29,-51.1811
1935.35,-51.1811
1938.41,-51.1811
1941.47,-51.1811
1944.52,-51.1811
1947.58,-51.1811
1950.64,-51.1811
1953.7,-51.1811
1956.76,-51.1811
1959.82,-51.1811
1962.88,-51.1811
1965.94,-51.1811
1969,-51.1811
1972.06,-51.1811
1975.12,-51.1811
1978.18,-51.1811
1981.24,-51.1811
1984.3,-51.1811
1987.36,-51.1811
1990.42,-51.1811
1993.48,-51.1811
1996.54,-51.1811
1999.6,-51.1811
2002.66,-51.1811
2005.72,-51.1811
2008.78,-51.1811
2011.84,-51.1811
2014.9,-51.1811
2017.95,-51.1811
2021.01,-51.1811
2024.07,-51.1811
2027.13,-51.1811
2030.19,-51.1811
2033.25,-51.1811
2036.31,-51.1811
2039.37,-51.1811
2042.43,-51.1811
2045.49,-51.1811
2048.55,-51.1811
2051.61,-51.1811
2054.67,-51.1811
2057.73,-51.1811
2060.79,-51.1811
2063.85,-51.1811
2066.91,-51.1811
2069.97,-51.1811
2073.03,-51.1811
2076.09,-51.1811
2079.15,-51.1811
2082.21,-51.1811
2085.27,-51.1811
2088.33,-51.1811
2091.38,-51.1811
2094.44,-51.1811
2097.5,-51.1811
2100.56,-51.1811
2103.62,-51.1811
2106.68,-51.1811
2109.74,-51.1811
2112.8,-51.1811
2115.86,-51.1811
2118.92,-51.1811
2121.98,-51.1811
2125.04,-51.1811
2128.1,-51.1811
2131.16,-51.1811
2134.22,-51.1811
2137.28,-51.1811
2140.34,-51.1811
2143.4,-51.1811
2146.46,-51.1811
2149.52,-51.1811
2152.58,-51.1811
2155.64,-51.1811
2158.7,-51.1811
