,GP550R
RamanShit,Intensity
258.828,165.354
261.878,244.094
264.928,322.835
267.978,322.835
271.027,322.835
274.077,322.835
277.127,322.835
280.177,322.835
283.226,322.835
286.276,401.575
289.326,401.575
292.376,480.315
295.425,480.315
298.475,401.575
301.525,322.835
304.575,165.354
307.624,86.6142
310.674,86.6142
313.724,86.6142
316.774,86.6142
319.823,86.6142
322.873,86.6142
325.923,86.6142
328.973,86.6142
332.022,86.6142
335.072,86.6142
338.122,86.6142
341.172,86.6142
344.222,86.6142
347.271,86.6142
350.321,86.6142
353.371,86.6142
356.421,86.6142
359.47,86.6142
362.52,86.6142
365.57,86.6142
368.62,86.6142
371.669,86.6142
374.719,86.6142
377.769,86.6142
380.819,86.6142
383.868,86.6142
386.918,86.6142
389.968,86.6142
393.018,86.6142
396.067,86.6142
399.117,86.6142
402.167,86.6142
405.217,86.6142
408.266,165.354
411.316,165.354
414.366,86.6142
417.416,86.6142
420.465,86.6142
423.515,86.6142
426.565,86.6142
429.615,86.6142
432.665,86.6142
435.714,86.6142
438.764,165.354
441.814,165.354
444.864,244.094
447.913,401.575
450.963,559.055
454.013,952.756
457.063,1582.68
460.112,2291.34
463.162,3708.66
466.212,4023.62
469.262,2370.08
472.311,1897.64
475.361,1110.24
478.411,637.795
481.461,480.315
484.51,322.835
487.56,244.094
490.61,165.354
493.66,165.354
496.709,165.354
499.759,165.354
502.809,165.354
505.859,86.6142
508.909,86.6142
511.958,86.6142
515.008,86.6142
518.058,86.6142
521.108,86.6142
524.157,86.6142
527.207,86.6142
530.257,86.6142
533.307,165.354
536.356,165.354
539.406,165.354
542.456,86.6142
545.506,86.6142
548.555,86.6142
551.605,86.6142
554.655,86.6142
557.705,165.354
560.754,165.354
563.804,86.6142
566.854,86.6142
569.904,86.6142
572.953,86.6142
576.003,86.6142
579.053,86.6142
582.103,86.6142
585.152,86.6142
588.202,86.6142
591.252,86.6142
594.302,86.6142
597.352,165.354
600.401,165.354
603.451,165.354
606.501,165.354
609.551,165.354
612.6,165.354
615.65,165.354
618.7,165.354
621.75,165.354
624.799,86.6142
627.849,86.6142
630.899,86.6142
