,GP550R
RamanShit,Intensity
261.817,110.236
264.871,110.236
267.926,110.236
270.981,110.236
274.035,110.236
277.09,173.228
280.145,236.22
283.199,236.22
286.254,299.213
289.309,362.205
292.363,425.197
295.418,425.197
298.473,425.197
301.527,488.189
304.582,551.181
307.637,677.165
310.691,866.142
313.746,866.142
316.801,866.142
319.855,866.142
322.91,866.142
325.965,866.142
329.019,929.134
332.074,1118.11
335.129,1559.06
338.183,2251.97
341.238,2629.92
344.293,3007.87
347.347,2629.92
350.402,2377.95
353.457,1811.02
356.511,1433.07
359.566,1307.09
362.621,1433.07
365.675,1433.07
368.73,1559.06
371.785,1370.08
374.839,1244.09
377.894,866.142
380.949,551.181
384.003,425.197
387.058,299.213
390.113,173.228
393.167,110.236
396.222,110.236
399.277,110.236
402.331,110.236
405.386,173.228
408.441,173.228
411.495,236.22
414.55,236.22
417.605,173.228
420.659,173.228
423.714,110.236
426.768,110.236
429.823,110.236
432.878,110.236
435.932,110.236
438.987,110.236
442.042,110.236
445.096,110.236
448.151,110.236
451.206,110.236
454.26,110.236
457.315,173.228
460.37,236.22
463.424,299.213
466.479,488.189
469.534,614.173
472.588,740.157
475.643,803.15
478.698,992.126
481.752,1181.1
484.807,1181.1
487.862,1181.1
490.916,1118.11
493.971,992.126
497.026,992.126
500.08,929.134
503.135,803.15
506.19,677.165
509.244,488.189
512.299,362.205
515.354,299.213
518.408,299.213
521.463,299.213
524.518,299.213
527.572,299.213
530.627,299.213
533.682,425.197
536.736,614.173
539.791,740.157
542.846,866.142
545.9,1055.12
548.955,1307.09
552.01,1055.12
555.064,992.126
558.119,803.15
561.174,551.181
564.228,425.197
567.283,362.205
570.338,299.213
573.392,236.22
576.447,236.22
579.502,173.228
582.556,173.228
585.611,173.228
588.666,173.228
591.72,236.22
594.775,236.22
597.83,236.22
600.884,236.22
603.939,299.213
606.994,299.213
610.048,362.205
613.103,362.205
616.158,425.197
619.212,488.189
622.267,488.189
625.322,551.181
628.376,551.181
631.431,488.189
634.486,488.189
637.54,488.189
640.595,425.197
643.65,362.205
646.704,299.213
649.759,299.213
652.814,236.22
655.868,236.22
658.923,173.228
661.977,173.228
665.032,173.228
668.087,173.228
671.141,110.236
674.196,110.236
677.251,110.236
680.305,110.236
683.36,110.236
686.415,110.236
689.469,110.236
692.524,110.236
695.579,110.236
698.633,110.236
701.688,110.236
704.743,110.236
707.797,110.236
710.852,173.228
713.907,173.228
716.961,173.228
720.016,173.228
723.071,173.228
726.125,173.228
729.18,173.228
732.235,173.228
735.289,173.228
738.344,173.228
741.399,173.228
744.453,110.236
747.508,110.236
750.563,110.236
753.617,110.236
756.672,110.236
759.727,110.236
762.781,110.236
765.836,110.236
768.891,110.236
771.945,110.236
775,110.236
778.055,110.236
781.109,110.236
784.164,110.236
787.219,110.236
790.273,110.236
793.328,110.236
796.383,110.236
799.437,110.236
802.492,110.236
805.547,110.236
808.601,110.236
811.656,110.236
814.711,173.228
817.765,110.236
820.82,110.236
823.875,110.236
826.929,173.228
829.984,236.22
833.039,299.213
836.093,362.205
839.148,425.197
842.203,614.173
845.257,803.15
848.312,929.134
851.367,929.134
854.421,866.142
857.476,803.15
860.531,614.173
863.585,551.181
866.64,488.189
869.695,551.181
872.749,614.173
875.804,740.157
878.859,929.134
881.913,1118.11
884.968,1307.09
888.023,1559.06
891.077,2000
894.132,2881.89
897.186,4456.69
900.241,6850.39
903.296,8362.2
906.35,10440.9
909.405,8362.2
912.46,7795.28
915.514,5968.5
918.569,3826.77
921.624,2440.94
924.678,1622.05
927.733,1055.12
930.788,740.157
933.842,488.189
936.897,362.205
939.952,236.22
943.006,236.22
946.061,173.228
949.116,173.228
952.17,110.236
955.225,110.236
958.28,110.236
961.334,110.236
964.389,110.236
967.444,110.236
970.498,110.236
973.553,110.236
976.608,110.236
979.662,110.236
982.717,110.236
985.772,110.236
988.826,110.236
991.881,110.236
994.936,110.236
997.99,110.236
1001.05,173.228
1004.1,173.228
1007.15,236.22
1010.21,236.22
1013.26,236.22
1016.32,362.205
1019.37,425.197
1022.43,551.181
1025.48,677.165
1028.54,677.165
1031.59,677.165
1034.65,551.181
1037.7,425.197
1040.76,362.205
1043.81,236.22
1046.86,173.228
1049.92,173.228
1052.97,173.228
1056.03,173.228
1059.08,173.228
1062.14,173.228
1065.19,173.228
1068.25,173.228
1071.3,173.228
1074.36,110.236
1077.41,110.236
1080.47,47.2441
1083.52,47.2441
1086.58,47.2441
1089.63,47.2441
1092.68,110.236
1095.74,110.236
1098.79,173.228
1101.85,236.22
1104.9,236.22
1107.96,173.228
1111.01,173.228
1114.07,173.228
1117.12,110.236
1120.18,110.236
1123.23,110.236
1126.29,236.22
1129.34,299.213
1132.4,425.197
1135.45,551.181
1138.5,803.15
1141.56,992.126
1144.61,1181.1
1147.67,1307.09
1150.72,1433.07
1153.78,1559.06
1156.83,1748.03
1159.89,2000
1162.94,2251.97
1166,2314.96
1169.05,2440.94
1172.11,2251.97
1175.16,2062.99
1178.22,1622.05
1181.27,1244.09
1184.32,803.15
1187.38,551.181
1190.43,425.197
1193.49,299.213
1196.54,236.22
1199.6,236.22
1202.65,236.22
1205.71,299.213
1208.76,362.205
1211.82,488.189
1214.87,740.157
1217.93,929.134
1220.98,992.126
1224.04,1055.12
1227.09,1055.12
1230.14,992.126
1233.2,929.134
1236.25,803.15
1239.31,740.157
1242.36,614.173
1245.42,488.189
1248.47,362.205
1251.53,362.205
1254.58,236.22
1257.64,236.22
1260.69,236.22
1263.75,236.22
1266.8,299.213
1269.86,362.205
1272.91,551.181
1275.96,740.157
1279.02,866.142
1282.07,866.142
1285.13,929.134
1288.18,803.15
1291.24,740.157
1294.29,488.189
1297.35,362.205
1300.4,362.205
1303.46,362.205
1306.51,362.205
1309.57,362.205
1312.62,362.205
