,GP550R
RamanShit,Intensity
261.817,49.0196
264.871,29.4118
267.926,29.4118
270.981,29.4118
274.035,29.4118
277.09,29.4118
280.145,29.4118
283.199,29.4118
286.254,49.0196
289.309,68.6275
292.363,88.2353
295.418,147.059
298.473,147.059
301.527,147.059
304.582,127.451
307.637,127.451
310.691,107.843
313.746,88.2353
316.801,29.4118
319.855,29.4118
322.91,49.0196
325.965,68.6275
329.019,147.059
332.074,245.098
335.129,362.745
338.183,676.471
341.238,1676.47
344.293,2500
347.347,3264.71
353.457,1990.2
356.511,1303.92
359.566,715.686
362.621,539.216
365.675,519.608
368.73,500
371.785,500
374.839,500
377.894,500
380.949,539.216
384.003,598.039
387.058,637.255
390.113,637.255
393.167,656.863
396.222,696.078
399.277,637.255
402.331,637.255
405.386,617.647
408.441,598.039
411.495,656.863
414.55,676.471
417.605,676.471
420.659,715.686
423.714,656.863
426.768,617.647
429.823,539.216
432.878,460.784
435.932,382.353
438.987,343.137
442.042,343.137
445.096,343.137
448.151,323.529
451.206,284.314
454.26,205.882
457.315,107.843
460.37,49.0196
463.424,49.0196
466.479,49.0196
469.534,49.0196
472.588,88.2353
475.643,127.451
478.698,245.098
481.752,421.569
484.807,382.353
487.862,343.137
490.916,303.922
493.971,225.49
497.026,186.275
500.08,186.275
503.135,186.275
506.19,205.882
509.244,205.882
512.299,205.882
515.354,205.882
518.408,205.882
521.463,205.882
524.518,205.882
527.572,186.275
530.627,186.275
533.682,186.275
536.736,147.059
539.791,107.843
542.846,68.6275
545.9,68.6275
548.955,68.6275
552.01,68.6275
555.064,88.2353
558.119,88.2353
561.174,88.2353
564.228,88.2353
567.283,88.2353
570.338,68.6275
573.392,68.6275
576.447,68.6275
579.502,68.6275
582.556,68.6275
585.611,68.6275
588.666,88.2353
591.72,107.843
594.775,147.059
597.83,186.275
600.884,245.098
603.939,284.314
606.994,362.745
610.048,382.353
613.103,382.353
616.158,362.745
619.212,343.137
622.267,284.314
625.322,245.098
628.376,264.706
631.431,264.706
634.486,284.314
637.54,362.745
640.595,284.314
643.65,245.098
646.704,205.882
649.759,186.275
652.814,205.882
655.868,225.49
658.923,284.314
661.977,441.176
665.032,558.824
668.087,715.686
671.141,578.431
674.196,558.824
677.251,519.608
680.305,421.569
683.36,362.745
686.415,323.529
689.469,264.706
692.524,205.882
695.579,147.059
698.633,107.843
701.688,88.2353
704.743,68.6275
707.797,49.0196
710.852,49.0196
713.907,68.6275
716.961,88.2353
720.016,88.2353
723.071,107.843
726.125,107.843
729.18,107.843
732.235,107.843
735.289,88.2353
738.344,88.2353
741.399,88.2353
744.453,68.6275
747.508,68.6275
750.563,68.6275
753.617,68.6275
756.672,68.6275
759.727,68.6275
762.781,49.0196
765.836,29.4118
768.891,29.4118
771.945,49.0196
775,68.6275
778.055,88.2353
781.109,88.2353
784.164,88.2353
787.219,68.6275
790.273,68.6275
793.328,49.0196
796.383,49.0196
799.437,49.0196
802.492,68.6275
805.547,88.2353
808.601,107.843
811.656,127.451
814.711,166.667
817.765,166.667
820.82,166.667
823.875,166.667
826.929,166.667
829.984,166.667
833.039,186.275
836.093,166.667
839.148,166.667
842.203,147.059
845.257,147.059
848.312,107.843
851.367,107.843
854.421,107.843
857.476,107.843
860.531,107.843
863.585,107.843
866.64,88.2353
869.695,88.2353
872.749,88.2353
875.804,88.2353
878.859,68.6275
881.913,49.0196
884.968,49.0196
888.023,49.0196
891.077,49.0196
894.132,49.0196
897.186,49.0196
900.241,49.0196
903.296,49.0196
906.35,49.0196
909.405,68.6275
912.46,88.2353
915.514,88.2353
918.569,88.2353
921.624,88.2353
924.678,88.2353
927.733,68.6275
930.788,68.6275
933.842,68.6275
936.897,88.2353
939.952,88.2353
943.006,88.2353
946.061,107.843
949.116,107.843
952.17,107.843
955.225,88.2353
958.28,68.6275
961.334,68.6275
964.389,68.6275
967.444,68.6275
970.498,68.6275
973.553,68.6275
976.608,68.6275
979.662,68.6275
982.717,68.6275
985.772,49.0196
988.826,49.0196
991.881,49.0196
994.936,49.0196
997.99,49.0196
1001.05,49.0196
1004.1,49.0196
1007.15,68.6275
1010.21,68.6275
1013.26,68.6275
1016.32,68.6275
1019.37,68.6275
1022.43,68.6275
1025.48,68.6275
1028.54,88.2353
1031.59,88.2353
1034.65,88.2353
1037.7,107.843
1040.76,127.451
1043.81,107.843
1046.86,107.843
1049.92,127.451
1052.97,127.451
1056.03,127.451
1059.08,127.451
1062.14,127.451
1065.19,127.451
1068.25,127.451
1071.3,166.667
1074.36,205.882
1077.41,107.843
1080.47,88.2353
1083.52,88.2353
1086.58,68.6275
1089.63,88.2353
1092.68,88.2353
1095.74,88.2353
1098.79,127.451
1101.85,166.667
1104.9,147.059
1107.96,147.059
1111.01,127.451
1114.07,127.451
1117.12,127.451
1120.18,107.843
1123.23,107.843
1126.29,166.667
1129.34,205.882
1132.4,264.706
1135.45,303.922
1138.5,401.961
1141.56,519.608
1144.61,598.039
1147.67,676.471
1150.72,715.686
1153.78,735.294
1156.83,774.51
1159.89,872.549
1162.94,970.588
1166,1088.24
1169.05,1068.63
1172.11,970.588
1175.16,872.549
1178.22,676.471
1181.27,519.608
1184.32,362.745
1187.38,264.706
1190.43,225.49
1193.49,147.059
1196.54,107.843
1199.6,88.2353
1202.65,107.843
1205.71,127.451
1208.76,186.275
1211.82,284.314
1214.87,343.137
1217.93,401.961
1220.98,441.176
1224.04,460.784
1227.09,421.569
1230.14,401.961
1233.2,362.745
1236.25,343.137
1239.31,284.314
