,GP550R
RamanShit,Intensity
264.815,53.1496
267.874,33.4646
270.934,33.4646
273.994,33.4646
277.053,33.4646
280.113,33.4646
283.172,33.4646
286.232,53.1496
289.291,53.1496
292.351,72.8346
295.411,92.5197
298.47,112.205
301.53,131.89
304.589,131.89
307.649,112.205
310.709,112.205
313.768,92.5197
316.828,72.8346
319.887,53.1496
322.947,53.1496
326.006,53.1496
329.066,72.8346
332.126,112.205
335.185,171.26
338.245,269.685
341.304,545.276
344.364,1372.05
347.424,2021.65
350.483,2631.89
353.543,2021.65
356.602,1706.69
359.662,1037.4
362.721,564.961
365.781,407.48
368.841,387.795
371.9,368.11
374.96,348.425
378.019,328.74
381.079,328.74
384.138,328.74
387.198,368.11
390.258,387.795
393.317,387.795
396.377,407.48
399.436,407.48
402.496,387.795
405.556,368.11
408.615,348.425
411.675,348.425
414.734,368.11
417.794,387.795
420.853,407.48
423.913,407.48
426.973,387.795
430.032,368.11
433.092,309.055
436.151,250
439.211,210.63
442.271,210.63
445.33,190.945
448.39,190.945
451.449,190.945
454.509,171.26
457.568,112.205
460.628,72.8346
463.688,33.4646
466.747,33.4646
469.807,33.4646
472.866,33.4646
475.926,33.4646
478.986,33.4646
482.045,33.4646
485.105,53.1496
488.164,53.1496
491.224,53.1496
494.283,33.4646
497.343,33.4646
500.403,33.4646
503.462,33.4646
506.522,72.8346
509.581,92.5197
512.641,112.205
515.7,112.205
518.76,112.205
521.82,112.205
524.879,112.205
527.939,112.205
530.998,112.205
534.058,112.205
537.118,112.205
540.177,112.205
543.237,151.575
546.296,72.8346
549.356,72.8346
552.415,72.8346
555.475,92.5197
558.535,112.205
561.594,112.205
564.654,112.205
567.713,112.205
570.773,112.205
573.833,112.205
576.892,131.89
579.952,131.89
583.011,131.89
586.071,131.89
589.13,131.89
592.19,151.575
595.25,171.26
598.309,190.945
601.369,210.63
604.428,230.315
607.488,269.685
610.548,309.055
613.607,309.055
616.667,309.055
619.726,289.37
622.786,289.37
625.845,250
628.905,230.315
631.965,250
635.024,250
638.084,269.685
641.143,309.055
644.203,250
647.262,210.63
650.322,151.575
653.382,131.89
656.441,151.575
659.501,171.26
662.56,210.63
665.62,328.74
668.68,427.165
671.739,525.591
674.799,427.165
677.858,407.48
680.918,368.11
683.977,289.37
687.037,250
690.097,210.63
693.156,171.26
696.216,151.575
699.275,112.205
702.335,72.8346
705.395,53.1496
708.454,53.1496
711.514,53.1496
714.573,53.1496
717.633,53.1496
720.692,53.1496
723.752,53.1496
726.812,53.1496
729.871,33.4646
732.931,33.4646
735.99,33.4646
739.05,33.4646
742.11,33.4646
745.169,33.4646
748.229,33.4646
751.288,33.4646
754.348,33.4646
757.407,53.1496
760.467,53.1496
763.527,53.1496
766.586,33.4646
769.646,33.4646
772.705,33.4646
775.765,33.4646
778.824,33.4646
781.884,53.1496
784.944,33.4646
788.003,33.4646
791.063,33.4646
794.122,33.4646
797.182,33.4646
800.242,33.4646
803.301,53.1496
806.361,53.1496
809.42,53.1496
812.48,72.8346
815.539,92.5197
818.599,112.205
821.659,131.89
824.718,131.89
827.778,131.89
830.837,151.575
833.897,151.575
836.957,151.575
840.016,151.575
843.076,151.575
846.135,151.575
849.195,151.575
852.254,151.575
855.314,131.89
858.374,151.575
861.433,151.575
864.493,151.575
867.552,151.575
870.612,151.575
873.671,171.26
876.731,171.26
879.791,171.26
882.85,171.26
885.91,151.575
888.969,151.575
892.029,131.89
895.089,131.89
898.148,131.89
901.208,112.205
904.267,92.5197
907.327,92.5197
910.386,92.5197
913.446,92.5197
916.506,92.5197
919.565,92.5197
922.625,92.5197
925.684,92.5197
928.744,92.5197
931.804,112.205
934.863,92.5197
937.923,92.5197
940.982,92.5197
944.042,92.5197
947.101,92.5197
950.161,92.5197
953.221,92.5197
956.28,72.8346
959.34,72.8346
962.399,53.1496
965.459,53.1496
968.519,53.1496
971.578,72.8346
974.638,72.8346
977.697,72.8346
980.757,72.8346
983.816,72.8346
