,GP550R
RamanShit,Intensity
261.817,-158.103
264.871,-395.257
267.926,-632.411
270.981,-632.411
274.035,-632.411
277.09,-395.257
280.145,-158.103
283.199,553.36
286.254,790.514
289.309,1027.67
292.363,1264.82
295.418,2450.59
298.473,4584.98
301.527,7193.68
304.582,9565.22
307.637,11699.6
310.691,12648.2
313.746,13359.7
316.801,12648.2
319.855,11936.8
322.91,11462.5
325.965,11225.3
329.019,10988.1
332.074,10751
335.129,10513.8
338.183,9565.22
341.238,7905.14
344.293,6719.37
347.347,6245.06
350.402,5533.6
353.457,4584.98
356.511,3636.36
359.566,2924.9
362.621,2450.59
365.675,1739.13
368.73,1264.82
371.785,790.514
374.839,316.206
377.894,-158.103
380.949,-158.103
384.003,-158.103
387.058,-158.103
390.113,-158.103
393.167,-158.103
396.222,-158.103
399.277,-158.103
402.331,-158.103
405.386,79.0514
408.441,316.206
411.495,1264.82
414.55,2687.75
417.605,3873.52
420.659,4584.98
423.714,4110.67
426.768,3873.52
429.823,3636.36
432.878,3162.06
435.932,2924.9
438.987,2924.9
442.042,2924.9
445.096,2924.9
448.151,3636.36
451.206,4822.13
454.26,6956.52
457.315,10276.7
460.37,12648.2
463.424,16679.8
466.479,12648.2
469.534,12411.1
472.588,9565.22
475.643,5059.29
478.698,2450.59
481.752,1027.67
484.807,553.36
487.862,316.206
490.916,79.0514
493.971,79.0514
497.026,79.0514
500.08,-158.103
503.135,-158.103
506.19,-158.103
509.244,79.0514
512.299,553.36
515.354,790.514
518.408,1264.82
521.463,1976.28
524.518,2924.9
527.572,4347.83
530.627,5770.75
533.682,7430.83
536.736,9328.06
539.791,10513.8
542.846,10988.1
545.9,11225.3
548.955,10751
552.01,10039.5
555.064,7905.14
558.119,5770.75
561.174,3636.36
564.228,1739.13
567.283,790.514
570.338,316.206
573.392,790.514
576.447,1501.98
579.502,2924.9
582.556,6007.91
585.611,9565.22
588.666,13596.8
591.72,18577.1
594.775,24743.1
597.83,31383.4
600.884,38023.7
603.939,43952.6
606.994,48932.8
610.048,49170
613.103,46324.1
616.158,44664
619.212,40395.3
622.267,35652.2
625.322,30909.1
628.376,26403.2
631.431,22371.5
634.486,18814.2
637.54,15731.2
640.595,12648.2
643.65,10039.5
646.704,8379.45
649.759,6956.52
652.814,6007.91
655.868,5059.29
658.923,4110.67
661.977,3399.21
665.032,2687.75
668.087,2213.44
671.141,1739.13
674.196,1264.82
677.251,1027.67
680.305,790.514
683.36,553.36
686.415,316.206
689.469,79.0514
692.524,-158.103
695.579,-158.103
698.633,-158.103
701.688,-158.103
704.743,-158.103
707.797,-158.103
710.852,-158.103
713.907,-158.103
716.961,-158.103
720.016,-158.103
723.071,-158.103
726.125,-158.103
729.18,-158.103
732.235,-158.103
735.289,-158.103
738.344,-158.103
741.399,-158.103
744.453,-158.103
747.508,-158.103
750.563,-158.103
753.617,-158.103
756.672,-158.103
759.727,-158.103
762.781,-158.103
765.836,-158.103
768.891,-158.103
771.945,-158.103
775,-158.103
778.055,-158.103
781.109,-158.103
784.164,-158.103
787.219,-158.103
790.273,-158.103
793.328,-158.103
796.383,-158.103
799.437,-158.103
802.492,-158.103
805.547,-158.103
808.601,79.0514
811.656,79.0514
814.711,316.206
817.765,316.206
820.82,316.206
823.875,316.206
826.929,316.206
829.984,553.36
833.039,553.36
836.093,790.514
839.148,1027.67
842.203,1501.98
845.257,2213.44
848.312,3162.06
851.367,3873.52
854.421,3873.52
857.476,3873.52
860.531,3636.36
863.585,3162.06
866.64,2924.9
869.695,2450.59
872.749,2213.44
875.804,1739.13
878.859,1501.98
881.913,1027.67
884.968,553.36
888.023,316.206
891.077,79.0514
894.132,79.0514
897.186,79.0514
900.241,79.0514
903.296,316.206
906.35,316.206
909.405,553.36
912.46,553.36
915.514,316.206
918.569,316.206
921.624,79.0514
924.678,-158.103
927.733,-158.103
930.788,-158.103
933.842,-158.103
936.897,-158.103
939.952,-158.103
943.006,-158.103
946.061,-158.103
949.116,-158.103
952.17,-158.103
955.225,-158.103
958.28,-158.103
961.334,-158.103
964.389,-158.103
967.444,-158.103
970.498,79.0514
973.553,79.0514
976.608,79.0514
979.662,79.0514
982.717,316.206
985.772,316.206
988.826,316.206
991.881,316.206
994.936,553.36
997.99,553.36
1001.05,553.36
1004.1,553.36
1007.15,553.36
1010.21,553.36
1013.26,553.36
1016.32,553.36
1019.37,553.36
1022.43,553.36
1025.48,316.206
1028.54,79.0514
1031.59,79.0514
1034.65,-158.103
1037.7,-158.103
1040.76,-158.103
1043.81,-158.103
1046.86,-158.103
1049.92,-158.103
1052.97,-158.103
1056.03,-158.103
1059.08,-158.103
1062.14,-158.103
1065.19,-158.103
1068.25,-158.103
1071.3,-158.103
1074.36,-158.103
1077.41,-158.103
1080.47,-158.103
1083.52,-158.103
1086.58,-158.103
1089.63,-158.103
1092.68,-158.103
1095.74,-158.103
1098.79,-158.103
1101.85,-158.103
1104.9,-158.103
1107.96,-158.103
1111.01,-158.103
1114.07,-158.103
1117.12,-158.103
1120.18,-158.103
1123.23,-158.103
1126.29,-158.103
1129.34,-158.103
1132.4,-158.103
1135.45,-158.103
1138.5,-158.103
1141.56,-158.103
1144.61,-158.103
1147.67,79.0514
1150.72,79.0514
1153.78,79.0514
1156.83,79.0514
1159.89,79.0514
1162.94,79.0514
1166,79.0514
1169.05,316.206
1172.11,79.0514
1175.16,79.0514
1178.22,79.0514
1181.27,79.0514
1184.32,-158.103
1187.38,-158.103
1190.43,-158.103
1193.49,-158.103
1196.54,-158.103
1199.6,-158.103
1202.65,-158.103
1205.71,-158.103
1208.76,-158.103
1211.82,-158.103
1214.87,-158.103
1217.93,-158.103
1220.98,-158.103
1224.04,-158.103
1227.09,-158.103
1230.14,-158.103
1233.2,-158.103
1236.25,-158.103
1239.31,-158.103
1242.36,-158.103
1245.42,-158.103
1248.47,-158.103
1251.53,-158.103
1254.58,-158.103
1257.64,-158.103
1260.69,-158.103
1263.75,-158.103
1266.8,-158.103
1269.86,-158.103
1272.91,-158.103
1275.96,-158.103
1279.02,-158.103
1282.07,-158.103
1285.13,-158.103
1288.18,-158.103
1291.24,-158.103
1294.29,-158.103
1297.35,-158.103
1300.4,-158.103
1303.46,-158.103
1306.51,-158.103
1309.57,-158.103
1312.62,-158.103
1315.68,-158.103
1318.73,-158.103
1321.78,-158.103
1324.84,-158.103
1327.89,-158.103
1330.95,-158.103
1334,-158.103
1337.06,79.0514
1340.11,79.0514
1343.17,79.0514
1346.22,79.0514
1349.28,79.0514
1352.33,79.0514
1355.39,79.0514
1358.44,79.0514
1361.5,-158.103
1364.55,-158.103
1367.6,-158.103
1370.66,-158.103
1373.71,-158.103
1376.77,-158.103
1379.82,-158.103
1382.88,-158.103
1385.93,-158.103
1388.99,-158.103
1392.04,-158.103
1395.1,-158.103
1398.15,-158.103
1401.21,-158.103
1404.26,-158.103
1407.32,-158.103
1410.37,-158.103
1413.42,-158.103
1416.48,-158.103
1419.53,-158.103
1422.59,-158.103
1425.64,-158.103
1428.7,-158.103
1431.75,-158.103
1434.81,-158.103
1437.86,-158.103
1440.92,-158.103
1443.97,-158.103
1447.03,-158.103
1450.08,-158.103
1453.14,-158.103
1456.19,-158.103
1459.24,-158.103
1462.3,-158.103
1465.35,-158.103
1468.41,-158.103
1471.46,-158.103
1474.52,-158.103
1477.57,-158.103
1480.63,-158.103
1483.68,-158.103
