,GP550R
RamanShit,Intensity
264.871,470.588
267.926,470.588
270.981,470.588
274.035,470.588
277.09,470.588
280.145,470.588
283.199,470.588
286.254,470.588
289.309,470.588
292.363,470.588
295.418,470.588
298.473,470.588
301.527,470.588
304.582,470.588
307.637,470.588
310.691,705.882
313.746,705.882
316.801,941.176
319.855,941.176
322.91,1176.47
325.965,1411.76
329.019,1411.76
332.074,1647.06
335.129,1647.06
338.183,1411.76
341.238,1411.76
344.293,1176.47
347.347,941.176
350.402,941.176
353.457,705.882
356.511,705.882
359.566,470.588
362.621,470.588
365.675,470.588
368.73,470.588
371.785,470.588
374.839,470.588
377.894,470.588
380.949,470.588
384.003,470.588
387.058,470.588
390.113,470.588
393.167,470.588
396.222,470.588
399.277,470.588
402.331,470.588
405.386,470.588
408.441,470.588
411.495,470.588
414.55,470.588
417.605,470.588
420.659,470.588
423.714,705.882
426.768,705.882
429.823,705.882
432.878,705.882
435.932,705.882
438.987,705.882
442.042,705.882
445.096,705.882
448.151,705.882
451.206,705.882
454.26,705.882
457.315,705.882
460.37,705.882
463.424,705.882
466.479,941.176
469.534,705.882
472.588,705.882
475.643,705.882
478.698,470.588
481.752,470.588
484.807,470.588
487.862,470.588
490.916,470.588
493.971,470.588
497.026,470.588
500.08,470.588
503.135,470.588
506.19,470.588
509.244,470.588
512.299,470.588
515.354,470.588
518.408,470.588
521.463,470.588
524.518,470.588
527.572,470.588
530.627,470.588
533.682,705.882
536.736,705.882
539.791,705.882
542.846,705.882
545.9,705.882
548.955,705.882
552.01,705.882
555.064,705.882
558.119,705.882
561.174,705.882
564.228,705.882
567.283,705.882
570.338,705.882
573.392,705.882
576.447,705.882
579.502,705.882
582.556,705.882
585.611,705.882
588.666,705.882
591.72,941.176
594.775,941.176
597.83,1176.47
600.884,1411.76
603.939,1411.76
606.994,1411.76
610.048,1411.76
613.103,1411.76
616.158,1176.47
619.212,1176.47
622.267,941.176
625.322,941.176
628.376,941.176
631.431,705.882
634.486,705.882
637.54,705.882
640.595,470.588
643.65,470.588
646.704,470.588
649.759,470.588
652.814,470.588
655.868,470.588
658.923,470.588
661.977,470.588
665.032,470.588
668.087,470.588
671.141,470.588
674.196,470.588
677.251,470.588
680.305,470.588
683.36,470.588
686.415,470.588
689.469,470.588
692.524,470.588
695.579,470.588
698.633,470.588
701.688,470.588
704.743,470.588
707.797,470.588
710.852,470.588
713.907,470.588
716.961,470.588
720.016,470.588
723.071,470.588
726.125,470.588
729.18,470.588
732.235,470.588
735.289,470.588
738.344,470.588
741.399,470.588
744.453,470.588
747.508,470.588
750.563,470.588
753.617,470.588
756.672,470.588
759.727,470.588
762.781,470.588
765.836,470.588
768.891,470.588
771.945,470.588
775,470.588
778.055,470.588
781.109,470.588
784.164,470.588
787.219,470.588
790.273,470.588
793.328,470.588
796.383,470.588
799.437,470.588
802.492,470.588
805.547,470.588
808.601,470.588
811.656,470.588
814.711,470.588
817.765,470.588
820.82,470.588
823.875,470.588
826.929,470.588
829.984,470.588
833.039,470.588
836.093,470.588
839.148,470.588
842.203,470.588
845.257,470.588
848.312,470.588
851.367,470.588
854.421,470.588
857.476,470.588
860.531,470.588
863.585,470.588
866.64,470.588
869.695,470.588
872.749,470.588
875.804,470.588
878.859,470.588
881.913,470.588
884.968,470.588
888.023,470.588
891.077,470.588
894.132,470.588
897.186,470.588
900.241,470.588
903.296,470.588
906.35,470.588
909.405,470.588
912.46,470.588
915.514,470.588
918.569,470.588
921.624,470.588
924.678,470.588
927.733,470.588
930.788,470.588
933.842,470.588
936.897,470.588
939.952,470.588
943.006,470.588
946.061,470.588
949.116,470.588
952.17,470.588
955.225,470.588
958.28,470.588
961.334,470.588
964.389,470.588
967.444,470.588
970.498,470.588
973.553,470.588
976.608,470.588
979.662,470.588
982.717,470.588
985.772,470.588
988.826,470.588
991.881,470.588
994.936,470.588
997.99,705.882
1001.05,705.882
1004.1,941.176
1007.15,1176.47
1010.21,1647.06
1013.26,1882.35
1016.32,2588.24
1019.37,3058.82
1022.43,3764.71
1025.48,4235.29
1028.54,4941.18
1031.59,5176.47
1034.65,5176.47
1037.7,5411.76
1040.76,5411.76
1043.81,5176.47
1046.86,5176.47
1049.92,4941.18
1052.97,4470.59
1056.03,4235.29
1059.08,3764.71
1062.14,3529.41
1065.19,3058.82
1068.25,2823.53
1071.3,2588.24
1074.36,2117.65
1077.41,1882.35
1080.47,1647.06
1083.52,1411.76
1086.58,1176.47
1089.63,1176.47
1092.68,941.176
1095.74,705.882
1098.79,705.882
1101.85,705.882
1104.9,470.588
1107.96,470.588
1111.01,470.588
1114.07,470.588
1117.12,470.588
1120.18,470.588
1123.23,470.588
1126.29,470.588
1129.34,470.588
1132.4,470.588
1135.45,470.588
1138.5,470.588
1141.56,470.588
1144.61,470.588
1147.67,470.588
1150.72,470.588
1153.78,470.588
1156.83,470.588
1159.89,470.588
1162.94,470.588
1166,470.588
1169.05,470.588
1172.11,470.588
1175.16,470.588
1178.22,470.588
1181.27,470.588
1184.32,470.588
1187.38,470.588
1190.43,470.588
1193.49,470.588
1196.54,470.588
1199.6,470.588
1202.65,470.588
1205.71,470.588
1208.76,470.588
1211.82,470.588
1214.87,470.588
1217.93,470.588
1220.98,470.588
1224.04,705.882
1227.09,705.882
1230.14,941.176
1233.2,1176.47
1236.25,1411.76
1239.31,1647.06
1242.36,2117.65
1245.42,2588.24
1248.47,3058.82
1251.53,3764.71
1254.58,4235.29
1257.64,4705.88
1260.69,5176.47
1263.75,5176.47
1266.8,5411.76
1269.86,5411.76
1272.91,5176.47
1275.96,5176.47
1279.02,4705.88
1282.07,4000
1285.13,3529.41
1288.18,3058.82
1291.24,2588.24
