,GP550R
RamanShit,Intensity
462.787,137.795
465.544,137.795
468.3,137.795
471.057,137.795
473.813,137.795
476.57,137.795
479.326,137.795
482.083,137.795
484.839,137.795
487.596,137.795
490.352,137.795
493.109,334.646
495.865,334.646
498.622,531.496
501.378,531.496
504.135,728.346
506.891,925.197
509.648,925.197
512.404,925.197
515.161,925.197
517.917,1122.05
520.674,1122.05
523.43,1122.05
526.187,1318.9
528.943,1318.9
531.7,1318.9
534.456,1122.05
537.213,1122.05
539.969,728.346
542.726,728.346
545.482,531.496
548.239,531.496
550.995,334.646
553.752,334.646
556.508,334.646
559.265,334.646
562.021,334.646
564.778,334.646
567.534,334.646
570.291,137.795
573.047,137.795
575.804,137.795
578.56,137.795
581.317,137.795
584.074,137.795
586.83,137.795
589.587,137.795
592.343,137.795
595.1,137.795
597.856,137.795
600.613,334.646
603.369,531.496
606.126,531.496
608.882,531.496
611.639,728.346
614.395,531.496
617.152,531.496
619.908,531.496
622.665,531.496
625.421,531.496
628.178,531.496
630.934,728.346
633.691,728.346
636.447,925.197
639.204,1122.05
641.96,1515.75
644.717,1712.6
647.473,1712.6
650.23,1712.6
652.986,1515.75
655.743,1122.05
658.499,728.346
661.256,531.496
664.012,334.646
666.769,334.646
669.525,137.795
672.282,137.795
675.038,137.795
677.795,137.795
680.551,137.795
683.308,137.795
686.064,137.795
688.821,137.795
691.577,137.795
694.334,137.795
697.09,334.646
699.847,334.646
702.603,531.496
705.36,728.346
708.116,925.197
710.873,925.197
713.629,1122.05
716.386,1318.9
719.142,1318.9
721.899,1318.9
724.655,1318.9
727.412,1318.9
730.168,1318.9
732.925,1318.9
735.681,1122.05
738.438,925.197
741.194,925.197
743.951,728.346
746.708,728.346
749.464,728.346
752.221,728.346
754.977,925.197
757.734,1122.05
760.49,1318.9
763.247,1712.6
766.003,2106.3
768.76,2500
771.516,2696.85
774.273,2696.85
777.029,2696.85
779.786,2696.85
782.542,2500
785.299,2303.15
788.055,1909.45
790.812,1712.6
793.568,1318.9
796.325,1122.05
799.081,925.197
801.838,728.346
804.594,728.346
807.351,531.496
810.107,531.496
812.864,334.646
815.62,334.646
818.377,334.646
821.133,334.646
823.89,137.795
826.646,137.795
829.403,137.795
832.159,137.795
834.916,137.795
837.672,137.795
840.429,137.795
843.185,137.795
845.942,137.795
848.698,137.795
851.455,137.795
854.211,137.795
856.968,137.795
859.724,137.795
862.481,137.795
865.237,137.795
867.994,137.795
870.75,137.795
873.507,137.795
876.263,137.795
879.02,137.795
881.776,137.795
884.533,137.795
887.289,137.795
890.046,137.795
892.802,137.795
895.559,137.795
898.315,137.795
901.072,137.795
903.828,137.795
906.585,137.795
909.342,137.795
912.098,137.795
914.855,137.795
917.611,137.795
920.368,137.795
923.124,137.795
925.881,137.795
928.637,137.795
931.394,137.795
934.15,137.795
936.907,137.795
939.663,137.795
942.42,137.795
945.176,137.795
947.933,137.795
950.689,334.646
953.446,334.646
956.202,334.646
958.959,334.646
961.715,334.646
964.472,334.646
967.228,334.646
969.985,334.646
972.741,334.646
975.498,334.646
978.254,334.646
981.011,334.646
983.767,334.646
986.524,334.646
989.28,334.646
992.037,334.646
994.793,334.646
997.55,334.646
1000.31,334.646
1003.06,334.646
1005.82,334.646
1008.58,334.646
1011.33,334.646
1014.09,334.646
1016.85,334.646
1019.6,334.646
1022.36,334.646
1025.11,334.646
1027.87,334.646
1030.63,334.646
1033.38,137.795
1036.14,137.795
1038.9,137.795
1041.65,137.795
1044.41,137.795
1047.17,334.646
1049.92,334.646
1052.68,334.646
1055.44,137.795
1058.19,137.795
1060.95,137.795
1063.71,137.795
1066.46,137.795
1069.22,137.795
1071.98,137.795
1074.73,137.795
1077.49,137.795
1080.25,137.795
1083,137.795
1085.76,137.795
1088.51,137.795
1091.27,137.795
1094.03,137.795
1096.78,137.795
1099.54,137.795
1102.3,137.795
1105.05,137.795
1107.81,137.795
1110.57,137.795
1113.32,137.795
1116.08,137.795
1118.84,137.795
1121.59,137.795
1124.35,334.646
1127.11,334.646
1129.86,334.646
1132.62,531.496
1135.38,728.346
1138.13,925.197
1140.89,1318.9
1143.64,1712.6
1146.4,2106.3
1149.16,2696.85
1151.91,3090.55
1154.67,3681.1
1157.43,4074.8
1160.18,4271.65
1162.94,4271.65
1165.7,4468.5
1168.45,4271.65
1171.21,4271.65
1173.97,4074.8
1176.72,3877.95
1179.48,3681.1
1182.24,3287.4
1184.99,3090.55
1187.75,2893.7
1190.51,2500
1193.26,2303.15
1196.02,1909.45
1198.77,1712.6
1201.53,1515.75
1204.29,1318.9
1207.04,1122.05
1209.8,925.197
1212.56,728.346
1215.31,531.496
1218.07,531.496
1220.83,334.646
