,GP550R
RamanShit,Intensity
259.533,-33.2226
263.387,6.64452
267.241,26.5781
271.095,26.5781
274.949,26.5781
278.803,26.5781
282.657,26.5781
286.511,46.5116
290.365,66.4452
294.219,86.3787
298.073,106.312
301.927,106.312
305.781,205.98
309.635,106.312
313.489,106.312
317.343,86.3787
321.197,46.5116
325.051,26.5781
328.905,26.5781
332.759,26.5781
336.613,26.5781
340.467,26.5781
344.32,26.5781
348.174,46.5116
352.028,66.4452
355.882,86.3787
359.736,86.3787
363.59,106.312
367.444,146.179
371.298,146.179
375.152,186.047
379.006,285.714
382.86,365.449
386.714,504.983
390.568,1023.26
394.422,1461.79
398.276,1481.73
402.13,3893.69
405.984,3475.08
409.838,1083.06
413.692,684.385
417.546,504.983
421.4,225.914
425.254,166.113
429.108,126.246
432.961,86.3787
436.815,66.4452
440.669,66.4452
444.523,66.4452
448.377,66.4452
452.231,46.5116
456.085,46.5116
459.939,46.5116
463.793,46.5116
467.647,66.4452
471.501,66.4452
475.355,66.4452
479.209,66.4452
483.063,66.4452
486.917,66.4452
490.771,66.4452
494.625,46.5116
498.479,26.5781
502.333,26.5781
506.187,26.5781
510.041,26.5781
513.895,26.5781
517.748,26.5781
521.602,26.5781
525.456,26.5781
529.31,26.5781
533.164,26.5781
537.018,26.5781
540.872,26.5781
544.726,26.5781
548.58,26.5781
552.434,26.5781
556.288,26.5781
560.142,26.5781
563.996,26.5781
567.85,26.5781
571.704,26.5781
575.558,26.5781
579.412,26.5781
583.266,26.5781
587.12,26.5781
590.974,46.5116
594.828,66.4452
598.682,66.4452
602.535,66.4452
606.389,66.4452
610.243,66.4452
614.097,66.4452
617.951,66.4452
621.805,46.5116
625.659,46.5116
629.513,46.5116
633.367,46.5116
637.221,66.4452
641.075,86.3787
644.929,86.3787
648.783,166.113
652.637,285.714
656.491,345.515
660.345,405.316
664.199,604.651
668.053,325.581
671.907,305.648
675.761,245.847
679.615,126.246
683.469,86.3787
687.323,66.4452
691.176,46.5116
695.03,26.5781
698.884,26.5781
702.738,26.5781
706.592,46.5116
710.446,46.5116
714.3,46.5116
718.154,46.5116
722.008,46.5116
725.862,46.5116
729.716,46.5116
733.57,46.5116
737.424,66.4452
741.278,86.3787
745.132,126.246
748.986,186.047
752.84,325.581
756.694,425.249
760.548,445.183
764.402,684.385
768.256,405.316
772.11,385.382
775.963,305.648
779.817,186.047
783.671,126.246
787.525,86.3787
791.379,86.3787
795.233,86.3787
799.087,66.4452
802.941,66.4452
806.795,66.4452
810.649,46.5116
814.503,46.5116
818.357,26.5781
822.211,26.5781
826.065,26.5781
829.919,26.5781
833.773,26.5781
837.627,26.5781
841.481,26.5781
845.335,26.5781
849.189,26.5781
853.043,26.5781
856.897,26.5781
860.751,26.5781
864.604,26.5781
868.458,26.5781
872.312,26.5781
876.166,26.5781
880.02,26.5781
883.874,26.5781
887.728,26.5781
891.582,26.5781
895.436,26.5781
899.29,26.5781
903.144,26.5781
906.998,26.5781
910.852,26.5781
914.706,26.5781
918.56,26.5781
922.414,26.5781
926.268,26.5781
930.122,26.5781
933.976,26.5781
937.83,26.5781
941.684,26.5781
945.538,26.5781
949.391,26.5781
953.245,26.5781
957.099,26.5781
960.953,26.5781
964.807,26.5781
968.661,26.5781
972.515,26.5781
976.369,26.5781
980.223,26.5781
984.077,26.5781
987.931,26.5781
991.785,26.5781
995.639,26.5781
999.493,26.5781
1003.35,26.5781
1007.2,26.5781
1011.05,26.5781
1014.91,26.5781
1018.76,26.5781
1022.62,26.5781
1026.47,26.5781
1030.32,26.5781
1034.18,26.5781
1038.03,26.5781
1041.89,26.5781
1045.74,26.5781
1049.59,26.5781
1053.45,26.5781
1057.3,26.5781
1061.16,26.5781
1065.01,26.5781
1068.86,26.5781
1072.72,26.5781
1076.57,26.5781
1080.43,26.5781
1084.28,26.5781
1088.13,26.5781
1091.99,26.5781
1095.84,26.5781
1099.7,26.5781
1103.55,26.5781
1107.4,26.5781
1111.26,26.5781
1115.11,26.5781
1118.97,26.5781
1122.82,26.5781
1126.67,26.5781
1130.53,26.5781
1134.38,26.5781
1138.24,26.5781
1142.09,26.5781
1145.94,26.5781
1149.8,26.5781
1153.65,26.5781
1157.51,26.5781
1161.36,26.5781
1165.21,26.5781
1169.07,26.5781
1172.92,26.5781
1176.77,26.5781
1180.63,26.5781
1184.48,26.5781
1188.34,26.5781
1192.19,26.5781
1196.04,26.5781
1199.9,46.5116
1203.75,46.5116
1207.61,46.5116
1211.46,46.5116
1215.31,46.5116
1219.17,26.5781
1223.02,26.5781
1226.88,26.5781
1230.73,26.5781
1234.58,26.5781
1238.44,26.5781
1242.29,26.5781
1246.15,26.5781
1250,26.5781
1253.85,26.5781
1257.71,26.5781
1261.56,26.5781
1265.42,26.5781
1269.27,26.5781
1273.12,26.5781
1276.98,26.5781
1280.83,26.5781
1284.69,26.5781
1288.54,26.5781
1292.39,26.5781
1296.25,26.5781
1300.1,26.5781
1303.96,26.5781
1307.81,26.5781
1311.66,26.5781
1315.52,26.5781
1319.37,26.5781
1323.23,26.5781
1327.08,26.5781
1330.93,26.5781
1334.79,26.5781
1338.64,26.5781
1342.49,26.5781
1346.35,26.5781
1350.2,26.5781
1354.06,26.5781
1357.91,26.5781
1361.76,26.5781
1365.62,26.5781
1369.47,26.5781
1373.33,26.5781
1377.18,26.5781
1381.03,26.5781
1384.89,26.5781
1388.74,26.5781
1392.6,26.5781
1396.45,26.5781
1400.3,26.5781
1404.16,26.5781
1408.01,26.5781
1411.87,26.5781
1415.72,26.5781
1419.57,26.5781
1423.43,26.5781
1427.28,26.5781
1431.14,26.5781
1434.99,26.5781
1438.84,26.5781
1442.7,26.5781
1446.55,26.5781
1450.41,26.5781
1454.26,26.5781
1458.11,26.5781
1461.97,26.5781
1465.82,26.5781
1469.68,26.5781
1473.53,26.5781
1477.38,26.5781
1481.24,26.5781
1485.09,26.5781
1488.95,26.5781
1492.8,26.5781
1496.65,26.5781
1500.51,26.5781
1504.36,26.5781
1508.22,26.5781
1512.07,26.5781
1515.92,26.5781
1519.78,26.5781
1523.63,26.5781
1527.48,26.5781
1531.34,26.5781
1535.19,26.5781
1539.05,46.5116
1542.9,66.4452
1546.75,66.4452
1550.61,66.4452
1554.46,66.4452
1558.32,66.4452
1562.17,66.4452
1566.02,66.4452
1569.88,46.5116
1573.73,46.5116
