,GP550R
RamanShit,Intensity
257.737,148.125
261.412,76.875
265.087,50.625
268.762,46.875
272.437,50.625
276.112,54.375
279.787,73.125
283.462,121.875
287.137,159.375
290.812,245.625
294.487,230.625
298.162,159.375
301.838,125.625
305.513,91.875
309.188,88.125
312.863,84.375
316.538,84.375
320.213,84.375
323.888,140.625
327.563,151.875
331.238,125.625
334.913,121.875
338.588,129.375
342.263,133.125
345.938,211.875
349.613,530.625
353.288,568.125
356.963,283.125
360.638,208.125
364.313,129.375
367.988,121.875
371.663,110.625
375.338,125.625
379.014,144.375
382.689,174.375
386.364,193.125
390.039,275.625
393.714,189.375
397.389,185.625
401.064,148.125
404.739,106.875
408.414,106.875
412.089,95.625
415.764,88.125
419.439,88.125
423.114,88.125
426.789,80.625
430.464,91.875
434.139,95.625
437.814,118.125
441.489,99.375
445.164,95.625
448.839,80.625
452.515,50.625
456.19,31.875
459.865,28.125
463.54,24.375
467.215,24.375
470.89,16.875
474.565,24.375
478.24,24.375
481.915,24.375
485.59,24.375
489.265,28.125
492.94,31.875
496.615,31.875
500.29,35.625
503.965,43.125
507.64,65.625
511.315,95.625
514.99,121.875
518.665,163.125
522.34,208.125
526.015,118.125
529.691,91.875
533.366,65.625
537.041,61.875
540.716,61.875
544.391,58.125
548.066,50.625
551.741,43.125
555.416,39.375
559.091,39.375
562.766,43.125
566.441,50.625
570.116,61.875
573.791,73.125
577.466,88.125
581.141,91.875
584.816,110.625
588.491,88.125
592.166,73.125
595.841,58.125
599.516,50.625
603.191,43.125
606.867,39.375
610.542,39.375
614.217,39.375
617.892,43.125
621.567,35.625
625.242,31.875
628.917,24.375
632.592,20.625
636.267,16.875
639.942,20.625
643.617,20.625
647.292,24.375
650.967,28.125
654.642,28.125
658.317,28.125
661.992,31.875
665.667,31.875
669.342,35.625
673.017,39.375
676.692,46.875
680.368,58.125
684.043,84.375
687.718,129.375
691.393,226.875
695.068,294.375
698.743,444.375
702.418,1051.88
706.093,1100.63
709.768,586.875
713.443,380.625
717.118,144.375
720.793,106.875
724.468,91.875
728.143,69.375
731.818,54.375
735.493,50.625
739.168,43.125
742.843,35.625
746.518,35.625
750.193,35.625
753.868,28.125
757.544,28.125
761.219,28.125
764.894,24.375
768.569,28.125
772.244,28.125
775.919,28.125
779.594,31.875
783.269,31.875
786.944,31.875
790.619,28.125
794.294,20.625
797.969,20.625
801.644,20.625
805.319,20.625
808.994,20.625
812.669,16.875
816.344,20.625
820.019,20.625
823.694,20.625
827.369,20.625
831.044,20.625
834.72,24.375
838.395,24.375
842.07,24.375
845.745,24.375
849.42,24.375
853.095,24.375
856.77,24.375
860.445,24.375
864.12,20.625
867.795,16.875
871.47,20.625
875.145,20.625
878.82,28.125
882.495,31.875
886.17,31.875
889.845,31.875
893.52,28.125
897.195,24.375
900.87,20.625
904.545,9.375
908.221,20.625
911.896,20.625
915.571,20.625
919.246,20.625
922.921,16.875
926.596,24.375
930.271,24.375
933.946,24.375
937.621,24.375
941.296,24.375
944.971,28.125
948.646,28.125
952.321,35.625
955.996,39.375
959.671,43.125
963.346,73.125
967.021,125.625
970.696,159.375
974.371,163.125
978.046,249.375
981.721,181.875
985.397,140.625
989.072,95.625
992.747,61.875
996.422,46.875
1000.1,46.875
1003.77,50.625
1007.45,54.375
1011.12,61.875
1014.8,76.875
1018.47,121.875
1022.15,114.375
1025.82,76.875
1029.5,58.125
1033.17,35.625
1036.85,35.625
1040.52,35.625
1044.2,39.375
1047.87,43.125
1051.55,58.125
1055.22,69.375
1058.9,91.875
1062.57,151.875
1066.25,215.625
1069.92,241.875
1073.6,474.375
1077.27,526.875
1080.95,234.375
1084.62,178.125
1088.3,95.625
1091.97,61.875
1095.65,50.625
1099.32,50.625
1103,46.875
1106.67,43.125
1110.35,39.375
1114.02,28.125
1117.7,24.375
1121.37,24.375
1125.05,24.375
1128.72,20.625
1132.4,20.625
1136.07,20.625
1139.75,20.625
1143.42,20.625
1147.1,20.625
1150.77,20.625
1154.45,20.625
1158.12,20.625
1161.8,20.625
1165.47,16.875
1169.15,20.625
1172.82,20.625
1176.5,20.625
1180.17,24.375
1183.85,24.375
1187.52,24.375
1191.2,24.375
1194.87,24.375
1198.55,24.375
1202.22,20.625
1205.9,9.375
1209.57,20.625
1213.25,20.625
1216.92,20.625
1220.6,20.625
1224.27,20.625
1227.95,16.875
1231.62,16.875
1235.3,20.625
1238.97,20.625
1242.65,20.625
1246.32,20.625
1250,20.625
1253.68,20.625
1257.35,20.625
1261.03,20.625
1264.7,20.625
1268.38,20.625
1272.05,20.625
1275.73,20.625
1279.4,20.625
1283.08,16.875
1286.75,20.625
1290.43,20.625
1294.1,20.625
1297.78,20.625
1301.45,20.625
1305.13,20.625
1308.8,13.125
1312.48,24.375
1316.15,24.375
1319.83,24.375
1323.5,24.375
1327.18,24.375
1330.85,24.375
1334.53,28.125
1338.2,28.125
1341.88,24.375
1345.55,20.625
1349.23,16.875
1352.9,20.625
1356.58,20.625
1360.25,20.625
1363.93,20.625
1367.6,20.625
1371.28,20.625
1374.95,20.625
1378.63,20.625
1382.3,24.375
1385.98,24.375
1389.65,24.375
1393.33,24.375
1397,24.375
1400.68,24.375
1404.35,24.375
1408.03,20.625
1411.7,16.875
1415.38,13.125
1419.05,16.875
