,GP550R
RamanShit,Intensity
X, Y_0
261.755,235.294
264.815,235.294
267.874,235.294
270.934,235.294
273.994,235.294
277.053,235.294
280.113,705.882
283.172,1882.35
286.232,4000
289.291,7764.71
292.351,14352.9
295.411,23764.7
298.47,29176.5
301.53,34823.5
304.589,29176.5
307.649,26352.9
310.709,19529.4
313.768,12705.9
316.828,8470.59
319.887,5647.06
322.947,4235.29
326.006,3294.12
329.066,2823.53
332.126,2588.24
335.185,2588.24
338.245,2588.24
341.304,2823.53
344.364,3294.12
347.424,3764.71
350.483,4470.59
353.543,4705.88
356.602,4705.88
359.662,4705.88
362.721,4470.59
365.781,4235.29
368.841,3529.41
371.9,2588.24
374.96,1647.06
378.019,705.882
381.079,470.588
384.138,470.588
387.198,470.588
390.258,705.882
393.317,941.176
396.377,1176.47
399.436,1176.47
402.496,1411.76
405.556,1411.76
408.615,1411.76
411.675,1647.06
414.734,2117.65
417.794,3294.12
420.853,4470.59
423.913,5411.76
426.973,6117.65
430.032,7058.82
433.092,8000
436.151,9176.47
439.211,9882.35
442.271,10117.6
445.33,9647.06
448.39,8941.18
451.449,7058.82
454.509,5176.47
457.568,3294.12
460.628,1882.35
463.688,941.176
466.747,470.588
469.807,470.588
472.866,470.588
475.926,470.588
478.986,705.882
482.045,1176.47
485.105,1647.06
488.164,2588.24
491.224,3294.12
494.283,4000
497.343,4470.59
500.403,4941.18
503.462,5176.47
506.522,5411.76
509.581,5647.06
512.641,6117.65
515.7,7058.82
518.76,8000
521.82,8941.18
524.879,10352.9
527.939,10588.2
530.998,8705.88
534.058,8000
537.118,6352.94
540.177,4470.59
543.237,3058.82
546.296,2352.94
549.356,2117.65
552.415,2117.65
555.475,2352.94
558.535,2588.24
561.594,3058.82
564.654,3529.41
567.713,4235.29
570.773,4470.59
573.833,4470.59
576.892,4235.29
579.952,4000
583.011,3294.12
586.071,2588.24
589.13,2117.65
592.19,1882.35
595.25,1647.06
598.309,1411.76
601.369,1176.47
604.428,941.176
607.488,941.176
610.548,705.882
613.607,470.588
616.667,235.294
619.726,235.294
622.786,235.294
625.845,235.294
628.905,235.294
631.965,235.294
635.024,235.294
638.084,235.294
641.143,235.294
644.203,235.294
647.262,235.294
650.322,235.294
653.382,470.588
656.441,470.588
659.501,470.588
662.56,470.588
665.62,470.588
668.68,705.882
671.739,705.882
674.799,705.882
677.858,705.882
680.918,705.882
683.977,705.882
687.037,705.882
690.097,470.588
693.156,235.294
696.216,235.294
699.275,235.294
702.335,235.294
705.395,235.294
708.454,235.294
711.514,235.294
714.573,235.294
717.633,235.294
720.692,235.294
723.752,470.588
726.812,705.882
729.871,941.176
732.931,1176.47
735.99,1647.06
739.05,1882.35
742.11,2352.94
745.169,2823.53
748.229,3058.82
751.288,3529.41
754.348,4000
757.407,4235.29
760.467,4705.88
763.527,4705.88
766.586,4941.18
769.646,4941.18
772.705,4941.18
775.765,4705.88
778.824,4470.59
781.884,4000
784.944,3529.41
788.003,3058.82
791.063,2588.24
794.122,2352.94
797.182,1882.35
800.242,1411.76
803.301,941.176
806.361,705.882
809.42,470.588
812.48,235.294
815.539,235.294
818.599,235.294
821.659,235.294
824.718,235.294
827.778,235.294
