,GP550R
RamanShit,Intensity
267.926,274.51
270.981,117.647
274.035,117.647
277.09,117.647
280.145,117.647
283.199,431.373
286.254,745.098
289.309,1843.14
292.363,3725.49
295.418,7490.2
298.473,12980.4
301.527,16274.5
304.582,20352.9
307.637,16274.5
310.691,15647.1
313.746,12509.8
316.801,8117.65
319.855,5137.25
322.91,3411.76
325.965,2313.73
329.019,2000
332.074,1843.14
335.129,1843.14
338.183,1843.14
341.238,1843.14
344.293,1686.27
347.347,1529.41
350.402,1215.69
353.457,901.961
356.511,901.961
359.566,745.098
362.621,588.235
365.675,588.235
368.73,588.235
371.785,431.373
374.839,274.51
377.894,274.51
380.949,274.51
384.003,274.51
387.058,274.51
390.113,274.51
393.167,274.51
396.222,274.51
399.277,431.373
402.331,588.235
405.386,588.235
408.441,745.098
411.495,901.961
414.55,1058.82
417.605,1372.55
420.659,2000
423.714,2470.59
426.768,2941.18
429.823,3411.76
432.878,3725.49
435.932,4352.94
438.987,5294.12
442.042,5764.71
445.096,6235.29
448.151,5764.71
451.206,5607.84
454.26,4823.53
457.315,3725.49
460.37,2784.31
463.424,1686.27
466.479,1058.82
469.534,745.098
472.588,745.098
475.643,745.098
478.698,745.098
481.752,1058.82
484.807,1372.55
487.862,1372.55
490.916,1372.55
493.971,1215.69
497.026,1215.69
500.08,1215.69
503.135,1215.69
506.19,1215.69
509.244,1215.69
512.299,1058.82
515.354,1058.82
518.408,1058.82
521.463,1215.69
524.518,1215.69
527.572,1372.55
530.627,1372.55
533.682,1215.69
536.736,1215.69
539.791,901.961
542.846,745.098
545.9,588.235
548.955,745.098
552.01,745.098
555.064,901.961
558.119,1058.82
561.174,1215.69
564.228,1529.41
567.283,1843.14
570.338,2000
573.392,2156.86
576.447,2156.86
579.502,2000
582.556,2000
585.611,1686.27
588.666,1215.69
591.72,1058.82
594.775,745.098
597.83,745.098
600.884,745.098
603.939,745.098
606.994,901.961
610.048,901.961
613.103,901.961
616.158,901.961
619.212,901.961
622.267,901.961
625.322,901.961
628.376,901.961
631.431,901.961
634.486,1058.82
637.54,1058.82
640.595,1058.82
643.65,1215.69
646.704,1372.55
649.759,1529.41
652.814,1529.41
655.868,1686.27
658.923,1686.27
661.977,1529.41
665.032,1372.55
668.087,1215.69
671.141,901.961
674.196,745.098
677.251,588.235
680.305,431.373
683.36,431.373
686.415,274.51
689.469,274.51
692.524,117.647
695.579,117.647
698.633,117.647
701.688,117.647
704.743,117.647
707.797,117.647
710.852,117.647
713.907,117.647
716.961,117.647
720.016,274.51
723.071,274.51
726.125,274.51
729.18,431.373
732.235,431.373
735.289,588.235
738.344,745.098
741.399,901.961
744.453,1058.82
747.508,1058.82
750.563,1215.69
753.617,1372.55
756.672,1529.41
759.727,1529.41
762.781,1686.27
765.836,1843.14
768.891,1843.14
771.945,1843.14
775,1843.14
778.055,1843.14
781.109,1843.14
784.164,1686.27
787.219,1529.41
790.273,1529.41
793.328,1372.55
796.383,1058.82
799.437,1058.82
802.492,745.098
805.547,588.235
808.601,431.373
811.656,274.51
814.711,117.647
817.765,117.647
820.82,117.647
823.875,117.647
826.929,117.647
829.984,117.647
833.039,117.647
836.093,117.647
839.148,117.647
842.203,117.647
845.257,117.647
848.312,117.647
851.367,117.647
854.421,117.647
857.476,117.647
860.531,117.647
863.585,117.647
866.64,117.647
869.695,117.647
872.749,274.51
875.804,431.373
878.859,745.098
881.913,1058.82
884.968,1529.41
888.023,2156.86
891.077,2941.18
894.132,3411.76
897.186,3725.49
900.241,3725.49
903.296,3725.49
906.35,3725.49
909.405,3882.35
912.46,3882.35
915.514,4196.08
918.569,4823.53
921.624,5921.57
924.678,7333.33
927.733,9058.82
930.788,11098
933.842,12980.4
936.897,13921.6
939.952,14392.2
943.006,13921.6
946.061,12823.5
949.116,10784.3
952.17,8745.1
955.225,7019.61
