,GP550R
RamanShit,Intensity
261.817,1149.61
264.871,960.63
267.926,866.142
270.981,1149.61
274.035,1480.31
277.09,1622.05
280.145,1385.83
283.199,1055.12
286.254,677.165
289.309,535.433
292.363,724.409
295.418,1007.87
298.473,866.142
301.527,629.921
304.582,346.457
307.637,204.724
310.691,299.213
313.746,393.701
316.801,535.433
319.855,771.654
322.91,1196.85
325.965,1622.05
329.019,2236.22
332.074,2708.66
335.129,2897.64
338.183,2094.49
341.238,1338.58
344.293,582.677
347.347,346.457
350.402,204.724
353.457,110.236
356.511,62.9921
359.566,62.9921
362.621,62.9921
365.675,110.236
368.73,110.236
371.785,110.236
374.839,110.236
377.894,157.48
380.949,157.48
384.003,110.236
387.058,62.9921
390.113,62.9921
393.167,157.48
396.222,251.969
399.277,346.457
402.331,299.213
405.386,251.969
408.441,251.969
411.495,204.724
414.55,157.48
417.605,157.48
420.659,251.969
423.714,440.945
426.768,818.898
429.823,1669.29
432.878,3322.83
435.932,4314.96
438.987,6110.24
442.042,8519.69
445.096,10220.5
448.151,7622.05
451.206,5401.57
454.26,2566.93
457.315,1669.29
460.37,1291.34
463.424,1338.58
466.479,1527.56
469.534,1858.27
472.588,2283.46
475.643,2566.93
478.698,2047.24
481.752,1149.61
484.807,629.921
487.862,393.701
490.916,204.724
493.971,110.236
497.026,62.9921
500.08,110.236
503.135,110.236
506.19,110.236
509.244,110.236
512.299,110.236
515.354,110.236
518.408,110.236
521.463,110.236
524.518,110.236
527.572,110.236
530.627,157.48
533.682,157.48
536.736,157.48
539.791,157.48
542.846,157.48
545.9,110.236
548.955,110.236
552.01,110.236
555.064,110.236
558.119,62.9921
561.174,62.9921
564.228,62.9921
567.283,157.48
570.338,157.48
573.392,204.724
576.447,204.724
579.502,204.724
582.556,157.48
585.611,110.236
588.666,204.724
591.72,204.724
594.775,204.724
597.83,157.48
600.884,157.48
603.939,110.236
606.994,110.236
610.048,110.236
613.103,204.724
616.158,204.724
619.212,204.724
622.267,346.457
625.322,488.189
628.376,629.921
631.431,488.189
634.486,393.701
637.54,346.457
640.595,346.457
643.65,440.945
646.704,393.701
649.759,346.457
652.814,299.213
655.868,204.724
658.923,157.48
661.977,110.236
665.032,110.236
668.087,110.236
671.141,110.236
674.196,110.236
677.251,110.236
680.305,157.48
683.36,157.48
686.415,157.48
689.469,110.236
692.524,110.236
695.579,110.236
698.633,110.236
701.688,110.236
704.743,62.9921
707.797,110.236
710.852,110.236
713.907,110.236
716.961,110.236
720.016,110.236
723.071,110.236
726.125,110.236
729.18,110.236
732.235,110.236
735.289,110.236
738.344,110.236
741.399,110.236
744.453,157.48
747.508,157.48
750.563,204.724
753.617,204.724
756.672,204.724
759.727,157.48
762.781,110.236
765.836,110.236
768.891,110.236
771.945,110.236
775,110.236
778.055,157.48
781.109,157.48
784.164,157.48
787.219,62.9921
790.273,157.48
793.328,251.969
796.383,110.236
799.437,110.236
802.492,157.48
805.547,157.48
808.601,204.724
811.656,299.213
814.711,346.457
817.765,346.457
820.82,251.969
823.875,204.724
826.929,204.724
829.984,204.724
833.039,204.724
836.093,204.724
839.148,204.724
842.203,157.48
845.257,204.724
848.312,204.724
851.367,157.48
854.421,157.48
857.476,204.724
860.531,204.724
863.585,251.969
866.64,204.724
869.695,204.724
872.749,204.724
875.804,157.48
878.859,157.48
881.913,110.236
884.968,110.236
888.023,110.236
891.077,110.236
894.132,110.236
897.186,110.236
900.241,110.236
903.296,157.48
906.35,157.48
909.405,157.48
912.46,157.48
915.514,110.236
918.569,62.9921
921.624,110.236
924.678,110.236
927.733,110.236
930.788,110.236
933.842,110.236
936.897,110.236
939.952,110.236
943.006,110.236
946.061,110.236
949.116,110.236
952.17,110.236
955.225,110.236
958.28,110.236
961.334,110.236
964.389,110.236
967.444,204.724
970.498,157.48
973.553,157.48
976.608,157.48
979.662,204.724
982.717,251.969
985.772,346.457
988.826,582.677
991.881,1007.87
994.936,1669.29
997.99,2661.42
1001.05,4645.67
1004.1,5212.6
1007.15,4645.67
1010.21,3937.01
1013.26,2850.39
1016.32,2188.98
1019.37,2236.22
1022.43,2236.22
1025.48,1952.76
1028.54,1574.8
1031.59,1433.07
1034.65,1385.83
1037.7,1244.09
1040.76,1007.87
1043.81,771.654
1046.86,488.189
1049.92,346.457
1052.97,346.457
1056.03,299.213
1059.08,204.724
1062.14,204.724
1065.19,251.969
1068.25,251.969
1071.3,251.969
1074.36,204.724
1077.41,157.48
1080.47,110.236
1083.52,110.236
1086.58,204.724
1089.63,110.236
1092.68,110.236
1095.74,110.236
1098.79,110.236
1101.85,110.236
1104.9,157.48
1107.96,251.969
1111.01,393.701
1114.07,251.969
1117.12,299.213
1120.18,346.457
1123.23,393.701
1126.29,582.677
1129.34,866.142
1132.4,1196.85
1135.45,1763.78
1138.5,2141.73
1141.56,1858.27
1144.61,1385.83
1147.67,1055.12
1150.72,629.921
1153.78,535.433
1156.83,488.189
1159.89,299.213
1162.94,346.457
1166,346.457
1169.05,251.969
1172.11,157.48
1175.16,204.724
