,GP550R
RamanShit,Intensity
258.762,98.8142
261.817,98.8142
264.871,98.8142
267.926,98.8142
270.981,98.8142
274.035,98.8142
277.09,98.8142
280.145,98.8142
283.199,98.8142
286.254,98.8142
289.309,98.8142
292.363,98.8142
295.418,98.8142
298.473,98.8142
301.527,98.8142
304.582,98.8142
307.637,98.8142
310.691,98.8142
313.746,98.8142
316.801,98.8142
319.855,98.8142
322.91,98.8142
325.965,98.8142
329.019,98.8142
332.074,98.8142
335.129,98.8142
338.183,98.8142
341.238,98.8142
344.293,98.8142
347.347,98.8142
350.402,98.8142
353.457,98.8142
356.511,98.8142
359.566,98.8142
362.621,98.8142
365.675,98.8142
368.73,98.8142
371.785,98.8142
374.839,98.8142
377.894,98.8142
380.949,98.8142
384.003,98.8142
387.058,98.8142
390.113,98.8142
393.167,98.8142
396.222,98.8142
399.277,98.8142
402.331,98.8142
405.386,98.8142
408.441,98.8142
411.495,98.8142
414.55,98.8142
417.605,98.8142
420.659,98.8142
423.714,98.8142
426.768,98.8142
429.823,98.8142
432.878,98.8142
435.932,98.8142
438.987,98.8142
442.042,98.8142
445.096,98.8142
448.151,98.8142
451.206,98.8142
454.26,98.8142
457.315,98.8142
460.37,98.8142
463.424,98.8142
466.479,98.8142
469.534,98.8142
472.588,98.8142
475.643,98.8142
478.698,98.8142
481.752,98.8142
484.807,98.8142
487.862,98.8142
490.916,98.8142
493.971,98.8142
497.026,98.8142
500.08,98.8142
503.135,375.494
506.19,98.8142
509.244,98.8142
512.299,98.8142
515.354,98.8142
518.408,98.8142
521.463,98.8142
524.518,98.8142
527.572,98.8142
530.627,98.8142
533.682,98.8142
536.736,98.8142
539.791,98.8142
542.846,98.8142
545.9,98.8142
548.955,98.8142
552.01,98.8142
555.064,98.8142
558.119,98.8142
561.174,98.8142
564.228,98.8142
567.283,98.8142
570.338,98.8142
573.392,375.494
576.447,375.494
579.502,375.494
582.556,375.494
585.611,375.494
588.666,375.494
591.72,375.494
594.775,375.494
597.83,375.494
600.884,375.494
603.939,652.174
606.994,652.174
610.048,652.174
613.103,652.174
616.158,652.174
619.212,652.174
622.267,652.174
625.322,652.174
628.376,652.174
631.431,652.174
634.486,652.174
637.54,652.174
640.595,652.174
643.65,652.174
646.704,652.174
649.759,652.174
652.814,652.174
655.868,375.494
658.923,375.494
661.977,375.494
665.032,375.494
668.087,375.494
671.141,375.494
674.196,375.494
677.251,375.494
680.305,375.494
683.36,375.494
686.415,98.8142
689.469,98.8142
692.524,98.8142
695.579,98.8142
698.633,98.8142
701.688,98.8142
704.743,98.8142
707.797,98.8142
710.852,98.8142
713.907,98.8142
716.961,98.8142
720.016,98.8142
723.071,98.8142
726.125,98.8142
729.18,98.8142
732.235,98.8142
735.289,98.8142
738.344,98.8142
741.399,98.8142
744.453,98.8142
747.508,375.494
750.563,375.494
753.617,652.174
756.672,1205.53
759.727,2588.93
762.781,9229.25
765.836,10612.6
768.891,5632.41
771.945,7569.17
775,7845.85
778.055,8399.21
781.109,15039.5
784.164,45751
787.219,34130.4
790.273,20573.1
793.328,17253
796.383,11166
799.437,5632.41
802.492,1758.89
805.547,652.174
808.601,375.494
811.656,98.8142
814.711,98.8142
817.765,98.8142
820.82,98.8142
823.875,-177.866
826.929,-177.866
829.984,-177.866
833.039,-177.866
836.093,-177.866
839.148,-177.866
842.203,-177.866
845.257,-177.866
848.312,-177.866
851.367,-177.866
854.421,-177.866
857.476,-177.866
860.531,-177.866
863.585,-177.866
866.64,-177.866
869.695,-177.866
872.749,-177.866
875.804,-177.866
878.859,98.8142
881.913,98.8142
884.968,98.8142
888.023,98.8142
891.077,98.8142
894.132,98.8142
897.186,-177.866
900.241,-177.866
903.296,-177.866
906.35,-177.866
909.405,-177.866
912.46,98.8142
915.514,98.8142
918.569,98.8142
921.624,98.8142
924.678,98.8142
927.733,98.8142
930.788,98.8142
933.842,98.8142
936.897,98.8142
939.952,98.8142
943.006,98.8142
946.061,98.8142
949.116,375.494
952.17,652.174
955.225,1482.21
958.28,3695.65
961.334,5909.09
964.389,15316.2
967.444,17253
970.498,6185.77
973.553,4249.01
976.608,1482.21
979.662,652.174
982.717,375.494
985.772,98.8142
988.826,98.8142
991.881,98.8142
994.936,98.8142
997.99,98.8142
1001.05,98.8142
1004.1,-177.866
1007.15,-177.866
1010.21,-177.866
1013.26,-177.866
1016.32,-177.866
1019.37,-177.866
1022.43,-177.866
1025.48,-177.866
1028.54,-177.866
1031.59,-177.866
1034.65,-177.866
1037.7,98.8142
1040.76,98.8142
1043.81,98.8142
1046.86,98.8142
1049.92,98.8142
1052.97,98.8142
1056.03,98.8142
1059.08,98.8142
1062.14,98.8142
1065.19,98.8142
1068.25,98.8142
1071.3,98.8142
1074.36,98.8142
1077.41,98.8142
1080.47,98.8142
1083.52,98.8142
1086.58,98.8142
1089.63,98.8142
1092.68,98.8142
1095.74,98.8142
1098.79,98.8142
1101.85,98.8142
1104.9,98.8142
1107.96,98.8142
1111.01,98.8142
1114.07,98.8142
1117.12,98.8142
1120.18,98.8142
1123.23,98.8142
1126.29,98.8142
1129.34,98.8142
1132.4,98.8142
1135.45,98.8142
1138.5,98.8142
1141.56,98.8142
1144.61,98.8142
1147.67,98.8142
1150.72,98.8142
1153.78,98.8142
1156.83,98.8142
1159.89,98.8142
1162.94,98.8142
1166,98.8142
1169.05,98.8142
1172.11,98.8142
1175.16,98.8142
1178.22,98.8142
1181.27,98.8142
1184.32,98.8142
1187.38,98.8142
1190.43,98.8142
1193.49,98.8142
1196.54,-177.866
1199.6,-177.866
1202.65,-177.866
1205.71,98.8142
1208.76,98.8142
1211.82,98.8142
1214.87,98.8142
1217.93,98.8142
1220.98,98.8142
1224.04,98.8142
1227.09,98.8142
1230.14,98.8142
1233.2,98.8142
1236.25,98.8142
1239.31,98.8142
1242.36,98.8142
1245.42,98.8142
1248.47,-177.866
1251.53,-177.866
1254.58,-177.866
1257.64,-177.866
1260.69,-177.866
1263.75,-177.866
1266.8,-177.866
1269.86,-177.866
1272.91,-177.866
1275.96,-177.866
1279.02,-177.866
1282.07,-177.866
1285.13,-177.866
1288.18,-177.866
1291.24,-177.866
1294.29,-177.866
1297.35,-177.866
1300.4,-177.866
1303.46,-177.866
1306.51,98.8142
1309.57,98.8142
1312.62,98.8142
1315.68,98.8142
1318.73,-177.866
1321.78,-177.866
1324.84,-177.866
1327.89,-177.866
1330.95,-177.866
1334,-177.866
1337.06,-177.866
1340.11,-177.866
1343.17,-177.866
1346.22,-177.866
1349.28,-177.866
1352.33,-177.866
1355.39,-177.866
1358.44,-177.866
1361.5,-177.866
1364.55,-177.866
1367.6,-177.866
1370.66,-177.866
1373.71,98.8142
1376.77,98.8142
1379.82,98.8142
1382.88,98.8142
1385.93,98.8142
1388.99,98.8142
1392.04,98.8142
1395.1,98.8142
1398.15,98.8142
1401.21,98.8142
1404.26,98.8142
1407.32,98.8142
1410.37,98.8142
1413.42,98.8142
1416.48,98.8142
1419.53,98.8142
1422.59,98.8142
1425.64,98.8142
1428.7,98.8142
1431.75,98.8142
1434.81,98.8142
1437.86,98.8142
1440.92,98.8142
1443.97,-177.866
1447.03,-177.866
1450.08,-177.866
1453.14,-177.866
1456.19,-177.866
1459.24,-177.866
1462.3,-177.866
1465.35,-177.866
1468.41,98.8142
1471.46,98.8142
1474.52,98.8142
1477.57,98.8142
1480.63,98.8142
1483.68,98.8142
1486.74,98.8142
1489.79,98.8142
1492.85,98.8142
1495.9,98.8142
1498.95,375.494
1502.01,375.494
1505.06,652.174
1508.12,652.174
1511.17,928.854
1514.23,928.854
1517.28,928.854
1520.34,928.854
1523.39,928.854
1526.45,928.854
1529.5,928.854
1532.56,928.854
1535.61,928.854
1538.67,652.174
1541.72,652.174
1544.77,652.174
1547.83,652.174
1550.88,375.494
1553.94,375.494
1556.99,375.494
1560.05,375.494
1563.1,375.494
1566.16,98.8142
1569.21,98.8142
1572.27,98.8142
1575.32,98.8142
1578.38,98.8142
1581.43,98.8142
1584.49,98.8142
1587.54,98.8142
1590.59,-177.866
1593.65,-177.866
1596.7,-177.866
1599.76,-177.866
1602.81,98.8142
1605.87,98.8142
1608.92,98.8142
1611.98,98.8142
1615.03,98.8142
1618.09,98.8142
1621.14,98.8142
1624.2,98.8142
1627.25,98.8142
1630.31,98.8142
1633.36,98.8142
1636.41,98.8142
1639.47,98.8142
1642.52,98.8142
1645.58,98.8142
1648.63,98.8142
1651.69,98.8142
1654.74,98.8142
1657.8,98.8142
1660.85,98.8142
1663.91,98.8142
1666.96,98.8142
1670.02,98.8142
1673.07,98.8142
1676.13,98.8142
1679.18,98.8142
1682.23,98.8142
1685.29,98.8142
1688.34,98.8142
1691.4,98.8142
1694.45,98.8142
1697.51,98.8142
1700.56,98.8142
1703.62,375.494
1706.67,375.494
1709.73,375.494
1712.78,375.494
1715.84,375.494
1718.89,375.494
1721.95,375.494
1725,375.494
1728.05,98.8142
1731.11,98.8142
1734.16,98.8142
1737.22,98.8142
1740.27,98.8142
1743.33,98.8142
1746.38,98.8142
1749.44,98.8142
1752.49,98.8142
1755.55,98.8142
1758.6,98.8142
1761.66,98.8142
1764.71,98.8142
1767.77,98.8142
1770.82,98.8142
1773.87,98.8142
1776.93,98.8142
1779.98,98.8142
1783.04,98.8142
1786.09,98.8142
1789.15,98.8142
1792.2,-177.866
1795.26,-177.866
1798.31,-177.866
1801.37,98.8142
1804.42,98.8142
1807.48,98.8142
1810.53,98.8142
1813.59,98.8142
1816.64,98.8142
1819.69,98.8142
1822.75,98.8142
1825.8,98.8142
1828.86,98.8142
1831.91,98.8142
1834.97,98.8142
1838.02,98.8142
1841.08,98.8142
1844.13,98.8142
1847.19,98.8142
1850.24,98.8142
1853.3,98.8142
1856.35,98.8142
1859.41,98.8142
1862.46,98.8142
1865.51,98.8142
1868.57,98.8142
1871.62,98.8142
1874.68,98.8142
1877.73,98.8142
1880.79,98.8142
1883.84,98.8142
1886.9,98.8142
1889.95,98.8142
1893.01,98.8142
1896.06,98.8142
1899.12,98.8142
1902.17,98.8142
