,GP550R
RamanShit,Intensity
255.707,328.125
258.762,78.125
261.817,78.125
264.871,78.125
267.926,78.125
270.981,78.125
274.035,78.125
277.09,78.125
280.145,109.375
283.199,78.125
286.254,78.125
289.309,78.125
292.363,46.875
295.418,46.875
298.473,46.875
301.527,46.875
304.582,78.125
307.637,78.125
310.691,109.375
313.746,109.375
316.801,109.375
319.855,109.375
322.91,78.125
325.965,78.125
329.019,78.125
332.074,78.125
335.129,109.375
338.183,140.625
341.238,140.625
344.293,203.125
347.347,265.625
350.402,390.625
353.457,484.375
356.511,515.625
359.566,578.125
362.621,703.125
365.675,921.875
368.73,1328.13
371.785,1578.13
374.839,2078.13
377.894,1578.13
380.949,1515.63
384.003,1328.13
387.058,1046.88
390.113,890.625
393.167,953.125
396.222,953.125
399.277,984.375
402.331,1203.13
405.386,1859.38
408.441,3234.38
411.495,6421.88
414.55,6671.88
417.605,4078.13
420.659,3140.63
423.714,1890.63
426.768,1609.38
429.823,1484.38
432.878,1296.88
435.932,1109.38
438.987,984.375
442.042,921.875
445.096,828.125
448.151,765.625
451.206,671.875
454.26,609.375
457.315,546.875
460.37,484.375
463.424,453.125
466.479,421.875
469.534,390.625
472.588,390.625
475.643,390.625
478.698,359.375
481.752,359.375
484.807,296.875
487.862,265.625
490.916,171.875
493.971,109.375
497.026,109.375
500.08,109.375
503.135,109.375
506.19,140.625
509.244,140.625
512.299,140.625
515.354,140.625
518.408,140.625
521.463,140.625
524.518,140.625
527.572,140.625
530.627,140.625
533.682,140.625
536.736,234.375
539.791,109.375
542.846,78.125
545.9,109.375
548.955,109.375
552.01,109.375
555.064,109.375
558.119,109.375
561.174,140.625
564.228,140.625
567.283,140.625
570.338,171.875
573.392,265.625
576.447,171.875
579.502,140.625
582.556,78.125
585.611,46.875
588.666,46.875
591.72,46.875
594.775,46.875
597.83,46.875
600.884,78.125
603.939,78.125
606.994,46.875
610.048,46.875
613.103,78.125
616.158,78.125
619.212,78.125
622.267,78.125
625.322,78.125
628.376,78.125
631.431,109.375
634.486,265.625
637.54,546.875
640.595,1140.63
643.65,1203.13
646.704,671.875
649.759,546.875
652.814,296.875
655.868,140.625
658.923,109.375
661.977,78.125
665.032,78.125
668.087,78.125
671.141,78.125
674.196,78.125
