,GP550R
RamanShit,Intensity
258.828,263.78
261.878,122.047
264.928,98.4252
267.978,98.4252
271.027,122.047
274.077,145.669
277.127,192.913
280.177,240.157
283.226,287.402
286.276,287.402
289.326,287.402
292.376,311.024
295.425,334.646
298.475,381.89
301.525,429.134
304.575,500
307.624,594.488
310.674,783.465
313.724,996.063
316.774,1114.17
319.823,1255.91
322.873,1066.93
325.923,830.709
328.973,452.756
332.022,263.78
335.072,216.535
338.122,216.535
341.172,192.913
344.222,192.913
347.271,169.291
350.321,169.291
353.371,122.047
356.421,122.047
359.47,145.669
362.52,145.669
365.57,169.291
368.62,169.291
371.669,169.291
374.719,169.291
377.769,169.291
380.819,216.535
383.868,287.402
386.918,476.378
389.968,665.354
393.018,736.22
396.067,830.709
399.117,712.598
402.167,594.488
405.217,429.134
408.266,429.134
411.316,405.512
414.366,405.512
417.416,452.756
420.465,381.89
423.515,334.646
426.565,240.157
429.615,169.291
432.665,240.157
435.714,287.402
438.764,311.024
441.814,405.512
444.864,311.024
447.913,240.157
450.963,98.4252
454.013,51.1811
457.063,27.5591
460.112,51.1811
463.162,74.8031
466.212,98.4252
469.262,145.669
472.311,169.291
475.361,240.157
478.411,334.646
481.461,452.756
484.51,618.11
487.56,476.378
490.61,452.756
493.66,358.268
496.709,240.157
499.759,240.157
502.809,263.78
505.859,311.024
508.909,358.268
511.958,381.89
515.008,405.512
518.058,405.512
521.108,452.756
524.157,500
527.207,641.732
530.257,618.11
533.307,570.866
536.356,523.622
539.406,500
542.456,405.512
545.506,216.535
548.555,334.646
551.605,334.646
554.655,358.268
557.705,358.268
560.754,358.268
563.804,358.268
566.854,358.268
569.904,358.268
572.953,381.89
576.003,381.89
579.053,405.512
582.103,429.134
585.152,452.756
588.202,476.378
591.252,500
594.302,523.622
597.352,523.622
600.401,523.622
603.451,523.622
606.501,523.622
609.551,476.378
612.6,476.378
615.65,452.756
618.7,429.134
621.75,429.134
624.799,381.89
627.849,334.646
630.899,311.024
633.949,287.402
636.998,287.402
640.048,240.157
643.098,240.157
646.148,240.157
649.197,240.157
652.247,240.157
655.297,240.157
658.347,240.157
661.396,263.78
664.446,311.024
667.496,476.378
670.546,688.976
673.596,972.441
676.645,1633.86
679.695,2106.3
682.745,3925.2
685.795,3547.24
688.844,2082.68
691.894,1610.24
694.944,901.575
697.994,547.244
701.043,358.268
704.093,287.402
707.143,169.291
710.193,122.047
713.242,122.047
716.292,122.047
719.342,122.047
722.392,169.291
725.441,122.047
728.491,122.047
731.541,98.4252
734.591,98.4252
737.64,98.4252
740.69,74.8031
743.74,51.1811
746.79,51.1811
749.839,51.1811
752.889,51.1811
755.939,51.1811
758.989,98.4252
762.039,169.291
765.088,263.78
768.138,429.134
771.188,476.378
774.238,311.024
777.287,311.024
780.337,240.157
783.387,169.291
786.437,145.669
789.486,122.047
792.536,98.4252
795.586,74.8031
798.636,74.8031
801.685,98.4252
804.735,98.4252
807.785,122.047
810.835,145.669
813.884,192.913
816.934,240.157
819.984,240.157
823.034,240.157
826.083,240.157
829.133,240.157
