,GP550R
RamanShit,Intensity
261.755,137.795
264.815,137.795
267.874,137.795
270.934,137.795
273.994,137.795
277.053,334.646
280.113,728.346
283.172,1712.6
286.232,2500
289.291,3287.4
292.351,2893.7
295.411,2500
298.47,2106.3
301.53,1318.9
304.589,728.346
307.649,334.646
310.709,137.795
313.768,137.795
316.828,137.795
319.887,137.795
322.947,137.795
326.006,137.795
329.066,137.795
332.126,137.795
335.185,137.795
338.245,137.795
341.304,137.795
344.364,137.795
347.424,137.795
350.483,137.795
353.543,334.646
356.602,334.646
359.662,334.646
362.721,334.646
365.781,334.646
368.841,334.646
371.9,334.646
374.96,334.646
378.019,334.646
381.079,334.646
384.138,531.496
387.198,728.346
390.258,925.197
393.317,1318.9
396.377,1712.6
399.436,2500
402.496,3484.25
405.556,4862.2
408.615,5846.46
411.675,6830.71
414.734,7618.11
417.794,8602.36
420.853,9586.61
423.913,10767.7
426.973,12145.7
430.032,13720.5
433.092,15295.3
436.151,16673.2
439.211,17263.8
442.271,17460.6
445.33,17263.8
448.39,17066.9
451.449,16279.5
454.509,14901.6
457.568,12933.1
460.628,10767.7
463.688,8405.51
466.747,6240.16
469.807,4665.35
472.866,3484.25
475.926,2500
478.986,1712.6
482.045,1122.05
485.105,728.346
488.164,531.496
491.224,334.646
494.283,137.795
497.343,137.795
500.403,137.795
503.462,137.795
506.522,137.795
509.581,137.795
512.641,137.795
515.7,137.795
518.76,137.795
521.82,137.795
524.879,137.795
527.939,137.795
530.998,137.795
534.058,137.795
537.118,137.795
540.177,137.795
543.237,137.795
546.296,334.646
549.356,531.496
552.415,728.346
555.475,1122.05
558.535,1515.75
561.594,2303.15
564.654,3090.55
567.713,4074.8
570.773,5255.91
573.833,6437.01
576.892,8011.81
579.952,9586.61
583.011,11555.1
586.071,14114.2
589.13,17066.9
592.19,19822.8
595.25,22972.4
598.309,26515.7
601.369,30059.1
604.428,33405.5
607.488,35964.6
610.548,38523.6
613.607,38720.5
616.667,36555.1
619.726,35177.2
622.786,32027.6
625.845,28287.4
628.905,24350.4
631.965,20413.4
635.024,17066.9
638.084,13917.3
641.143,11358.3
644.203,8799.21
647.262,6830.71
650.322,5255.91
653.382,4074.8
656.441,3287.4
659.501,2500
662.56,1909.45
665.62,1515.75
668.68,1122.05
671.739,925.197
674.799,728.346
677.858,334.646
680.918,334.646
683.977,334.646
687.037,137.795
690.097,137.795
693.156,137.795
696.216,137.795
699.275,137.795
702.335,137.795
705.395,137.795
708.454,137.795
711.514,137.795
714.573,137.795
717.633,137.795
720.692,137.795
723.752,137.795
726.812,137.795
729.871,137.795
732.931,137.795
735.99,137.795
739.05,137.795
742.11,137.795
745.169,137.795
748.229,137.795
751.288,137.795
754.348,137.795
757.407,137.795
760.467,137.795
763.527,137.795
766.586,137.795
769.646,137.795
772.705,137.795
775.765,137.795
778.824,137.795
781.884,137.795
784.944,334.646
788.003,334.646
791.063,334.646
794.122,334.646
797.182,334.646
800.242,334.646
803.301,334.646
806.361,531.496
809.42,531.496
