,GP550R
RamanShit,Intensity
258.629,90.5512
261.694,90.5512
264.758,161.417
267.823,232.283
270.887,303.15
273.952,374.016
277.016,444.882
280.081,515.748
283.145,515.748
286.21,515.748
289.274,586.614
292.339,586.614
295.403,657.48
298.468,728.346
301.532,870.079
304.597,940.945
307.661,940.945
310.726,940.945
313.79,870.079
316.855,728.346
319.919,657.48
322.984,586.614
326.048,444.882
329.113,444.882
332.177,374.016
335.242,374.016
338.306,374.016
341.371,374.016
344.435,374.016
347.5,374.016
350.565,374.016
353.629,374.016
356.694,374.016
359.758,374.016
362.823,374.016
365.887,444.882
368.952,444.882
372.016,515.748
375.081,586.614
378.145,657.48
381.21,799.213
384.274,1082.68
387.339,1366.14
390.403,2003.94
393.468,3279.53
396.532,5688.98
399.597,7531.5
402.661,11145.7
405.726,7814.96
408.79,7744.09
411.855,5972.44
414.919,3137.8
417.984,1720.47
421.048,1011.81
424.113,586.614
427.177,303.15
430.242,161.417
433.306,90.5512
436.371,19.685
439.435,19.685
442.5,19.685
445.565,-51.1811
448.629,-51.1811
451.694,-51.1811
454.758,-51.1811
457.823,19.685
460.887,19.685
463.952,19.685
467.016,19.685
470.081,90.5512
473.145,161.417
476.21,303.15
479.274,586.614
482.339,799.213
485.403,799.213
488.468,728.346
491.532,586.614
494.597,374.016
497.661,232.283
500.726,232.283
503.79,232.283
506.855,232.283
509.919,232.283
512.984,232.283
516.048,232.283
519.113,232.283
522.177,303.15
525.242,303.15
528.306,374.016
531.371,374.016
534.435,374.016
537.5,374.016
540.565,374.016
543.629,374.016
546.694,374.016
549.758,374.016
552.823,444.882
555.887,444.882
558.952,444.882
562.016,444.882
565.081,444.882
568.145,515.748
571.21,515.748
574.274,515.748
577.339,515.748
580.403,515.748
583.468,515.748
586.532,515.748
589.597,515.748
592.661,515.748
595.726,586.614
598.79,586.614
601.855,586.614
604.919,586.614
607.984,586.614
611.048,586.614
614.113,586.614
617.177,586.614
620.242,586.614
623.306,586.614
626.371,586.614
629.435,515.748
632.5,515.748
635.565,515.748
638.629,515.748
641.694,515.748
644.758,586.614
647.823,586.614
650.887,657.48
653.952,799.213
657.016,1011.81
660.081,1295.28
663.145,1366.14
666.21,1507.87
669.274,1295.28
672.339,1153.54
675.403,799.213
678.468,586.614
681.532,374.016
684.597,232.283
687.661,161.417
690.726,90.5512
693.79,19.685
696.855,19.685
699.919,19.685
702.984,19.685
706.048,19.685
709.113,19.685
712.177,19.685
715.242,19.685
718.306,19.685
721.371,19.685
724.435,19.685
727.5,19.685
730.565,19.685
733.629,19.685
736.694,19.685
739.758,19.685
742.823,19.685
745.887,19.685
748.952,90.5512
752.016,161.417
755.081,303.15
758.145,657.48
761.21,1082.68
764.274,1366.14
767.339,1720.47
770.403,1366.14
773.468,1153.54
776.532,799.213
779.597,444.882
782.661,303.15
785.726,161.417
788.79,90.5512
791.855,90.5512
794.919,90.5512
797.984,90.5512
801.048,90.5512
804.113,90.5512
807.177,90.5512
810.242,90.5512
813.306,161.417
816.371,161.417
819.435,232.283
822.5,232.283
825.565,232.283
828.629,303.15
831.694,374.016
834.758,374.016
837.823,444.882
840.887,444.882
843.952,444.882
847.016,444.882
850.081,444.882
853.145,444.882
856.21,444.882
859.274,444.882
862.339,515.748
865.403,515.748
868.468,444.882
871.532,444.882
874.597,444.882
877.661,444.882
880.726,374.016
883.79,374.016
886.855,374.016
889.919,374.016
892.984,374.016
896.048,374.016
899.113,374.016
902.177,303.15
905.242,303.15
908.306,303.15
911.371,303.15
914.435,303.15
917.5,303.15
920.565,303.15
923.629,303.15
926.694,232.283
929.758,232.283
932.823,232.283
935.887,161.417
938.952,161.417
942.016,161.417
945.081,161.417
948.145,161.417
951.21,161.417
954.274,90.5512
957.339,90.5512
960.403,90.5512
963.468,19.685
966.532,19.685
969.597,19.685
972.661,19.685
975.726,19.685
978.79,19.685
981.855,19.685
984.919,19.685
987.984,19.685
991.048,19.685
994.113,19.685
997.177,19.685
1000.24,19.685
1003.31,19.685
1006.37,19.685
1009.44,19.685
1012.5,19.685
1015.56,19.685
1018.63,19.685
1021.69,19.685
1024.76,19.685
1027.82,19.685
1030.89,19.685
1033.95,19.685
1037.02,19.685
1040.08,19.685
1043.15,19.685
1046.21,19.685
1049.27,19.685
1052.34,19.685
1055.4,19.685
1058.47,90.5512
1061.53,90.5512
1064.6,90.5512
1067.66,90.5512
1070.73,90.5512
1073.79,90.5512
1076.85,90.5512
1079.92,19.685
1082.98,19.685
1086.05,19.685
1089.11,19.685
1092.18,19.685
1095.24,90.5512
1098.31,161.417
1101.37,232.283
1104.44,303.15
1107.5,303.15
1110.56,232.283
1113.63,232.283
1116.69,232.283
1119.76,232.283
1122.82,232.283
1125.89,303.15
1128.95,374.016
1132.02,515.748
1135.08,657.48
1138.15,799.213
1141.21,940.945
1144.27,1153.54
1147.34,1366.14
1150.4,1507.87
1153.47,1578.74
1156.53,1720.47
1159.6,1791.34
1162.66,2074.8
1165.73,2287.4
1168.79,2358.27
1171.85,2429.13
1174.92,2074.8
1177.98,1649.61
1181.05,1295.28
1184.11,870.079
1187.18,657.48
1190.24,586.614
1193.31,444.882
1196.37,303.15
1199.44,303.15
1202.5,303.15
1205.56,303.15
1208.63,374.016
1211.69,515.748
1214.76,657.48
1217.82,799.213
1220.89,870.079
1223.95,940.945
1227.02,940.945
1230.08,870.079
1233.15,799.213
1236.21,657.48
1239.27,586.614
1242.34,444.882
1245.4,303.15
1248.47,232.283
1251.53,232.283
1254.6,90.5512
1257.66,90.5512
1260.73,90.5512
1263.79,90.5512
1266.85,90.5512
1269.92,232.283
1272.98,374.016
1276.05,444.882
1279.11,515.748
1282.18,586.614
1285.24,586.614
1288.31,515.748
1291.37,374.016
1294.44,161.417
1297.5,90.5512
1300.56,90.5512
1303.63,90.5512
1306.69,90.5512
1309.76,90.5512
1312.82,90.5512
1315.89,90.5512
1318.95,90.5512
1322.02,161.417
1325.08,303.15
1328.15,444.882
1331.21,586.614
1334.27,870.079
1337.34,1224.41
1340.4,1507.87
1343.47,1720.47
1346.53,1720.47
1349.6,1720.47
1352.66,1649.61
1355.73,1437.01
1358.79,1224.41
1361.85,1011.81
1364.92,870.079
1367.98,728.346
1371.05,515.748
1374.11,444.882
1377.18,444.882
1380.24,303.15
1383.31,232.283
1386.37,232.283
1389.44,232.283
1392.5,303.15
1395.56,374.016
1398.63,515.748
1401.69,586.614
1404.76,586.614
1407.82,657.48
1410.89,657.48
1413.95,657.48
1417.02,586.614
1420.08,515.748
1423.15,374.016
1426.21,303.15
1429.27,232.283
1432.34,161.417
1435.4,161.417
1438.47,161.417
1441.53,161.417
1444.6,161.417
1447.66,90.5512
1450.73,90.5512
1453.79,90.5512
1456.85,90.5512
1459.92,90.5512
1462.98,19.685
1466.05,19.685
1469.11,19.685
1472.18,90.5512
1475.24,90.5512
1478.31,90.5512
1481.37,90.5512
1484.44,90.5512
1487.5,161.417
1490.56,161.417
1493.63,161.417
1496.69,161.417
1499.76,161.417
1502.82,90.5512
1505.89,90.5512
1508.95,90.5512
1512.02,90.5512
1515.08,90.5512
1518.15,90.5512
1521.21,90.5512
1524.27,90.5512
1527.34,19.685
1530.4,19.685
1533.47,19.685
1536.53,19.685
1539.6,19.685
1542.66,90.5512
1545.73,90.5512
1548.79,90.5512
1551.85,161.417
1554.92,232.283
1557.98,303.15
1561.05,303.15
1564.11,374.016
1567.18,515.748
1570.24,586.614
1573.31,586.614
1576.37,515.748
1579.44,515.748
1582.5,444.882
1585.56,444.882
1588.63,444.882
1591.69,444.882
1594.76,444.882
1597.82,444.882
1600.89,515.748
1603.95,586.614
1607.02,586.614
1610.08,586.614
1613.15,515.748
1616.21,444.882
1619.27,232.283
1622.34,161.417
1625.4,90.5512
1628.47,19.685
1631.53,19.685
1634.6,19.685
1637.66,19.685
1640.73,19.685
1643.79,19.685
1646.85,19.685
1649.92,19.685
1652.98,19.685
1656.05,90.5512
1659.11,90.5512
1662.18,90.5512
1665.24,90.5512
1668.31,90.5512
1671.37,161.417
1674.44,161.417
1677.5,161.417
1680.56,161.417
1683.63,161.417
1686.69,161.417
1689.76,161.417
1692.82,232.283
1695.89,232.283
1698.95,232.283
1702.02,232.283
1705.08,232.283
1708.15,303.15
1711.21,303.15
1714.27,303.15
1717.34,232.283
1720.4,232.283
1723.47,232.283
1726.53,232.283
1729.6,232.283
1732.66,232.283
1735.73,303.15
1738.79,232.283
1741.85,232.283
1744.92,161.417
1747.98,161.417
1751.05,161.417
1754.11,161.417
1757.18,161.417
1760.24,161.417
1763.31,161.417
1766.37,161.417
1769.44,232.283
1772.5,232.283
1775.56,232.283
1778.63,232.283
1781.69,161.417
1784.76,90.5512
1787.82,90.5512
1790.89,90.5512
1793.95,90.5512
1797.02,90.5512
1800.08,90.5512
1803.15,90.5512
1806.21,90.5512
1809.27,90.5512
1812.34,90.5512
1815.4,90.5512
1818.47,90.5512
1821.53,90.5512
1824.6,90.5512
1827.66,90.5512
1830.73,19.685
1833.79,19.685
1836.85,19.685
1839.92,19.685
1842.98,19.685
1846.05,19.685
1849.11,90.5512
1852.18,19.685
1855.24,19.685
1858.31,19.685
1861.37,19.685
1864.44,19.685
1867.5,19.685
1870.56,19.685
1873.63,19.685
1876.69,19.685
1879.76,19.685
1882.82,19.685
1885.89,19.685
1888.95,19.685
1892.02,19.685
1895.08,19.685
1898.15,19.685
1901.21,19.685
1904.27,19.685
1907.34,19.685
1910.4,19.685
1913.47,19.685
1916.53,19.685
1919.6,90.5512
1922.66,90.5512
1925.73,90.5512
1928.79,90.5512
1931.85,161.417
1934.92,161.417
1937.98,161.417
1941.05,161.417
1944.11,161.417
1947.18,161.417
1950.24,161.417
1953.31,161.417
1956.37,232.283
1959.44,232.283
1962.5,303.15
1965.56,303.15
1968.63,232.283
1971.69,232.283
1974.76,232.283
1977.82,232.283
1980.89,232.283
1983.95,303.15
1987.02,303.15
1990.08,303.15
1993.15,303.15
1996.21,303.15
1999.27,303.15
2002.34,232.283
2005.4,232.283
2008.47,232.283
2011.53,232.283
2014.6,232.283
2017.66,232.283
2020.73,232.283
2023.79,232.283
2026.85,303.15
2029.92,232.283
2032.98,232.283
2036.05,232.283
2039.11,232.283
2042.18,232.283
2045.24,232.283
2048.31,232.283
2051.37,232.283
2054.44,232.283
2057.5,232.283
2060.56,161.417
2063.63,161.417
2066.69,161.417
2069.76,90.5512
2072.82,90.5512
2075.89,90.5512
2078.95,90.5512
2082.02,90.5512
2085.08,90.5512
2088.15,90.5512
2091.21,90.5512
2094.27,90.5512
2097.34,90.5512
2100.4,19.685
2103.47,19.685
2106.53,19.685
2109.6,19.685
2112.66,19.685
2115.73,19.685
2118.79,19.685
2121.85,90.5512
2124.92,19.685
2127.98,19.685
2131.05,19.685
2134.11,19.685
2137.18,19.685
2140.24,19.685
2143.31,19.685
2146.37,19.685
2149.44,19.685
2152.5,19.685
2155.56,19.685
2158.63,19.685
2161.69,19.685
2164.76,19.685
2167.82,19.685
2170.89,19.685
2173.95,19.685
2177.02,90.5512
2180.08,90.5512
2183.15,90.5512
2186.21,90.5512
2189.27,90.5512
2192.34,90.5512
2195.4,19.685
2198.47,19.685
2201.53,19.685
2204.6,19.685
2207.66,90.5512
2210.73,90.5512
2213.79,161.417
2216.85,161.417
2219.92,161.417
2222.98,161.417
2226.05,232.283
2229.11,232.283
2232.18,161.417
2235.24,161.417
2238.31,161.417
2241.37,161.417
2244.44,232.283
2247.5,232.283
2250.56,232.283
2253.63,232.283
2256.69,232.283
2259.76,232.283
2262.82,161.417
2265.89,161.417
2268.95,161.417
2272.02,161.417
2275.08,161.417
2278.15,161.417
2281.21,161.417
2284.27,161.417
2287.34,161.417
2290.4,90.5512
2293.47,232.283
2296.53,232.283
