,GP550R
RamanShit,Intensity
244.398,12311.6
247.575,12239.1
250.753,11949.3
253.93,11876.8
257.107,11514.5
260.284,17311.6
263.462,14558
266.639,9557.97
269.816,7094.2
272.993,4920.29
276.171,7166.67
279.348,9050.72
282.525,11007.2
285.702,5210.14
288.88,6007.25
292.057,6007.25
295.234,137.681
298.411,-79.7101
301.589,-79.7101
304.766,-7.24638
307.943,210.145
311.12,355.072
314.298,500
317.475,862.319
320.652,1659.42
323.829,2166.67
327.007,2746.38
330.184,3760.87
333.361,1876.81
336.538,934.783
339.716,210.145
342.893,210.145
346.07,282.609
349.247,355.072
352.425,355.072
355.602,355.072
358.779,355.072
361.957,210.145
365.134,210.145
368.311,137.681
371.488,137.681
374.666,137.681
377.843,65.2174
381.02,65.2174
384.197,65.2174
387.375,282.609
390.552,934.783
393.729,1876.81
396.906,2891.3
400.084,2746.38
403.261,1949.28
406.438,1949.28
409.615,1224.64
412.793,427.536
415.97,210.145
419.147,137.681
422.324,65.2174
425.502,-7.24638
428.679,-7.24638
431.856,-7.24638
435.033,65.2174
438.211,137.681
441.388,282.609
444.565,1007.25
447.742,2311.59
450.92,3543.48
454.097,3398.55
457.274,2746.38
460.452,1876.81
463.629,789.855
466.806,500
469.983,427.536
473.161,355.072
476.338,355.072
479.515,282.609
482.692,282.609
485.87,210.145
489.047,282.609
492.224,282.609
495.401,282.609
498.579,282.609
501.756,210.145
504.933,282.609
508.11,427.536
511.288,717.391
514.465,862.319
517.642,862.319
520.819,717.391
523.997,427.536
527.174,210.145
530.351,65.2174
533.528,137.681
536.706,210.145
539.883,427.536
543.06,572.464
546.237,717.391
549.415,789.855
552.592,862.319
555.769,934.783
558.946,1079.71
562.124,862.319
565.301,500
568.478,282.609
571.656,65.2174
574.833,-7.24638
578.01,-7.24638
581.187,-7.24638
584.365,-7.24638
587.542,-7.24638
590.719,-7.24638
593.896,-7.24638
597.074,-7.24638
600.251,-7.24638
603.428,-7.24638
606.605,-7.24638
609.783,-7.24638
612.96,-7.24638
616.137,-7.24638
619.314,-7.24638
622.492,65.2174
625.669,137.681
628.846,210.145
632.023,282.609
635.201,427.536
638.378,427.536
641.555,427.536
644.732,427.536
647.91,210.145
651.087,-7.24638
654.264,-7.24638
657.441,-7.24638
660.619,-7.24638
663.796,-7.24638
666.973,-7.24638
670.151,-7.24638
673.328,-7.24638
676.505,-7.24638
679.682,-7.24638
682.86,-7.24638
686.037,-7.24638
689.214,-7.24638
692.391,-7.24638
695.569,-7.24638
698.746,-7.24638
701.923,-7.24638
705.1,65.2174
708.278,-7.24638
711.455,-7.24638
714.632,-7.24638
717.809,-7.24638
720.987,-7.24638
724.164,-7.24638
727.341,-7.24638
730.518,-7.24638
733.696,-7.24638
736.873,-7.24638
740.05,-7.24638
743.227,-7.24638
746.405,-7.24638
749.582,-7.24638
752.759,-7.24638
755.936,-7.24638
759.114,-7.24638
762.291,-7.24638
765.468,-7.24638
768.645,-7.24638
771.823,-7.24638
775,-7.24638
778.177,-7.24638
781.355,-7.24638
784.532,-7.24638
787.709,-7.24638
790.886,-7.24638
794.064,-7.24638
797.241,-7.24638
800.418,-7.24638
803.595,-7.24638
806.773,-7.24638
809.95,-7.24638
813.127,-7.24638
816.304,-7.24638
819.482,65.2174
822.659,65.2174
825.836,210.145
829.013,355.072
832.191,500
835.368,862.319
838.545,1369.57
841.722,2239.13
844.9,3108.7
848.077,3398.55
851.254,4050.72
854.431,3615.94
857.609,3036.23
860.786,2311.59
863.963,1442.03
867.14,789.855
870.318,572.464
873.495,427.536
876.672,355.072
879.849,210.145
883.027,282.609
886.204,282.609
889.381,427.536
892.559,572.464
895.736,862.319
898.913,1079.71
902.09,3760.87
905.268,3688.41
908.445,3688.41
911.622,4340.58
914.799,6586.96
917.977,7818.84
921.154,8833.33
924.331,10210.1
927.508,10717.4
930.686,9702.9
933.863,8471.01
937.04,7239.13
940.217,4630.43
943.395,4123.19
946.572,3978.26
949.749,1152.17
952.926,572.464
956.104,427.536
959.281,282.609
962.458,282.609
965.635,210.145
968.813,282.609
971.99,427.536
975.167,1007.25
978.344,1731.88
981.522,2021.74
984.699,1442.03
987.876,1297.1
991.054,1007.25
994.231,862.319
997.408,717.391
1000.59,934.783
1003.76,934.783
1006.94,1007.25
1010.12,1079.71
1013.29,644.928
1016.47,500
1019.65,355.072
1022.83,137.681
1026,65.2174
1029.18,-7.24638
1032.36,-7.24638
1035.54,-7.24638
1038.71,-7.24638
1041.89,-7.24638
1045.07,-7.24638
1048.24,-7.24638
1051.42,-7.24638
1054.6,-7.24638
1057.78,-7.24638
1060.95,-7.24638
1064.13,-7.24638
1067.31,-7.24638
1070.48,-7.24638
1073.66,-7.24638
1076.84,-7.24638
1080.02,-7.24638
1083.19,-7.24638
1086.37,-7.24638
1089.55,-7.24638
1092.73,-7.24638
1095.9,-7.24638
1099.08,-7.24638
1102.26,-7.24638
1105.43,-7.24638
1108.61,-7.24638
1111.79,-7.24638
1114.97,-7.24638
1118.14,-7.24638
1121.32,-7.24638
1124.5,-7.24638
1127.68,-7.24638
1130.85,-7.24638
1134.03,-7.24638
1137.21,-7.24638
1140.38,65.2174
1143.56,65.2174
1146.74,137.681
1149.92,210.145
1153.09,355.072
1156.27,427.536
1159.45,427.536
1162.63,427.536
1165.8,427.536
1168.98,427.536
1172.16,355.072
1175.33,210.145
1178.51,-7.24638
1181.69,-7.24638
1184.87,-7.24638
1188.04,-7.24638
1191.22,-7.24638
1194.4,-7.24638
1197.58,-7.24638
1200.75,-7.24638
1203.93,-7.24638
1207.11,-7.24638
1210.28,-7.24638
1213.46,-7.24638
1216.64,-7.24638
