,GP550R
RamanShit,Intensity
261.817,39.5257
264.871,355.731
267.926,671.937
270.981,1146.25
274.035,1462.45
277.09,1620.55
280.145,1620.55
283.199,1462.45
286.254,1146.25
289.309,671.937
292.363,355.731
295.418,197.628
298.473,197.628
301.527,197.628
304.582,355.731
307.637,671.937
310.691,830.04
313.746,988.142
316.801,1146.25
319.855,1304.35
322.91,1936.76
325.965,2727.27
329.019,3201.58
332.074,3201.58
335.129,3043.48
338.183,2885.38
341.238,2252.96
344.293,1778.66
347.347,1620.55
350.402,1778.66
353.457,2252.96
356.511,3201.58
359.566,4624.51
362.621,6363.64
365.675,8418.97
368.73,10948.6
371.785,12687.7
374.839,15217.4
377.894,15533.6
380.949,13004
384.003,11897.2
387.058,9367.59
390.113,7470.36
393.167,6363.64
396.222,6047.43
399.277,6047.43
402.331,6047.43
405.386,6047.43
408.441,5889.33
411.495,5573.12
414.55,4782.61
417.605,3675.89
420.659,2411.07
423.714,1304.35
426.768,513.834
429.823,197.628
432.878,197.628
435.932,197.628
438.987,355.731
442.042,671.937
445.096,1146.25
448.151,1462.45
451.206,1620.55
454.26,1620.55
457.315,1620.55
460.37,1462.45
463.424,988.142
466.479,671.937
469.534,355.731
472.588,197.628
475.643,39.5257
478.698,39.5257
481.752,39.5257
484.807,197.628
487.862,355.731
490.916,355.731
493.971,355.731
497.026,355.731
500.08,513.834
503.135,830.04
506.19,1304.35
509.244,1778.66
512.299,2411.07
515.354,3043.48
518.408,3675.89
521.463,3675.89
524.518,3833.99
527.572,3992.09
530.627,4150.2
533.682,4308.3
536.736,4782.61
539.791,5889.33
542.846,6521.74
545.9,6679.84
548.955,6837.94
552.01,6837.94
555.064,6837.94
558.119,6679.84
561.174,6363.64
564.228,5731.23
567.283,4940.71
570.338,3992.09
573.392,3043.48
576.447,2411.07
579.502,1778.66
582.556,1146.25
585.611,830.04
588.666,671.937
591.72,513.834
594.775,355.731
597.83,197.628
600.884,39.5257
603.939,39.5257
606.994,39.5257
610.048,39.5257
613.103,39.5257
616.158,197.628
619.212,197.628
622.267,355.731
625.322,355.731
628.376,513.834
631.431,513.834
634.486,671.937
637.54,671.937
640.595,513.834
643.65,355.731
646.704,197.628
649.759,39.5257
652.814,39.5257
655.868,39.5257
658.923,39.5257
661.977,39.5257
665.032,197.628
668.087,355.731
671.141,671.937
674.196,671.937
677.251,830.04
680.305,830.04
683.36,671.937
686.415,671.937
689.469,513.834
692.524,355.731
695.579,355.731
698.633,355.731
701.688,355.731
704.743,513.834
707.797,830.04
710.852,1304.35
713.907,2094.86
716.961,25177.9
720.016,25177.9
723.071,25177.9
726.125,25177.9
729.18,25177.9
732.235,25177.9
735.289,22490.1
738.344,25968.4
741.399,25177.9
744.453,25177.9
747.508,25177.9
750.563,25177.9
753.617,25177.9
756.672,25177.9
759.727,2727.27
762.781,2252.96
765.836,1936.76
768.891,1620.55
771.945,1146.25
775,671.937
778.055,513.834
781.109,197.628
784.164,197.628
787.219,39.5257
790.273,39.5257
793.328,197.628
796.383,197.628
799.437,355.731
802.492,355.731
805.547,513.834
808.601,513.834
811.656,355.731
814.711,355.731
817.765,197.628
820.82,197.628
823.875,39.5257
826.929,39.5257
829.984,39.5257
833.039,39.5257
836.093,39.5257
839.148,39.5257
842.203,39.5257
845.257,39.5257
848.312,39.5257
851.367,39.5257
854.421,39.5257
857.476,197.628
860.531,197.628
863.585,355.731
866.64,355.731
869.695,513.834
872.749,513.834
875.804,671.937
878.859,671.937
881.913,830.04
884.968,830.04
888.023,830.04
891.077,671.937
894.132,671.937
897.186,513.834
900.241,513.834
903.296,355.731
906.35,197.628
909.405,39.5257
912.46,39.5257
915.514,39.5257
918.569,39.5257
921.624,39.5257
924.678,39.5257
927.733,39.5257
930.788,197.628
933.842,197.628
936.897,197.628
939.952,355.731
943.006,355.731
946.061,355.731
949.116,513.834
952.17,513.834
955.225,513.834
958.28,355.731
961.334,355.731
964.389,355.731
967.444,355.731
970.498,513.834
973.553,513.834
976.608,513.834
979.662,671.937
982.717,671.937
985.772,671.937
988.826,830.04
991.881,830.04
994.936,671.937
997.99,671.937
1001.05,513.834
1004.1,355.731
1007.15,197.628
1010.21,197.628
1013.26,197.628
1016.32,197.628
1019.37,355.731
1022.43,513.834
1025.48,671.937
1028.54,988.142
1031.59,1462.45
1034.65,1936.76
1037.7,2252.96
1040.76,2569.17
1043.81,2727.27
1046.86,2885.38
1049.92,3043.48
1052.97,3517.79
1056.03,4150.2
1059.08,4940.71
1062.14,6205.53
1065.19,7628.46
1068.25,10000
1071.3,11422.9
1074.36,12371.5
1077.41,11422.9
1080.47,11264.8
1083.52,10000
1086.58,7786.56
1089.63,5573.12
1092.68,3833.99
1095.74,2411.07
1098.79,1620.55
1101.85,1146.25
1104.9,830.04
1107.96,671.937
1111.01,513.834
1114.07,513.834
1117.12,513.834
1120.18,355.731
1123.23,355.731
1126.29,355.731
1129.34,355.731
1132.4,355.731
1135.45,355.731
1138.5,355.731
1141.56,355.731
1144.61,355.731
1147.67,355.731
1150.72,355.731
1153.78,197.628
1156.83,197.628
1159.89,39.5257
1162.94,39.5257
1166,39.5257
1169.05,39.5257
1172.11,39.5257
1175.16,39.5257
1178.22,39.5257
1181.27,39.5257
1184.32,39.5257
1187.38,39.5257
1190.43,39.5257
1193.49,39.5257
1196.54,197.628
1199.6,197.628
1202.65,355.731
1205.71,513.834
1208.76,671.937
1211.82,988.142
1214.87,1304.35
1217.93,1620.55
1220.98,1936.76
1224.04,2252.96
1227.09,2727.27
1230.14,3043.48
1233.2,3201.58
1236.25,3359.68
1239.31,3359.68
1242.36,3359.68
1245.42,3201.58
1248.47,2885.38
1251.53,2569.17
1254.58,2094.86
1257.64,1778.66
1260.69,1462.45
1263.75,1146.25
1266.8,988.142
1269.86,830.04
1272.91,671.937
1275.96,513.834
1279.02,355.731
1282.07,197.628
1285.13,197.628
1288.18,197.628
1291.24,39.5257
1294.29,39.5257
1297.35,39.5257
1300.4,39.5257
1303.46,39.5257
1306.51,39.5257
1309.57,39.5257
1312.62,39.5257
1315.68,39.5257
1318.73,39.5257
1321.78,39.5257
1324.84,39.5257
1327.89,39.5257
1330.95,39.5257
1334,197.628
1337.06,197.628
1340.11,197.628
1343.17,197.628
1346.22,197.628
1349.28,197.628
1352.33,197.628
1355.39,197.628
1358.44,197.628
1361.5,197.628
1364.55,197.628
1367.6,197.628
1370.66,197.628
1373.71,197.628
1376.77,197.628
1379.82,355.731
1382.88,355.731
1385.93,355.731
1388.99,355.731
1392.04,355.731
1395.1,355.731
1398.15,355.731
1401.21,197.628
1404.26,197.628
1407.32,197.628
1410.37,197.628
1413.42,197.628
1416.48,197.628
1419.53,197.628
1422.59,197.628
1425.64,197.628
1428.7,197.628
1431.75,39.5257
1434.81,39.5257
1437.86,39.5257
