,GP550R
RamanShit,Intensity
264.311,1072.61
267.71,1072.61
271.109,1072.61
274.508,1072.61
277.907,1072.61
281.306,1072.61
284.705,1072.61
288.104,1072.61
291.503,907.591
294.902,907.591
298.301,907.591
301.699,1072.61
305.098,1072.61
308.497,1567.66
311.896,2227.72
315.295,2227.72
318.694,2392.74
322.093,2392.74
325.492,2392.74
328.891,2557.76
332.29,3217.82
335.689,3877.89
339.088,4537.95
342.487,5363.04
345.886,6023.1
349.284,6353.14
352.683,7508.25
356.082,8828.38
359.481,12293.7
362.88,18399.3
366.279,21369.6
369.678,38696.4
373.077,41831.7
376.476,21204.6
379.875,21204.6
383.274,16749.2
386.673,12293.7
390.072,12128.7
393.47,11963.7
396.869,11468.6
400.268,9983.5
403.667,8828.38
407.066,8663.37
410.465,8498.35
413.864,8168.32
417.263,6353.14
420.662,3382.84
424.061,2062.71
427.46,1567.66
430.859,1072.61
434.258,1072.61
437.657,1072.61
441.055,1072.61
444.454,1072.61
447.853,1072.61
451.252,1072.61
454.651,1072.61
458.05,1072.61
461.449,1072.61
464.848,1072.61
468.247,1072.61
471.646,1072.61
475.045,1072.61
478.444,1402.64
481.843,1897.69
485.242,2392.74
488.64,3052.81
492.039,3547.85
495.438,4042.9
498.837,4207.92
502.236,4372.94
505.635,4372.94
509.034,4372.94
512.433,4372.94
515.832,4207.92
519.231,3712.87
522.63,3052.81
526.029,2722.77
529.428,2722.77
532.826,2392.74
536.225,2227.72
539.624,2062.71
543.023,1897.69
546.422,1732.67
549.821,1567.66
553.22,1072.61
556.619,1237.62
560.018,1072.61
563.417,1072.61
566.816,1072.61
570.215,1072.61
573.614,1072.61
577.013,1072.61
580.411,1072.61
583.81,1072.61
587.209,1072.61
590.608,1072.61
594.007,1072.61
597.406,1072.61
600.805,1072.61
604.204,742.574
607.603,1072.61
611.002,1072.61
614.401,1072.61
617.8,1567.66
621.199,3382.84
624.597,4867.99
627.996,5528.05
631.395,9323.43
634.794,8498.35
638.193,6023.1
641.592,5858.09
644.991,5528.05
648.39,4867.99
651.789,4867.99
655.188,4372.94
658.587,4042.9
661.986,3712.87
665.385,2887.79
668.784,2227.72
672.182,2062.71
675.581,1897.69
678.98,2062.71
682.379,2062.71
685.778,2557.76
689.177,4867.99
692.576,6683.17
695.975,8828.38
699.374,10973.6
702.773,17409.2
706.172,18234.3
709.571,10643.6
712.97,10478.5
716.369,7838.28
719.767,4042.9
723.166,2557.76
726.565,2392.74
729.964,2227.72
733.363,1897.69
736.762,2392.74
740.161,2557.76
743.56,2887.79
746.959,3052.81
750.358,4207.92
753.757,3052.81
757.156,2887.79
760.555,2722.77
763.953,2392.74
767.352,1402.64
770.751,1072.61
774.15,1072.61
777.549,1072.61
780.948,1072.61
784.347,1072.61
787.746,1072.61
791.145,1072.61
794.544,1072.61
797.943,742.574
801.342,1072.61
804.741,1072.61
808.14,1072.61
811.538,1237.62
814.937,1237.62
818.336,1402.64
821.735,1567.66
825.134,1897.69
828.533,2557.76
831.932,3052.81
