,GP550R
RamanShit,Intensity
260.084,61.8182
263.277,323.636
266.471,781.818
269.664,1174.55
272.857,1174.55
276.05,1240
279.244,1370.91
282.437,1174.55
285.63,1174.55
288.824,847.273
292.017,454.545
295.21,258.182
298.403,258.182
301.597,192.727
304.79,323.636
307.983,323.636
311.176,389.091
314.37,389.091
317.563,389.091
320.756,585.455
323.95,912.727
327.143,1436.36
330.336,1829.09
333.529,1829.09
336.723,2418.18
339.916,2090.91
343.109,2221.82
346.303,2287.27
349.496,2352.73
352.689,2614.55
355.882,3138.18
359.076,4905.45
362.269,7196.36
365.462,8832.73
368.655,9552.73
371.849,9618.18
375.042,14200
378.235,13610.9
381.429,9552.73
384.622,8963.64
387.815,8047.27
391.008,7000
394.202,6018.18
397.395,5494.55
400.588,5232.73
403.782,5101.82
406.975,4643.64
410.168,4250.91
413.361,3530.91
416.555,2418.18
419.748,1698.18
422.941,978.182
426.134,520
429.328,520
432.521,258.182
435.714,454.545
438.908,520
442.101,520
445.294,650.909
448.487,650.909
451.681,716.364
454.874,847.273
458.067,650.909
461.261,585.455
464.454,454.545
467.647,323.636
470.84,192.727
474.034,127.273
477.227,127.273
480.42,127.273
483.613,258.182
486.807,389.091
490,454.545
493.193,847.273
496.387,1174.55
499.58,1632.73
502.773,2352.73
505.966,3138.18
509.16,3727.27
512.353,3792.73
515.546,4840
518.739,4447.27
521.933,3858.18
525.126,3858.18
528.319,3923.64
531.513,3989.09
534.706,4054.55
537.899,4120
541.092,4185.45
544.286,4185.45
547.479,4185.45
550.672,4316.36
553.866,4120
557.059,3858.18
560.252,3269.09
563.445,2941.82
566.639,2745.45
569.832,2221.82
573.025,1894.55
576.218,1698.18
579.412,1305.45
582.605,1109.09
585.798,978.182
588.992,716.364
592.185,520
595.378,323.636
598.571,323.636
601.765,258.182
604.958,258.182
608.151,258.182
611.345,323.636
614.538,389.091
617.731,520
620.924,585.455
624.118,650.909
627.311,781.818
630.504,585.455
633.697,520
636.891,389.091
640.084,258.182
643.277,127.273
646.471,127.273
649.664,61.8182
652.857,61.8182
656.05,127.273
659.244,127.273
662.437,258.182
665.63,323.636
668.824,389.091
672.017,389.091
675.21,389.091
678.403,389.091
681.597,389.091
684.79,454.545
687.983,454.545
691.176,520
694.37,650.909
697.563,912.727
700.756,1370.91
703.95,2025.45
707.143,2745.45
710.336,4054.55
713.529,5952.73
716.723,8047.27
719.916,9290.91
723.109,15050.9
726.303,12825.5
729.496,10469.1
732.689,9290.91
735.882,9225.45
739.076,7654.55
742.269,5560
745.462,4512.73
748.655,3334.55
751.849,2418.18
755.042,1829.09
758.235,1370.91
761.429,1109.09
764.622,650.909
767.815,323.636
771.008,192.727
774.202,61.8182
777.395,61.8182
780.588,61.8182
783.782,61.8182
786.975,127.273
790.168,192.727
793.361,258.182
796.555,258.182
799.748,258.182
802.941,258.182
806.134,192.727
809.328,127.273
812.521,61.8182
815.714,61.8182
818.908,61.8182
822.101,61.8182
825.294,61.8182
828.487,61.8182
831.681,61.8182
834.874,61.8182
838.067,61.8182
841.261,127.273
844.454,192.727
847.647,192.727
850.84,323.636
854.034,389.091
857.227,454.545
860.42,454.545
863.613,454.545
866.807,520
870,520
873.193,520
876.387,520
879.58,520
882.773,454.545
885.966,454.545
889.16,389.091
892.353,258.182
895.546,258.182
898.739,192.727
901.933,192.727
905.126,61.8182
908.319,-3.63636
911.513,-3.63636
914.706,-3.63636
917.899,-3.63636
921.092,-3.63636
924.286,-3.63636
927.479,-3.63636
930.672,-3.63636
933.866,-3.63636
937.059,61.8182
940.252,61.8182
943.445,61.8182
946.639,61.8182
949.832,61.8182
953.025,61.8182
956.218,127.273
959.412,127.273
962.605,127.273
965.798,127.273
968.992,192.727
972.185,258.182
975.378,258.182
978.571,258.182
981.765,323.636
984.958,323.636
988.151,323.636
991.345,258.182
994.538,258.182
997.731,192.727
1000.92,127.273
1004.12,127.273
1007.31,127.273
1010.5,127.273
1013.7,192.727
1016.89,323.636
1020.08,520
1023.28,781.818
1026.47,1109.09
1029.66,1370.91
1032.86,1501.82
1036.05,1698.18
1039.24,1960
1042.44,2287.27
1045.63,2680
1048.82,3007.27
1052.02,3661.82
1055.21,4643.64
1058.4,5952.73
1061.6,6738.18
1064.79,6803.64
1067.98,8832.73
1071.18,7981.82
1074.37,6738.18
1077.56,6410.91
1080.76,5036.36
1083.95,3727.27
1087.14,3138.18
1090.34,2745.45
1093.53,2680
1096.72,2614.55
1099.92,2680
1103.11,2745.45
1106.3,2876.36
1109.5,3007.27
1112.69,3007.27
1115.88,3072.73
1119.08,3007.27
1122.27,2876.36
1125.46,2745.45
1128.66,2549.09
1131.85,2156.36
1135.04,1763.64
1138.24,1567.27
1141.43,1305.45
1144.62,781.818
1147.82,454.545
1151.01,323.636
1154.2,61.8182
1157.39,-3.63636
1160.59,-69.0909
1163.78,-69.0909
1166.97,-3.63636
1170.17,-3.63636
1173.36,61.8182
1176.55,127.273
1179.75,258.182
1182.94,454.545
1186.13,847.273
1189.33,1501.82
1192.52,2025.45
1195.71,2680
1198.91,4381.82
1202.1,5560
1205.29,6541.82
1208.49,8570.91
1211.68,9683.64
1214.87,9749.09
1218.07,10403.6
1221.26,10796.4
1224.45,9749.09
1227.65,9618.18
1230.84,8832.73
1234.03,8112.73
1237.23,7458.18
1240.42,6083.64
1243.61,5298.18
1246.81,4840
1250,3923.64
1253.19,3203.64
1256.39,2810.91
1259.58,2483.64
1262.77,1894.55
1265.97,1567.27
1269.16,1240
1272.35,650.909
1275.55,323.636
1278.74,192.727
1281.93,192.727
1285.13,61.8182
1288.32,61.8182
1291.51,61.8182
1294.71,61.8182
1297.9,127.273
1301.09,127.273
1304.29,127.273
1307.48,258.182
1310.67,454.545
1313.87,650.909
1317.06,912.727
1320.25,1109.09
1323.45,1240
1326.64,1305.45
1329.83,1370.91
1333.03,1370.91
1336.22,1370.91
1339.41,1370.91
1342.61,1370.91
1345.8,1305.45
1348.99,1305.45
1352.18,1174.55
1355.38,1043.64
1358.57,847.273
1361.76,716.364
1364.96,585.455
1368.15,520
1371.34,389.091
1374.54,258.182
1377.73,258.182
1380.92,192.727
1384.12,127.273
1387.31,127.273
1390.5,127.273
1393.7,127.273
1396.89,127.273
1400.08,127.273
1403.28,127.273
1406.47,61.8182
1409.66,61.8182
1412.86,61.8182
1416.05,61.8182
1419.24,61.8182
1422.44,-3.63636
1425.63,-3.63636
1428.82,-3.63636
1432.02,-3.63636
1435.21,-3.63636
1438.4,-3.63636
1441.6,-3.63636
1444.79,-3.63636
1447.98,-3.63636
1451.18,61.8182
1454.37,127.273
1457.56,192.727
1460.76,323.636
1463.95,389.091
1467.14,520
1470.34,781.818
1473.53,912.727
1476.72,1109.09
1479.92,1370.91
1483.11,1567.27
1486.3,1763.64
1489.5,2025.45
1492.69,2418.18
1495.88,2614.55
1499.08,2614.55
1502.27,2680
1505.46,2745.45
1508.66,2745.45
1511.85,2745.45
1515.04,2745.45
1518.24,2745.45
1521.43,2614.55
1524.62,2418.18
1527.82,2156.36
1531.01,2025.45
1534.2,1763.64
1537.39,1567.27
1540.59,1370.91
1543.78,1174.55
1546.97,1043.64
1550.17,912.727
1553.36,781.818
1556.55,650.909
1559.75,585.455
1562.94,520
1566.13,520
1569.33,520
1572.52,520
1575.71,520
1578.91,520
1582.1,585.455
1585.29,585.455
1588.49,650.909
1591.68,650.909
1594.87,716.364
1598.07,716.364
1601.26,716.364
1604.45,716.364
1607.65,716.364
1610.84,716.364
1614.03,716.364
1617.23,650.909
1620.42,650.909
1623.61,585.455
1626.81,520
1630,389.091
1633.19,389.091
1636.39,258.182
1639.58,192.727
1642.77,127.273
1645.97,61.8182
1649.16,61.8182
1652.35,61.8182
1655.55,61.8182
1658.74,61.8182
1661.93,61.8182
1665.13,61.8182
1668.32,61.8182
1671.51,61.8182
1674.71,61.8182
1677.9,61.8182
1681.09,61.8182
1684.29,61.8182
1687.48,61.8182
1690.67,61.8182
1693.87,61.8182
1697.06,61.8182
1700.25,61.8182
1703.45,61.8182
1706.64,61.8182
1709.83,61.8182
1713.03,61.8182
1716.22,61.8182
1719.41,61.8182
1722.61,61.8182
1725.8,61.8182
1728.99,127.273
1732.18,127.273
1735.38,127.273
1738.57,192.727
1741.76,192.727
1744.96,258.182
1748.15,258.182
1751.34,258.182
1754.54,258.182
1757.73,323.636
1760.92,323.636
1764.12,323.636
1767.31,323.636
1770.5,258.182
1773.7,258.182
1776.89,258.182
1780.08,258.182
1783.28,258.182
1786.47,192.727
1789.66,192.727
1792.86,192.727
1796.05,127.273
1799.24,127.273
1802.44,127.273
1805.63,127.273
1808.82,61.8182
1812.02,61.8182
1815.21,61.8182
1818.4,61.8182
1821.6,61.8182
1824.79,61.8182
1827.98,61.8182
1831.18,61.8182
1834.37,61.8182
1837.56,61.8182
1840.76,61.8182
1843.95,61.8182
1847.14,61.8182
1850.34,61.8182
1853.53,61.8182
1856.72,61.8182
1859.92,61.8182
1863.11,61.8182
1866.3,61.8182
1869.5,61.8182
1872.69,61.8182
1875.88,61.8182
1879.08,61.8182
1882.27,61.8182
1885.46,61.8182
1888.66,61.8182
1891.85,61.8182
1895.04,61.8182
1898.24,61.8182
1901.43,61.8182
1904.62,61.8182
1907.82,61.8182
1911.01,61.8182
1914.2,61.8182
1917.39,61.8182
1920.59,61.8182
1923.78,61.8182
1926.97,61.8182
1930.17,61.8182
1933.36,61.8182
1936.55,61.8182
1939.75,61.8182
1942.94,61.8182
1946.13,61.8182
1949.33,61.8182
1952.52,61.8182
1955.71,61.8182
1958.91,61.8182
1962.1,61.8182
1965.29,61.8182
1968.49,61.8182
1971.68,61.8182
1974.87,61.8182
1978.07,61.8182
1981.26,61.8182
1984.45,61.8182
1987.65,61.8182
1990.84,61.8182
1994.03,61.8182
1997.23,61.8182
2000.42,61.8182
2003.61,61.8182
2006.81,61.8182
2010,61.8182
2013.19,61.8182
2016.39,61.8182
2019.58,61.8182
2022.77,61.8182
2025.97,61.8182
2029.16,61.8182
2032.35,61.8182
2035.55,61.8182
2038.74,61.8182
2041.93,61.8182
2045.13,61.8182
2048.32,61.8182
2051.51,61.8182
2054.71,61.8182
2057.9,61.8182
2061.09,61.8182
2064.29,61.8182
2067.48,61.8182
2070.67,61.8182
2073.87,61.8182
2077.06,61.8182
2080.25,61.8182
2083.45,61.8182
2086.64,61.8182
2089.83,61.8182
2093.03,61.8182
2096.22,61.8182
2099.41,61.8182
2102.61,61.8182
2105.8,61.8182
2108.99,61.8182
2112.18,61.8182
2115.38,61.8182
2118.57,61.8182
2121.76,61.8182
2124.96,61.8182
2128.15,61.8182
2131.34,61.8182
2134.54,61.8182
2137.73,61.8182
2140.92,61.8182
2144.12,61.8182
2147.31,61.8182
2150.5,61.8182
2153.7,61.8182
2156.89,61.8182
2160.08,61.8182
2163.28,61.8182
2166.47,61.8182
2169.66,61.8182
2172.86,61.8182
2176.05,61.8182
2179.24,61.8182
2182.44,61.8182
2185.63,61.8182
2188.82,61.8182
2192.02,61.8182
2195.21,61.8182
2198.4,61.8182
2201.6,61.8182
2204.79,61.8182
2207.98,61.8182
2211.18,61.8182
2214.37,61.8182
2217.56,61.8182
2220.76,61.8182
2223.95,61.8182
2227.14,61.8182
2230.34,61.8182
2233.53,61.8182
2236.72,61.8182
2239.92,61.8182
