,GP550R
RamanShit,Intensity
255.565,25196.9
258.629,5196.85
261.694,4251.97
264.758,5354.33
267.823,6299.21
270.887,5354.33
273.952,5196.85
277.016,4724.41
280.081,3937.01
283.145,3779.53
286.21,3622.05
289.274,3307.09
292.339,2519.69
295.403,1417.32
298.468,629.921
301.532,472.441
304.597,472.441
307.661,629.921
310.726,944.882
313.79,1889.76
316.855,2834.65
319.919,3307.09
322.984,3937.01
326.048,3307.09
329.113,3149.61
332.177,2204.72
335.242,944.882
338.306,472.441
341.371,314.961
344.435,157.48
347.5,157.48
350.565,157.48
353.629,157.48
356.694,157.48
359.758,157.48
362.823,314.961
365.887,314.961
368.952,472.441
372.016,787.402
375.081,1102.36
378.145,1732.28
381.21,2519.69
384.274,2992.13
387.339,3622.05
390.403,2992.13
393.468,2677.17
396.532,2047.24
399.597,1102.36
402.661,629.921
405.726,472.441
408.79,314.961
411.855,314.961
414.919,314.961
417.984,314.961
421.048,472.441
424.113,629.921
427.177,1102.36
430.242,2204.72
433.306,3937.01
436.371,4881.89
439.435,5039.37
442.5,5511.81
445.565,6141.73
448.629,6299.21
451.694,8503.94
454.758,14488.2
457.823,18267.7
460.887,23307.1
463.952,18267.7
467.016,15905.5
470.081,10708.7
473.145,6614.17
476.21,4409.45
479.274,3307.09
482.339,2362.2
485.403,1417.32
488.468,944.882
491.532,944.882
494.597,944.882
497.661,1102.36
500.726,1732.28
503.79,3307.09
506.855,5669.29
509.919,5826.77
512.984,3937.01
516.048,2992.13
519.113,1417.32
522.177,629.921
525.242,314.961
528.306,472.441
531.371,472.441
534.435,787.402
537.5,1574.8
540.565,2677.17
543.629,4566.93
546.694,7874.02
549.758,10236.2
552.823,15275.6
555.887,16063
558.952,10236.2
562.016,8346.46
565.081,5039.37
568.145,2992.13
571.21,1732.28
574.274,1102.36
577.339,787.402
580.403,629.921
583.468,314.961
586.532,157.48
589.597,157.48
592.661,157.48
595.726,157.48
598.79,157.48
601.855,157.48
604.919,314.961
607.984,314.961
611.048,472.441
614.113,787.402
617.177,1102.36
620.242,1889.76
623.306,3622.05
626.371,5196.85
629.435,9291.34
632.5,10078.7
635.565,5196.85
638.629,3937.01
641.694,2047.24
644.758,1259.84
647.823,1102.36
650.887,1102.36
653.952,1102.36
657.016,944.882
660.081,629.921
663.145,314.961
666.21,157.48
669.274,157.48
672.339,157.48
675.403,157.48
678.468,157.48
681.532,157.48
684.597,157.48
687.661,157.48
690.726,157.48
693.79,157.48
696.855,157.48
699.919,157.48
702.984,157.48
706.048,157.48
709.113,157.48
712.177,157.48
715.242,157.48
