,GP550R
RamanShit,Intensity
258.762,2.1063
261.817,0.728346
264.871,0.334646
267.926,0.334646
270.981,0.334646
274.035,0.334646
277.09,0.531496
280.145,0.531496
283.199,0.925197
286.254,1.7126
289.309,2.5
292.363,3.48425
295.418,4.66535
298.473,5.45276
301.527,6.63386
304.582,8.20866
307.637,9.58661
310.691,11.1614
313.746,12.9331
316.801,14.7047
319.855,16.0827
322.91,16.4764
325.965,17.0669
329.019,16.2795
332.074,15.4921
335.129,13.7205
338.183,11.3583
341.238,8.79921
344.293,6.04331
347.347,3.6811
350.402,2.30315
353.457,1.12205
356.511,0.531496
359.566,0.334646
362.621,0.334646
365.675,0.334646
368.73,0.137795
371.785,0.334646
374.839,0.334646
377.894,0.728346
380.949,0.531496
384.003,0.531496
387.058,0.531496
390.113,0.728346
393.167,1.12205
396.222,2.1063
399.277,3.87795
402.331,6.63386
405.386,9.78346
408.441,12.7362
411.495,15.8858
414.55,18.8386
417.605,19.2323
420.659,17.4606
423.714,16.0827
426.768,13.1299
429.823,10.374
432.878,8.20866
435.932,7.02756
438.987,6.63386
442.042,6.24016
445.096,6.04331
448.151,5.84646
451.206,6.04331
454.26,6.04331
457.315,6.63386
460.37,7.22441
463.424,7.61811
466.479,7.81496
469.534,8.01181
472.588,7.81496
475.643,7.61811
478.698,7.61811
481.752,7.02756
484.807,6.43701
487.862,5.84646
490.916,5.25591
493.971,4.66535
497.026,3.6811
500.08,2.8937
503.135,2.1063
506.19,1.3189
509.244,0.728346
512.299,0.531496
515.354,0.531496
518.408,0.334646
521.463,0.334646
524.518,0.334646
527.572,0.531496
530.627,1.12205
533.682,2.1063
536.736,2.8937
539.791,3.48425
542.846,3.6811
545.9,4.0748
548.955,3.48425
552.01,3.48425
555.064,3.48425
558.119,3.6811
561.174,3.87795
564.228,4.4685
567.283,5.45276
570.338,6.04331
573.392,6.04331
576.447,6.24016
579.502,6.24016
582.556,6.24016
585.611,6.24016
588.666,5.84646
591.72,5.45276
594.775,5.05906
597.83,4.27165
600.884,3.2874
603.939,3.09055
606.994,3.09055
610.048,3.09055
613.103,3.6811
616.158,4.27165
619.212,5.05906
622.267,6.24016
625.322,7.02756
628.376,7.61811
631.431,7.81496
634.486,7.81496
637.54,7.81496
640.595,7.61811
643.65,6.83071
646.704,5.64961
649.759,4.4685
652.814,3.87795
655.868,3.48425
658.923,2.8937
661.977,2.5
665.032,2.1063
668.087,1.7126
671.141,1.51575
674.196,1.12205
677.251,0.925197
680.305,0.531496
683.36,0.334646
686.415,0.137795
689.469,0.137795
692.524,0.137795
695.579,0.137795
698.633,0.137795
701.688,0.137795
704.743,0.137795
707.797,0.137795
710.852,0.137795
713.907,0.137795
716.961,0.137795
720.016,0.334646
723.071,0.334646
726.125,0.334646
729.18,0.531496
732.235,0.531496
735.289,0.531496
738.344,0.531496
741.399,0.728346
744.453,0.728346
747.508,0.728346
750.563,0.728346
753.617,0.728346
