,GP550R
RamanShit,Intensity
258.762,79.0514
261.817,79.0514
264.871,79.0514
267.926,316.206
270.981,553.36
274.035,1027.67
277.09,1976.28
280.145,3162.06
283.199,4110.67
286.254,4110.67
289.309,4110.67
292.363,4110.67
295.418,4110.67
298.473,4347.83
301.527,4584.98
304.582,5770.75
307.637,8616.6
310.691,12885.4
313.746,17628.5
316.801,24031.6
319.855,24743.1
322.91,19051.4
325.965,16917
329.019,12648.2
332.074,9090.91
335.129,6956.52
338.183,6007.91
341.238,6482.21
344.293,6719.37
347.347,7430.83
350.402,8616.6
353.457,8616.6
356.511,8616.6
359.566,8616.6
362.621,8142.29
365.675,6482.21
368.73,3873.52
371.785,2213.44
374.839,1027.67
377.894,553.36
380.949,316.206
384.003,79.0514
387.058,79.0514
390.113,79.0514
393.167,79.0514
396.222,79.0514
399.277,79.0514
402.331,316.206
405.386,316.206
408.441,553.36
411.495,553.36
414.55,316.206
417.605,316.206
420.659,316.206
423.714,79.0514
426.768,79.0514
429.823,79.0514
432.878,79.0514
435.932,79.0514
438.987,79.0514
442.042,79.0514
445.096,79.0514
448.151,79.0514
451.206,79.0514
454.26,79.0514
457.315,79.0514
460.37,79.0514
463.424,79.0514
466.479,79.0514
469.534,79.0514
472.588,79.0514
475.643,79.0514
478.698,79.0514
481.752,79.0514
484.807,79.0514
487.862,79.0514
490.916,79.0514
493.971,79.0514
497.026,79.0514
500.08,79.0514
503.135,79.0514
506.19,79.0514
509.244,79.0514
512.299,79.0514
515.354,79.0514
518.408,79.0514
521.463,79.0514
524.518,79.0514
527.572,79.0514
530.627,79.0514
533.682,79.0514
536.736,79.0514
539.791,79.0514
542.846,79.0514
545.9,79.0514
548.955,79.0514
552.01,79.0514
555.064,316.206
558.119,316.206
561.174,79.0514
564.228,79.0514
567.283,79.0514
570.338,79.0514
573.392,79.0514
576.447,79.0514
579.502,79.0514
582.556,79.0514
585.611,79.0514
588.666,79.0514
591.72,79.0514
594.775,79.0514
597.83,79.0514
600.884,79.0514
603.939,79.0514
606.994,79.0514
610.048,79.0514
613.103,79.0514
616.158,79.0514
619.212,79.0514
622.267,79.0514
625.322,79.0514
628.376,79.0514
631.431,79.0514
634.486,79.0514
637.54,79.0514
640.595,79.0514
643.65,79.0514
646.704,79.0514
649.759,79.0514
652.814,79.0514
655.868,79.0514
658.923,79.0514
661.977,79.0514
665.032,79.0514
668.087,79.0514
671.141,79.0514
674.196,79.0514
677.251,79.0514
680.305,79.0514
683.36,79.0514
686.415,79.0514
689.469,79.0514
692.524,79.0514
695.579,79.0514
698.633,79.0514
701.688,79.0514
704.743,79.0514
707.797,316.206
710.852,553.36
713.907,790.514
716.961,1027.67
720.016,1027.67
723.071,1027.67
726.125,790.514
729.18,553.36
732.235,316.206
735.289,79.0514
738.344,79.0514
741.399,79.0514
744.453,79.0514
747.508,79.0514
750.563,79.0514
753.617,79.0514
756.672,316.206
759.727,553.36
762.781,790.514
765.836,1264.82
768.891,1976.28
771.945,2924.9
775,4110.67
778.055,5770.75
781.109,7430.83
784.164,9090.91
787.219,10276.7
790.273,10513.8
793.328,10513.8
796.383,10751
799.437,10988.1
802.492,12173.9
805.547,14308.3
808.601,16917
811.656,20474.3
814.711,24980.2
817.765,30671.9
820.82,33754.9
823.875,37075.1
826.929,33754.9
829.984,31857.7
833.039,26403.2
836.093,19762.8
839.148,14071.1
842.203,9802.37
845.257,6956.52
848.312,4822.13
851.367,3162.06
854.421,2213.44
857.476,1501.98
860.531,1027.67
863.585,553.36
866.64,316.206
869.695,79.0514
872.749,79.0514
875.804,79.0514
878.859,79.0514
881.913,79.0514
884.968,79.0514
888.023,79.0514
891.077,79.0514
894.132,79.0514
897.186,79.0514
900.241,79.0514
903.296,79.0514
906.35,79.0514
909.405,79.0514
912.46,79.0514
915.514,79.0514
918.569,79.0514
921.624,79.0514
924.678,79.0514
927.733,79.0514
930.788,79.0514
933.842,79.0514
936.897,79.0514
939.952,79.0514
943.006,79.0514
946.061,79.0514
949.116,79.0514
952.17,79.0514
955.225,79.0514
958.28,79.0514
961.334,79.0514
964.389,79.0514
967.444,79.0514
970.498,79.0514
973.553,79.0514
976.608,79.0514
979.662,79.0514
982.717,79.0514
985.772,79.0514
988.826,79.0514
991.881,79.0514
994.936,79.0514
997.99,79.0514
1001.05,79.0514
1004.1,79.0514
1007.15,79.0514
1010.21,79.0514
1013.26,79.0514
1016.32,79.0514
1019.37,79.0514
1022.43,79.0514
1025.48,79.0514
1028.54,79.0514
1031.59,79.0514
1034.65,79.0514
1037.7,79.0514
1040.76,79.0514
1043.81,79.0514
1046.86,79.0514
1049.92,79.0514
1052.97,79.0514
1056.03,79.0514
1059.08,79.0514
1062.14,79.0514
1065.19,79.0514
1068.25,79.0514
1071.3,79.0514
1074.36,79.0514
1077.41,79.0514
1080.47,79.0514
1083.52,79.0514
1086.58,79.0514
1089.63,79.0514
1092.68,79.0514
1095.74,79.0514
1098.79,79.0514
1101.85,79.0514
