,GP550R
RamanShit,Intensity
261.755,602.362
264.815,531.496
267.874,484.252
270.934,437.008
273.994,437.008
277.053,413.386
280.113,484.252
283.172,484.252
286.232,531.496
289.291,555.118
292.351,649.606
295.411,507.874
298.47,366.142
301.53,129.921
304.589,59.0551
307.649,59.0551
310.709,59.0551
313.768,59.0551
316.828,106.299
319.887,318.898
322.947,531.496
326.006,791.339
329.066,673.228
332.126,696.85
335.185,673.228
338.245,696.85
341.304,744.094
344.364,791.339
347.424,673.228
350.483,555.118
353.543,389.764
356.602,248.031
359.662,153.543
362.721,129.921
365.781,106.299
368.841,82.6772
371.9,129.921
374.96,200.787
378.019,271.654
381.079,389.764
384.138,484.252
387.198,413.386
390.258,437.008
393.317,460.63
396.377,484.252
399.436,625.984
402.496,933.071
405.556,1311.02
408.615,1830.71
411.675,2515.75
414.734,3011.81
417.794,3200.79
420.853,3271.65
423.913,3413.39
426.973,3720.47
430.032,4216.54
433.092,4570.87
436.151,5137.8
439.211,4452.76
442.271,3720.47
445.33,2421.26
448.39,1452.76
451.449,862.205
454.509,555.118
457.568,413.386
460.628,342.52
463.688,342.52
466.747,342.52
469.807,366.142
472.866,437.008
475.926,460.63
478.986,555.118
482.045,460.63
485.105,413.386
488.164,271.654
491.224,106.299
494.283,35.4331
497.343,35.4331
500.403,11.811
503.462,35.4331
506.522,35.4331
509.581,106.299
512.641,224.409
515.7,342.52
518.76,531.496
521.82,814.961
524.879,1074.8
527.939,1287.4
530.998,1452.76
534.058,1334.65
537.118,1311.02
540.177,1287.4
543.237,1240.16
546.296,1216.54
549.356,1240.16
552.415,1287.4
555.475,1311.02
558.535,1311.02
561.594,1311.02
564.654,1240.16
567.713,1098.43
570.773,909.449
573.833,673.228
576.892,484.252
579.952,389.764
583.011,318.898
586.071,318.898
589.13,342.52
592.19,389.764
595.25,389.764
598.309,507.874
601.369,673.228
604.428,814.961
607.488,885.827
610.548,1027.56
613.607,1074.8
616.667,862.205
619.726,744.094
622.786,555.118
625.845,366.142
628.905,224.409
631.965,177.165
635.024,82.6772
638.084,35.4331
641.143,35.4331
644.203,35.4331
647.262,35.4331
650.322,35.4331
653.382,35.4331
656.441,35.4331
659.501,35.4331
662.56,35.4331
665.62,35.4331
668.68,35.4331
671.739,35.4331
674.799,35.4331
677.858,35.4331
680.918,35.4331
683.977,35.4331
687.037,35.4331
690.097,35.4331
693.156,59.0551
696.216,59.0551
699.275,59.0551
702.335,11.811
705.395,59.0551
708.454,59.0551
711.514,59.0551
714.573,59.0551
717.633,59.0551
720.692,59.0551
723.752,59.0551
726.812,59.0551
729.871,59.0551
732.931,59.0551
735.99,35.4331
739.05,35.4331
742.11,59.0551
745.169,59.0551
748.229,59.0551
751.288,59.0551
754.348,59.0551
757.407,59.0551
760.467,35.4331
763.527,35.4331
766.586,35.4331
769.646,59.0551
772.705,59.0551
775.765,59.0551
778.824,59.0551
781.884,82.6772
784.944,82.6772
788.003,82.6772
791.063,82.6772
794.122,59.0551
797.182,129.921
800.242,129.921
803.301,153.543
806.361,153.543
809.42,153.543
812.48,129.921
815.539,129.921
818.599,106.299
821.659,59.0551
824.718,59.0551
827.778,59.0551
830.837,59.0551
833.897,59.0551
836.957,59.0551
840.016,59.0551
843.076,59.0551
846.135,59.0551
849.195,59.0551
852.254,59.0551
855.314,59.0551
858.374,59.0551
861.433,59.0551
864.493,35.4331
867.552,35.4331
870.612,35.4331
873.671,35.4331
876.731,35.4331
879.791,35.4331
882.85,35.4331
885.91,35.4331
888.969,35.4331
892.029,35.4331
895.089,35.4331
898.148,35.4331
901.208,35.4331
904.267,35.4331
907.327,35.4331
910.386,82.6772
913.446,106.299
916.506,129.921
919.565,177.165
922.625,200.787
925.684,248.031
928.744,271.654
931.804,318.898
934.863,318.898
937.923,318.898
940.982,295.276
944.042,295.276
947.101,224.409
950.161,153.543
953.221,106.299
956.28,59.0551
959.34,35.4331
962.399,35.4331
965.459,35.4331
968.519,35.4331
971.578,35.4331
974.638,35.4331
977.697,35.4331
980.757,59.0551
983.816,59.0551
986.876,59.0551
989.936,106.299
992.995,129.921
996.055,177.165
999.114,248.031
1002.17,366.142
1005.23,555.118
1008.29,767.717
1011.35,1051.18
1014.41,1452.76
1017.47,2090.55
1020.53,2940.94
1023.59,3909.45
1026.65,4405.51
1029.71,5019.69
1032.77,4405.51
1035.83,3720.47
1038.89,2704.72
1041.95,2279.53
1045.01,2185.04
1048.07,2043.31
1051.13,1712.6
1054.19,1287.4
1057.25,980.315
1060.31,838.583
1063.37,767.717
1066.43,838.583
1069.48,933.071
1072.54,1169.29
1075.6,1358.27
1078.66,1712.6
1081.72,1358.27
1084.78,1192.91
1087.84,838.583
1090.9,484.252
1093.96,295.276
1097.02,153.543
1100.08,59.0551
1103.14,35.4331
1106.2,35.4331
1109.26,35.4331
1112.32,35.4331
1115.38,35.4331
1118.44,35.4331
1121.5,35.4331
1124.56,59.0551
1127.62,59.0551
1130.68,59.0551
1133.74,59.0551
1136.8,59.0551
1139.86,59.0551
1142.91,59.0551
1145.97,59.0551
1149.03,59.0551
1152.09,106.299
1155.15,153.543
1158.21,153.543
1161.27,224.409
1164.33,153.543
1167.39,106.299
1170.45,59.0551
1173.51,59.0551
1176.57,59.0551
1179.63,59.0551
1182.69,59.0551
1185.75,59.0551
1188.81,59.0551
1191.87,59.0551
1194.93,59.0551
1197.99,11.811
1201.05,59.0551
1204.11,59.0551
1207.17,59.0551
1210.23,59.0551
1213.29,35.4331
1216.34,35.4331
1219.4,59.0551
1222.46,59.0551
1225.52,59.0551
1228.58,59.0551
1231.64,59.0551
1234.7,59.0551
1237.76,11.811
1240.82,11.811
1243.88,11.811
1246.94,11.811
1250,11.811
1253.06,11.811
1256.12,11.811
1259.18,11.811
1262.24,11.811
1265.3,11.811
1268.36,11.811
1271.42,11.811
1274.48,11.811
1277.54,11.811
1280.6,11.811
1283.66,11.811
1286.71,11.811
1289.77,11.811
1292.83,11.811
1295.89,11.811
1298.95,11.811
1302.01,11.811
1305.07,11.811
1308.13,11.811
1311.19,11.811
1314.25,11.811
1317.31,11.811
1320.37,11.811
1323.43,11.811
1326.49,11.811
1329.55,11.811
1332.61,11.811
1335.67,11.811
1338.73,11.811
1341.79,11.811
1344.85,11.811
1347.91,11.811
1350.97,11.811
1354.03,11.811
1357.09,11.811
1360.14,11.811
1363.2,11.811
1366.26,11.811
1369.32,11.811
1372.38,11.811
1375.44,11.811
1378.5,11.811
1381.56,11.811
1384.62,11.811
1387.68,11.811
1390.74,11.811
1393.8,11.811
1396.86,11.811
1399.92,59.0551
1402.98,11.811
1406.04,11.811
1409.1,11.811
1412.16,11.811
1415.22,11.811
1418.28,11.811
1421.34,11.811
1424.4,11.811
1427.46,11.811
1430.52,11.811
1433.57,11.811
1436.63,11.811
1439.69,11.811
1442.75,11.811
1445.81,11.811
1448.87,11.811
1451.93,11.811
1454.99,11.811
1458.05,11.811
1461.11,11.811
1464.17,11.811
1467.23,11.811
1470.29,11.811
1473.35,11.811
1476.41,11.811
1479.47,11.811
1482.53,11.811
1485.59,11.811
1488.65,11.811
1491.71,11.811
1494.77,11.811
1497.83,11.811
1500.89,11.811
1503.95,11.811
1507,11.811
1510.06,11.811
1513.12,11.811
1516.18,11.811
1519.24,11.811
1522.3,11.811
1525.36,11.811
1528.42,11.811
1531.48,11.811
1534.54,11.811
1537.6,11.811
1540.66,11.811
1543.72,11.811
1546.78,11.811
1549.84,11.811
1552.9,11.811
1555.96,11.811
1559.02,11.811
1562.08,11.811
1565.14,11.811
1568.2,11.811
1571.26,11.811
1574.32,11.811
1577.38,11.811
1580.43,11.811
1583.49,11.811
1586.55,11.811
1589.61,11.811
1592.67,11.811
1595.73,11.811
1598.79,11.811
1601.85,59.0551
1604.91,11.811
1607.97,11.811
1611.03,11.811
1614.09,11.811
1617.15,11.811
1620.21,11.811
1623.27,11.811
1626.33,11.811
1629.39,11.811
1632.45,11.811
1635.51,11.811
1638.57,11.811
1641.63,11.811
1644.69,11.811
1647.75,11.811
1650.81,11.811
1653.86,11.811
1656.92,11.811
1659.98,11.811
1663.04,11.811
1666.1,11.811
1669.16,11.811
1672.22,11.811
1675.28,11.811
1678.34,11.811
1681.4,11.811
1684.46,11.811
1687.52,11.811
1690.58,11.811
1693.64,11.811
1696.7,11.811
1699.76,11.811
1702.82,11.811
1705.88,11.811
1708.94,11.811
1712,11.811
1715.06,11.811
1718.12,11.811
1721.18,11.811
1724.24,11.811
1727.29,11.811
1730.35,11.811
1733.41,11.811
1736.47,11.811
1739.53,11.811
1742.59,11.811
1745.65,11.811
1748.71,11.811
1751.77,11.811
1754.83,11.811
1757.89,11.811
1760.95,11.811
1764.01,11.811
1767.07,11.811
1770.13,11.811
1773.19,11.811
1776.25,11.811
1779.31,11.811
1782.37,11.811
1785.43,11.811
1788.49,11.811
1791.55,11.811
1794.61,11.811
1797.67,11.811
1800.72,59.0551
1803.78,11.811
1806.84,11.811
1809.9,11.811
1812.96,11.811
1816.02,11.811
1819.08,11.811
1822.14,11.811
1825.2,11.811
1828.26,11.811
1831.32,11.811
1834.38,11.811
1837.44,11.811
1840.5,11.811
1843.56,11.811
1846.62,11.811
1849.68,11.811
1852.74,11.811
1855.8,11.811
1858.86,11.811
1861.92,11.811
1864.98,11.811
1868.04,11.811
1871.1,11.811
1874.15,11.811
1877.21,11.811
1880.27,11.811
1883.33,11.811
1886.39,11.811
1889.45,11.811
1892.51,11.811
1895.57,11.811
1898.63,11.811
1901.69,11.811
1904.75,11.811
1907.81,11.811
1910.87,11.811
1913.93,11.811
1916.99,11.811
1920.05,11.811
1923.11,11.811
1926.17,11.811
1929.23,11.811
1932.29,11.811
1935.35,11.811
1938.41,11.811
1941.47,11.811
1944.52,11.811
1947.58,11.811
1950.64,11.811
1953.7,11.811
1956.76,11.811
1959.82,11.811
1962.88,11.811
1965.94,11.811
1969,11.811
1972.06,11.811
1975.12,11.811
1978.18,11.811
1981.24,11.811
1984.3,11.811
1987.36,11.811
1990.42,11.811
1993.48,11.811
1996.54,11.811
1999.6,11.811
2002.66,59.0551
2005.72,11.811
2008.78,11.811
2011.84,11.811
2014.9,11.811
2017.95,11.811
2021.01,11.811
2024.07,11.811
2027.13,11.811
2030.19,11.811
2033.25,11.811
2036.31,11.811
2039.37,11.811
2042.43,11.811
2045.49,11.811
2048.55,11.811
2051.61,11.811
2054.67,11.811
2057.73,11.811
2060.79,11.811
2063.85,11.811
2066.91,11.811
2069.97,11.811
2073.03,11.811
2076.09,11.811
2079.15,11.811
2082.21,11.811
2085.27,11.811
2088.33,11.811
2091.38,11.811
2094.44,11.811
2097.5,11.811
2100.56,11.811
2103.62,11.811
2106.68,11.811
2109.74,11.811
2112.8,11.811
2115.86,11.811
2118.92,11.811
2121.98,11.811
2125.04,11.811
2128.1,11.811
2131.16,11.811
2134.22,11.811
2137.28,11.811
2140.34,11.811
2143.4,11.811
2146.46,11.811
2149.52,11.811
2152.58,11.811
2155.64,11.811
2158.7,11.811
2161.76,11.811
2164.81,11.811
2167.87,11.811
2170.93,11.811
2173.99,11.811
2177.05,11.811
2180.11,11.811
2183.17,11.811
2186.23,11.811
2189.29,11.811
2192.35,11.811
2195.41,11.811
2198.47,11.811
2201.53,59.0551
2204.59,11.811
2207.65,11.811
2210.71,11.811
2213.77,11.811
2216.83,11.811
2219.89,11.811
2222.95,11.811
2226.01,11.811
2229.07,11.811
2232.13,11.811
2235.19,11.811
2238.24,11.811
2241.3,11.811
2244.36,11.811
2247.42,11.811
2250.48,11.811
2253.54,11.811
2256.6,11.811
2259.66,11.811
2262.72,11.811
2265.78,11.811
2268.84,11.811
2271.9,11.811
2274.96,11.811
2278.02,11.811
2281.08,11.811
2284.14,11.811
2287.2,11.811
2290.26,11.811
