,GP550R
RamanShit,Intensity
261.755,82.0313
264.815,82.0313
267.874,128.906
270.934,152.344
273.994,152.344
277.053,246.094
280.113,199.219
283.172,175.781
286.232,175.781
289.291,152.344
292.351,152.344
295.411,152.344
298.47,105.469
301.53,58.5938
304.589,58.5938
307.649,58.5938
310.709,58.5938
313.768,58.5938
316.828,58.5938
319.887,58.5938
322.947,58.5938
326.006,58.5938
329.066,58.5938
332.126,58.5938
335.185,58.5938
338.245,58.5938
341.304,58.5938
344.364,58.5938
347.424,58.5938
350.483,58.5938
353.543,82.0313
356.602,105.469
359.662,105.469
362.721,128.906
365.781,175.781
368.841,222.656
371.9,292.969
374.96,363.281
378.019,433.594
381.079,457.031
384.138,457.031
387.198,457.031
390.258,457.031
393.317,410.156
396.377,410.156
399.436,339.844
402.496,222.656
405.556,152.344
408.615,128.906
411.675,82.0313
414.734,58.5938
417.794,58.5938
420.853,58.5938
423.913,58.5938
426.973,58.5938
430.032,58.5938
433.092,58.5938
436.151,35.1563
439.211,35.1563
442.271,35.1563
445.33,35.1563
448.39,58.5938
451.449,58.5938
454.509,58.5938
457.568,82.0313
460.628,82.0313
463.688,105.469
466.747,128.906
469.807,128.906
472.866,128.906
475.926,152.344
478.986,152.344
482.045,152.344
485.105,128.906
488.164,105.469
491.224,105.469
494.283,82.0313
497.343,35.1563
500.403,58.5938
503.462,58.5938
506.522,58.5938
509.581,58.5938
512.641,35.1563
515.7,35.1563
518.76,35.1563
521.82,35.1563
524.879,35.1563
527.939,58.5938
530.998,58.5938
534.058,82.0313
537.118,175.781
540.177,222.656
543.237,222.656
546.296,199.219
549.356,175.781
552.415,128.906
555.475,82.0313
558.535,105.469
561.594,105.469
564.654,105.469
567.713,105.469
570.773,128.906
573.833,128.906
576.892,128.906
579.952,152.344
583.011,152.344
586.071,175.781
589.13,175.781
592.19,175.781
595.25,199.219
598.309,175.781
601.369,175.781
604.428,175.781
607.488,152.344
610.548,128.906
613.607,128.906
616.667,128.906
619.726,105.469
622.786,82.0313
625.845,58.5938
628.905,58.5938
631.965,35.1563
635.024,35.1563
638.084,35.1563
641.143,35.1563
644.203,35.1563
647.262,35.1563
650.322,35.1563
653.382,58.5938
656.441,35.1563
659.501,35.1563
662.56,35.1563
665.62,35.1563
668.68,35.1563
671.739,35.1563
674.799,35.1563
677.858,35.1563
680.918,58.5938
683.977,58.5938
687.037,58.5938
690.097,58.5938
693.156,58.5938
696.216,58.5938
699.275,58.5938
702.335,58.5938
705.395,58.5938
708.454,58.5938
711.514,58.5938
714.573,58.5938
717.633,58.5938
720.692,58.5938
723.752,58.5938
726.812,58.5938
729.871,58.5938
732.931,58.5938
735.99,58.5938
739.05,58.5938
742.11,58.5938
745.169,58.5938
748.229,58.5938
751.288,58.5938
754.348,82.0313
757.407,82.0313
760.467,82.0313
763.527,82.0313
766.586,82.0313
769.646,82.0313
772.705,82.0313
775.765,82.0313
778.824,82.0313
781.884,82.0313
784.944,82.0313
788.003,82.0313
791.063,82.0313
794.122,58.5938
797.182,58.5938
800.242,35.1563
803.301,35.1563
806.361,35.1563
809.42,35.1563
812.48,35.1563
815.539,58.5938
818.599,58.5938
821.659,58.5938
824.718,58.5938
827.778,58.5938
830.837,58.5938
833.897,58.5938
836.957,82.0313
840.016,128.906
843.076,199.219
846.135,269.531
849.195,433.594
852.254,667.969
855.314,1066.41
858.374,1675.78
861.433,2636.72
864.493,3550.78
867.552,5402.34
870.612,5589.84
873.671,5027.34
876.731,3035.16
879.791,1769.53
882.85,1019.53
885.91,621.094
888.969,410.156
892.029,339.844
895.089,339.844
898.148,339.844
901.208,363.281
904.267,410.156
907.327,480.469
910.386,292.969
913.446,199.219
916.506,152.344
919.565,105.469
922.625,82.0313
925.684,82.0313
928.744,82.0313
931.804,82.0313
934.863,82.0313
937.923,82.0313
940.982,152.344
944.042,222.656
947.101,222.656
950.161,246.094
953.221,246.094
956.28,222.656
959.34,175.781
962.399,128.906
965.459,82.0313
968.519,82.0313
971.578,58.5938
974.638,58.5938
977.697,58.5938
980.757,58.5938
983.816,58.5938
986.876,58.5938
989.936,58.5938
992.995,58.5938
996.055,58.5938
999.114,35.1563
1002.17,35.1563
1005.23,35.1563
1008.29,35.1563
1011.35,35.1563
1014.41,58.5938
1017.47,58.5938
1020.53,58.5938
1023.59,58.5938
1026.65,58.5938
1029.71,58.5938
1032.77,58.5938
1035.83,58.5938
1038.89,58.5938
1041.95,58.5938
1045.01,58.5938
1048.07,58.5938
1051.13,58.5938
1054.19,58.5938
1057.25,58.5938
1060.31,58.5938
1063.37,58.5938
1066.43,58.5938
1069.48,58.5938
1072.54,58.5938
1075.6,58.5938
1078.66,58.5938
1081.72,58.5938
1084.78,58.5938
1087.84,58.5938
1090.9,58.5938
1093.96,58.5938
1097.02,58.5938
1100.08,35.1563
1103.14,58.5938
1106.2,58.5938
1109.26,58.5938
1112.32,58.5938
1115.38,58.5938
1118.44,58.5938
1121.5,58.5938
1124.56,58.5938
1127.62,58.5938
1130.68,58.5938
1133.74,58.5938
1136.8,58.5938
1139.86,58.5938
1142.91,58.5938
1145.97,58.5938
1149.03,58.5938
1152.09,58.5938
1155.15,58.5938
1158.21,82.0313
1161.27,82.0313
1164.33,82.0313
1167.39,82.0313
1170.45,82.0313
1173.51,82.0313
1176.57,58.5938
1179.63,58.5938
1182.69,58.5938
1185.75,58.5938
1188.81,58.5938
1191.87,82.0313
1194.93,82.0313
1197.99,82.0313
1201.05,58.5938
1204.11,58.5938
1207.17,58.5938
1210.23,58.5938
1213.29,58.5938
1216.34,58.5938
1219.4,58.5938
1222.46,58.5938
1225.52,58.5938
1228.58,58.5938
1231.64,58.5938
1234.7,58.5938
1237.76,58.5938
1240.82,58.5938
1243.88,58.5938
1246.94,58.5938
1250,58.5938
1253.06,35.1563
1256.12,35.1563
1259.18,35.1563
1262.24,35.1563
1265.3,35.1563
1268.36,35.1563
1271.42,35.1563
1274.48,35.1563
1277.54,35.1563
1280.6,35.1563
1283.66,35.1563
1286.71,35.1563
1289.77,35.1563
1292.83,35.1563
1295.89,35.1563
1298.95,35.1563
1302.01,35.1563
1305.07,35.1563
1308.13,35.1563
1311.19,35.1563
1314.25,35.1563
1317.31,35.1563
1320.37,35.1563
1323.43,35.1563
1326.49,35.1563
1329.55,35.1563
1332.61,35.1563
1335.67,35.1563
1338.73,35.1563
1341.79,35.1563
1344.85,35.1563
1347.91,35.1563
