,GP550R
RamanShit,Intensity
258.762,59.0551
261.817,334.646
264.871,334.646
267.926,334.646
270.981,334.646
274.035,334.646
277.09,610.236
280.145,610.236
283.199,885.827
286.254,1161.42
289.309,1437.01
292.363,1712.6
295.418,2263.78
298.473,3090.55
301.527,4468.5
304.582,7224.41
307.637,11909.4
310.691,16043.3
313.746,23759.8
316.801,24586.6
319.855,17145.7
322.91,14114.2
325.965,8602.36
329.019,5019.69
332.074,3366.14
335.129,2539.37
338.183,2539.37
341.238,2539.37
344.293,2814.96
347.347,2814.96
350.402,2814.96
353.457,2263.78
356.511,1712.6
359.566,1161.42
362.621,885.827
365.675,610.236
368.73,334.646
371.785,334.646
374.839,334.646
377.894,334.646
380.949,59.0551
384.003,59.0551
387.058,59.0551
390.113,59.0551
393.167,59.0551
396.222,59.0551
399.277,59.0551
402.331,59.0551
405.386,59.0551
408.441,59.0551
411.495,59.0551
414.55,59.0551
417.605,59.0551
420.659,59.0551
423.714,59.0551
426.768,59.0551
429.823,59.0551
432.878,59.0551
435.932,59.0551
438.987,59.0551
442.042,59.0551
445.096,59.0551
448.151,59.0551
451.206,334.646
454.26,334.646
457.315,334.646
460.37,334.646
463.424,334.646
466.479,334.646
469.534,334.646
472.588,334.646
475.643,334.646
478.698,334.646
481.752,334.646
484.807,334.646
487.862,334.646
490.916,334.646
493.971,334.646
497.026,334.646
500.08,334.646
503.135,334.646
506.19,334.646
509.244,334.646
512.299,334.646
515.354,334.646
518.408,334.646
521.463,334.646
524.518,334.646
527.572,334.646
530.627,334.646
533.682,334.646
536.736,334.646
539.791,334.646
542.846,334.646
545.9,334.646
548.955,334.646
552.01,334.646
555.064,334.646
558.119,334.646
561.174,334.646
564.228,334.646
567.283,334.646
570.338,334.646
573.392,334.646
576.447,334.646
579.502,334.646
582.556,334.646
585.611,334.646
588.666,334.646
591.72,334.646
594.775,334.646
597.83,334.646
600.884,334.646
603.939,334.646
606.994,334.646
610.048,334.646
613.103,59.0551
616.158,59.0551
619.212,59.0551
622.267,59.0551
625.322,59.0551
628.376,59.0551
631.431,59.0551
634.486,59.0551
637.54,59.0551
640.595,59.0551
643.65,59.0551
646.704,334.646
649.759,334.646
652.814,334.646
655.868,334.646
658.923,334.646
661.977,334.646
665.032,59.0551
668.087,59.0551
671.141,59.0551
674.196,59.0551
677.251,59.0551
680.305,59.0551
683.36,59.0551
686.415,59.0551
689.469,59.0551
692.524,59.0551
695.579,59.0551
698.633,59.0551
701.688,59.0551
704.743,59.0551
707.797,59.0551
710.852,59.0551
713.907,59.0551
716.961,59.0551
720.016,334.646
723.071,334.646
726.125,334.646
729.18,610.236
732.235,885.827
735.289,1437.01
738.344,2539.37
741.399,3090.55
744.453,3641.73
747.508,2814.96
750.563,2814.96
753.617,2814.96
756.672,3090.55
759.727,3917.32
762.781,5019.69
765.836,7500
768.891,5019.69
771.945,4468.5
775,2814.96
778.055,1437.01
781.109,1161.42
784.164,885.827
787.219,610.236
790.273,610.236
793.328,610.236
796.383,334.646
799.437,334.646
802.492,334.646
805.547,334.646
808.601,334.646
811.656,334.646
814.711,334.646
817.765,334.646
820.82,334.646
823.875,334.646
826.929,610.236
829.984,610.236
833.039,885.827
836.093,1161.42
839.148,1161.42
842.203,1437.01
845.257,1988.19
848.312,2263.78
851.367,3366.14
854.421,4744.09
857.476,7500
860.531,13287.4
863.585,25413.4
866.64,33681.1
869.695,45807.1
872.749,33681.1
875.804,24862.2
878.859,11633.9
881.913,5846.46
884.968,3090.55
888.023,1712.6
891.077,1161.42
894.132,885.827
897.186,610.236
900.241,610.236
903.296,334.646
906.35,334.646
909.405,334.646
912.46,334.646
915.514,334.646
918.569,59.0551
921.624,59.0551
924.678,59.0551
927.733,59.0551
930.788,59.0551
933.842,59.0551
936.897,59.0551
939.952,334.646
943.006,334.646
946.061,334.646
949.116,334.646
952.17,334.646
955.225,334.646
958.28,334.646
961.334,59.0551
964.389,59.0551
967.444,59.0551
970.498,59.0551
973.553,59.0551
976.608,59.0551
979.662,59.0551
982.717,59.0551
985.772,59.0551
988.826,59.0551
991.881,59.0551
994.936,59.0551
997.99,59.0551
1001.05,59.0551
1004.1,59.0551
1007.15,59.0551
1010.21,59.0551
1013.26,59.0551
1016.32,59.0551
1019.37,59.0551
1022.43,59.0551
1025.48,59.0551
1028.54,59.0551
1031.59,59.0551
1034.65,59.0551
1037.7,59.0551
1040.76,59.0551
1043.81,59.0551
1046.86,59.0551
1049.92,59.0551
1052.97,59.0551
1056.03,59.0551
1059.08,59.0551
1062.14,59.0551
1065.19,59.0551
1068.25,59.0551
1071.3,59.0551
1074.36,59.0551
1077.41,59.0551
1080.47,59.0551
1083.52,59.0551
1086.58,59.0551
1089.63,59.0551
1092.68,59.0551
1095.74,59.0551
1098.79,59.0551
1101.85,59.0551
1104.9,59.0551
1107.96,59.0551
1111.01,59.0551
1114.07,59.0551
1117.12,59.0551
1120.18,59.0551
1123.23,59.0551
1126.29,59.0551
1129.34,59.0551
1132.4,59.0551
1135.45,59.0551
1138.5,59.0551
1141.56,59.0551
1144.61,59.0551
1147.67,59.0551
1150.72,59.0551
1153.78,59.0551
1156.83,59.0551
1159.89,59.0551
1162.94,59.0551
1166,59.0551
1169.05,59.0551
1172.11,59.0551
1175.16,59.0551
1178.22,59.0551
1181.27,59.0551
1184.32,59.0551
1187.38,59.0551
1190.43,59.0551
1193.49,59.0551
1196.54,59.0551
1199.6,59.0551
1202.65,59.0551
1205.71,59.0551
1208.76,59.0551
1211.82,59.0551
1214.87,334.646
1217.93,334.646
1220.98,334.646
1224.04,334.646
1227.09,334.646
1230.14,610.236
1233.2,610.236
1236.25,885.827
1239.31,1161.42
1242.36,1437.01
1245.42,1712.6
1248.47,1988.19
1251.53,2263.78
1254.58,2814.96
1257.64,3090.55
1260.69,3641.73
1263.75,4468.5
1266.8,5295.28
1269.86,6397.64
1272.91,7500
1275.96,9153.54
1279.02,10807.1
1282.07,12460.6
1285.13,14389.8
1288.18,16318.9
1291.24,17145.7
1294.29,17145.7
1297.35,17145.7
1300.4,16594.5
1303.46,14940.9
1306.51,12736.2
1309.57,10531.5
1312.62,8877.95
1315.68,7500
1318.73,6397.64
1321.78,5570.87
1324.84,5295.28
1327.89,5295.28
1330.95,5570.87
1334,5846.46
1337.06,6397.64
1340.11,7500
1343.17,8326.77
1346.22,9153.54
1349.28,9429.13
1352.33,9429.13
1355.39,9429.13
1358.44,9153.54
1361.5,8877.95
1364.55,8326.77
1367.6,7775.59
1370.66,7224.41
1373.71,6673.23
1376.77,5846.46
