,GP550R
RamanShit,Intensity
271.027,984.252
274.077,1456.69
277.127,1929.13
280.177,2401.57
283.226,2637.8
286.276,3110.24
289.326,3346.46
292.376,3346.46
295.425,3582.68
298.475,4055.12
301.525,4527.56
304.575,5000
307.624,5708.66
310.674,6181.1
313.724,6181.1
316.774,6181.1
319.823,5944.88
322.873,5236.22
325.923,4527.56
328.973,3582.68
332.022,3110.24
335.072,2637.8
338.122,2165.35
341.172,2165.35
344.222,2165.35
347.271,2637.8
350.321,3582.68
353.371,4291.34
356.421,4763.78
359.47,4291.34
362.52,4055.12
365.57,3582.68
368.62,3110.24
371.669,2874.02
374.719,2874.02
377.769,2874.02
380.819,2874.02
383.868,2874.02
386.918,2874.02
389.968,2874.02
393.018,2874.02
396.067,2637.8
399.117,2165.35
402.167,1456.69
405.217,984.252
408.266,511.811
411.316,275.591
414.366,275.591
417.416,275.591
420.465,275.591
423.515,275.591
426.565,511.811
429.615,1220.47
432.665,2401.57
435.714,3346.46
438.764,4527.56
441.814,3346.46
444.864,2637.8
447.913,1692.91
450.963,748.031
454.013,511.811
457.063,275.591
460.112,275.591
463.162,275.591
466.212,275.591
469.262,275.591
472.311,275.591
475.361,275.591
478.411,275.591
481.461,275.591
484.51,275.591
487.56,275.591
490.61,275.591
493.66,275.591
496.709,275.591
499.759,275.591
502.809,275.591
505.859,275.591
508.909,275.591
511.958,275.591
515.008,275.591
518.058,275.591
521.108,275.591
524.157,275.591
527.207,511.811
530.257,511.811
533.307,511.811
536.356,748.031
539.406,748.031
542.456,748.031
545.506,748.031
548.555,748.031
551.605,748.031
554.655,511.811
557.705,511.811
560.754,511.811
563.804,275.591
566.854,275.591
569.904,275.591
572.953,275.591
576.003,275.591
579.053,275.591
582.103,275.591
585.152,275.591
588.202,275.591
591.252,275.591
594.302,275.591
597.352,511.811
600.401,511.811
603.451,511.811
606.501,511.811
609.551,748.031
612.6,748.031
615.65,984.252
618.7,984.252
621.75,1220.47
624.799,1220.47
627.849,1456.69
630.899,1692.91
633.949,1692.91
636.998,1692.91
640.048,1929.13
643.098,1929.13
646.148,1929.13
649.197,1929.13
652.247,1929.13
655.297,1929.13
658.347,1692.91
661.396,1692.91
664.446,1456.69
667.496,1220.47
670.546,1220.47
673.596,984.252
676.645,748.031
679.695,748.031
682.745,511.811
685.795,511.811
688.844,275.591
691.894,275.591
694.944,275.591
697.994,275.591
701.043,275.591
704.093,275.591
707.143,275.591
710.193,275.591
713.242,275.591
716.292,275.591
719.342,275.591
722.392,275.591
725.441,275.591
728.491,275.591
731.541,275.591
734.591,275.591
737.64,275.591
740.69,275.591
743.74,275.591
746.79,275.591
749.839,275.591
752.889,275.591
755.939,275.591
758.989,275.591
762.039,275.591
765.088,275.591
768.138,275.591
771.188,275.591
774.238,275.591
777.287,275.591
780.337,275.591
783.387,275.591
786.437,275.591
789.486,275.591
792.536,275.591
795.586,275.591
798.636,275.591
801.685,275.591
804.735,275.591
807.785,275.591
810.835,275.591
813.884,275.591
816.934,275.591
819.984,275.591
823.034,275.591
826.083,275.591
829.133,275.591
832.183,275.591
835.233,275.591
838.283,275.591
841.332,275.591
844.382,275.591
847.432,275.591
850.482,275.591
853.531,275.591
856.581,275.591
859.631,275.591
862.681,275.591
865.73,275.591
868.78,275.591
871.83,275.591
874.88,275.591
877.929,275.591
880.979,275.591
884.029,275.591
887.079,275.591
890.128,275.591
893.178,275.591
896.228,275.591
899.278,275.591
902.327,275.591
905.377,275.591
908.427,275.591
911.477,275.591
914.526,275.591
917.576,275.591
920.626,275.591
923.676,275.591
926.726,275.591
929.775,511.811
932.825,511.811
935.875,511.811
938.925,511.811
941.974,511.811
945.024,275.591
948.074,275.591
951.124,275.591
954.173,275.591
957.223,275.591
960.273,275.591
963.323,275.591
966.372,511.811
969.422,748.031
972.472,984.252
975.522,2165.35
978.571,984.252
981.621,748.031
984.671,511.811
987.721,511.811
990.77,511.811
993.82,511.811
996.87,748.031
999.92,984.252
1002.97,2874.02
1006.02,4291.34
1009.07,13267.7
1012.12,4291.34
1015.17,3110.24
1018.22,1456.69
1021.27,748.031
1024.32,511.811
1027.37,275.591
1030.42,275.591
1033.47,275.591
1036.52,275.591
1039.57,275.591
1042.62,275.591
1045.67,275.591
1048.72,275.591
1051.77,275.591
1054.82,275.591
1057.87,275.591
1060.91,275.591
1063.96,275.591
1067.01,275.591
1070.06,275.591
1073.11,275.591
1076.16,275.591
1079.21,275.591
1082.26,275.591
1085.31,275.591
1088.36,275.591
1091.41,275.591
1094.46,275.591
1097.51,275.591
1100.56,275.591
1103.61,275.591
1106.66,275.591
1109.71,275.591
1112.76,275.591
1115.81,275.591
1118.86,275.591
1121.91,275.591
1124.96,275.591
1128.01,275.591
1131.06,275.591
1134.11,275.591
1137.16,275.591
1140.21,275.591
1143.26,275.591
1146.31,275.591
1149.36,275.591
1152.41,275.591
1155.46,275.591
1158.51,275.591
1161.56,275.591
1164.61,275.591
1167.66,275.591
1170.71,275.591
1173.76,275.591
1176.81,275.591
1179.86,275.591
1182.91,275.591
1185.96,275.591
1189,275.591
1192.05,275.591
1195.1,275.591
1198.15,275.591
1201.2,275.591
1204.25,275.591
1207.3,511.811
1210.35,748.031
1213.4,984.252
1216.45,984.252
1219.5,1220.47
1222.55,1220.47
1225.6,1456.69
1228.65,1692.91
1231.7,1929.13
1234.75,2401.57
1237.8,3110.24
1240.85,4055.12
1243.9,5708.66
1246.95,8543.31
1250,13031.5
1253.05,18937
1256.1,24842.5
1259.15,34527.6
1262.2,35708.7
1265.25,26732.3
1268.3,22952.8
1271.35,16338.6
1274.4,11850.4
1277.45,9015.75
1280.5,7362.2
1283.55,5944.88
1286.6,4527.56
1289.65,3110.24
1292.7,2165.35
1295.75,1456.69
1298.8,1220.47
1301.85,748.031
1304.9,511.811
1307.95,511.811
1311,275.591
1314.04,275.591
1317.09,275.591
1320.14,275.591
1323.19,39.3701
1326.24,39.3701
1329.29,39.3701
1332.34,39.3701
1335.39,39.3701
1338.44,39.3701
1341.49,275.591
1344.54,275.591
1347.59,275.591
1350.64,511.811
1353.69,984.252
1356.74,1220.47
1359.79,1692.91
1362.84,2637.8
1365.89,3818.9
1368.94,6417.32
1371.99,10433.1
1375.04,16811
1378.09,26023.6
1381.14,31220.5
1384.19,36653.5
1387.24,31220.5
1390.29,27677.2
1393.34,20354.3
1396.39,13503.9
1399.44,9251.97
1402.49,6889.76
1405.54,5472.44
1408.59,4527.56
1411.64,4055.12
1414.69,3582.68
1417.74,3110.24
1420.79,2401.57
1423.84,1929.13
1426.89,1220.47
1429.94,984.252
1432.99,984.252
1436.04,984.252
1439.09,984.252
1442.13,1220.47
1445.18,1456.69
1448.23,1692.91
1451.28,2165.35
1454.33,2874.02
1457.38,3582.68
1460.43,4527.56
1463.48,5000
1466.53,5000
1469.58,5000
1472.63,4527.56
1475.68,3818.9
1478.73,3110.24
1481.78,2165.35
1484.83,1456.69
1487.88,984.252
1490.93,511.811
1493.98,275.591
1497.03,275.591
1500.08,275.591
1503.13,275.591
1506.18,275.591
1509.23,511.811
1512.28,511.811
1515.33,748.031
1518.38,984.252
1521.43,1456.69
1524.48,1929.13
1527.53,2874.02
1530.58,3818.9
1533.63,4291.34
1536.68,4527.56
1539.73,4055.12
1542.78,3818.9
1545.83,2874.02
1548.88,1929.13
1551.93,1220.47
1554.98,748.031
1558.03,511.811
1561.08,275.591
1564.13,275.591
1567.17,275.591
1570.22,275.591
1573.27,275.591
1576.32,275.591
1579.37,511.811
1582.42,748.031
1585.47,748.031
1588.52,748.031
1591.57,748.031
1594.62,748.031
1597.67,748.031
1600.72,511.811
1603.77,511.811
1606.82,275.591
1609.87,275.591
1612.92,275.591
1615.97,275.591
1619.02,275.591
1622.07,275.591
1625.12,275.591
1628.17,275.591
1631.22,275.591
1634.27,275.591
1637.32,275.591
1640.37,275.591
1643.42,275.591
1646.47,275.591
1649.52,275.591
1652.57,275.591
1655.62,275.591
1658.67,275.591
1661.72,275.591
1664.77,275.591
1667.82,275.591
1670.87,275.591
1673.92,275.591
1676.97,275.591
1680.02,275.591
1683.07,275.591
1686.12,275.591
1689.17,275.591
1692.22,275.591
1695.26,275.591
1698.31,511.811
1701.36,511.811
1704.41,748.031
1707.46,748.031
1710.51,984.252
1713.56,1220.47
1716.61,1456.69
1719.66,1692.91
1722.71,1929.13
1725.76,2165.35
1728.81,2401.57
1731.86,2874.02
1734.91,3110.24
1737.96,3582.68
1741.01,4055.12
1744.06,4055.12
1747.11,4291.34
1750.16,4291.34
1753.21,4291.34
1756.26,4055.12
1759.31,3818.9
1762.36,3582.68
1765.41,3346.46
1768.46,2874.02
1771.51,2874.02
1774.56,2637.8
1777.61,2401.57
1780.66,2401.57
1783.71,2165.35
1786.76,1929.13
1789.81,1456.69
1792.86,1220.47
1795.91,984.252
1798.96,511.811
1802.01,511.811
1805.06,275.591
1808.11,275.591
1811.16,275.591
1814.21,275.591
1817.26,275.591
1820.3,275.591
1823.35,511.811
1826.4,748.031
1829.45,984.252
1832.5,1220.47
1835.55,1692.91
1838.6,2401.57
1841.65,3346.46
1844.7,4291.34
1847.75,5236.22
1850.8,6181.1
1853.85,7125.98
1856.9,7834.65
1859.95,8307.09
1863,8307.09
1866.05,8070.87
1869.1,7834.65
1872.15,6889.76
1875.2,5708.66
1878.25,4527.56
1881.3,3582.68
1884.35,2637.8
1887.4,1929.13
