,GP550R
RamanShit,Intensity
261.817,98.0392
264.871,98.0392
267.926,98.0392
270.981,98.0392
274.035,294.118
277.09,686.275
280.145,882.353
283.199,1666.67
286.254,2254.9
289.309,2647.06
292.363,3431.37
295.418,4215.69
298.473,5392.16
301.527,7156.86
304.582,9313.73
307.637,11666.7
310.691,14215.7
313.746,15588.2
316.801,16372.5
319.855,15588.2
322.91,15392.2
325.965,14803.9
329.019,13627.5
332.074,12647.1
335.129,11666.7
338.183,10686.3
341.238,9509.8
344.293,7941.18
347.347,6176.47
350.402,5196.08
353.457,4411.76
356.511,4019.61
359.566,4019.61
362.621,4019.61
365.675,4215.69
368.73,4607.84
371.785,5588.24
374.839,5980.39
377.894,5980.39
380.949,5784.31
384.003,5392.16
387.058,4411.76
390.113,3431.37
393.167,2647.06
396.222,2058.82
399.277,1470.59
402.331,1078.43
405.386,882.353
408.441,490.196
411.495,294.118
414.55,98.0392
417.605,98.0392
420.659,98.0392
423.714,98.0392
426.768,98.0392
429.823,98.0392
432.878,98.0392
435.932,98.0392
438.987,98.0392
442.042,98.0392
445.096,98.0392
448.151,98.0392
451.206,98.0392
454.26,98.0392
457.315,98.0392
460.37,98.0392
463.424,98.0392
466.479,98.0392
469.534,98.0392
472.588,98.0392
475.643,98.0392
478.698,98.0392
481.752,98.0392
484.807,98.0392
487.862,98.0392
490.916,98.0392
493.971,98.0392
497.026,98.0392
500.08,98.0392
503.135,294.118
506.19,490.196
509.244,686.275
512.299,882.353
515.354,882.353
518.408,882.353
521.463,1078.43
524.518,1078.43
527.572,1274.51
530.627,1666.67
533.682,1862.75
536.736,2254.9
539.791,2843.14
542.846,3431.37
545.9,3823.53
548.955,4411.76
552.01,5000
555.064,5588.24
558.119,5980.39
561.174,6372.55
564.228,6764.71
567.283,7156.86
570.338,7352.94
573.392,7352.94
576.447,7549.02
579.502,7549.02
582.556,7549.02
585.611,7352.94
588.666,7156.86
591.72,6960.78
594.775,6764.71
597.83,6568.63
600.884,6176.47
603.939,5784.31
606.994,5588.24
610.048,5196.08
613.103,4607.84
616.158,4215.69
619.212,3627.45
622.267,3039.22
625.322,2450.98
628.376,2058.82
631.431,1666.67
