,GP550R
RamanShit,Intensity
258.762,88.2353
261.817,225.49
264.871,166.667
267.926,166.667
270.981,88.2353
274.035,166.667
277.09,205.882
280.145,343.137
283.199,558.824
286.254,735.294
289.309,696.078
292.363,696.078
295.418,715.686
298.473,754.902
301.527,911.765
304.582,1225.49
307.637,1500
310.691,2068.63
313.746,2186.27
316.801,1539.22
319.855,1539.22
322.91,1421.57
325.965,1539.22
329.019,1637.25
332.074,1735.29
335.129,1872.55
338.183,1735.29
341.238,1656.86
344.293,1382.35
347.347,1049.02
350.402,872.549
353.457,774.51
356.511,696.078
359.566,637.255
362.621,617.647
365.675,617.647
368.73,598.039
371.785,598.039
374.839,578.431
377.894,558.824
380.949,519.608
384.003,480.392
387.058,441.176
390.113,401.961
393.167,343.137
396.222,362.745
399.277,362.745
402.331,401.961
405.386,519.608
408.441,696.078
411.495,872.549
414.55,970.588
417.605,1166.67
420.659,1009.8
423.714,1009.8
426.768,1029.41
429.823,1049.02
432.878,1127.45
435.932,833.333
438.987,754.902
442.042,578.431
445.096,401.961
448.151,323.529
451.206,303.922
454.26,343.137
457.315,362.745
460.37,166.667
463.424,107.843
466.479,88.2353
469.534,107.843
472.588,166.667
475.643,303.922
478.698,598.039
481.752,1107.84
484.807,1833.33
487.862,2225.49
490.916,2754.9
493.971,2225.49
497.026,1990.2
500.08,1323.53
503.135,676.471
506.19,401.961
509.244,284.314
512.299,205.882
515.354,166.667
518.408,205.882
521.463,264.706
524.518,441.176
527.572,676.471
530.627,715.686
533.682,578.431
536.736,578.431
539.791,539.216
542.846,362.745
545.9,147.059
548.955,225.49
552.01,245.098
555.064,284.314
558.119,343.137
561.174,401.961
564.228,460.784
567.283,598.039
570.338,715.686
573.392,990.196
576.447,892.157
579.502,735.294
582.556,735.294
585.611,715.686
588.666,754.902
591.72,872.549
594.775,1205.88
597.83,1245.1
600.884,970.588
603.939,892.157
606.994,833.333
610.048,833.333
613.103,833.333
616.158,872.549
619.212,892.157
622.267,950.98
625.322,931.373
628.376,892.157
631.431,872.549
634.486,813.725
637.54,813.725
640.595,794.118
643.65,754.902
646.704,696.078
649.759,676.471
652.814,656.863
655.868,637.255
658.923,598.039
661.977,617.647
665.032,637.255
668.087,676.471
671.141,833.333
674.196,931.373
677.251,1068.63
680.305,931.373
683.36,852.941
686.415,656.863
689.469,460.784
692.524,343.137
695.579,284.314
698.633,225.49
701.688,166.667
704.743,127.451
707.797,127.451
710.852,107.843
713.907,107.843
716.961,127.451
720.016,166.667
723.071,186.275
726.125,186.275
729.18,166.667
732.235,166.667
735.289,147.059
738.344,107.843
741.399,88.2353
744.453,49.0196
747.508,49.0196
750.563,49.0196
753.617,49.0196
756.672,49.0196
759.727,49.0196
762.781,49.0196
765.836,68.6275
768.891,68.6275
771.945,68.6275
775,68.6275
778.055,68.6275
781.109,68.6275
784.164,68.6275
787.219,68.6275
790.273,68.6275
793.328,68.6275
796.383,68.6275
799.437,68.6275
802.492,68.6275
805.547,88.2353
808.601,88.2353
811.656,107.843
814.711,166.667
817.765,245.098
820.82,245.098
823.875,264.706
826.929,284.314
829.984,343.137
833.039,421.569
836.093,460.784
839.148,460.784
842.203,441.176
845.257,441.176
848.312,441.176
851.367,441.176
854.421,441.176
857.476,500
860.531,578.431
863.585,696.078
866.64,852.941
869.695,1029.41
872.749,1343.14
875.804,1245.1
878.859,1088.24
881.913,1088.24
884.968,1068.63
888.023,1029.41
891.077,990.196
894.132,931.373
897.186,813.725
900.241,696.078
903.296,637.255
906.35,598.039
909.405,598.039
912.46,578.431
915.514,598.039
918.569,617.647
921.624,637.255
924.678,676.471
927.733,715.686
930.788,813.725
933.842,656.863
936.897,578.431
939.952,480.392
943.006,441.176
946.061,441.176
949.116,401.961
952.17,323.529
955.225,284.314
958.28,264.706
961.334,245.098
964.389,264.706
967.444,323.529
970.498,421.569
973.553,539.216
976.608,617.647
979.662,794.118
982.717,911.765
985.772,1049.02
988.826,1205.88
991.881,833.333
994.936,617.647
997.99,382.353
1001.05,264.706
1004.1,205.882
1007.15,166.667
1010.21,147.059
1013.26,127.451
1016.32,107.843
1019.37,88.2353
1022.43,49.0196
1025.48,49.0196
1028.54,49.0196
1031.59,49.0196
1034.65,49.0196
1037.7,68.6275
1040.76,88.2353
1043.81,107.843
1046.86,127.451
1049.92,127.451
1052.97,147.059
1056.03,186.275
1059.08,303.922
1062.14,441.176
1065.19,617.647
1068.25,1088.24
1071.3,1460.78
1074.36,1892.16
1077.41,1460.78
1080.47,1205.88
1083.52,950.98
1086.58,931.373
1089.63,892.157
1092.68,931.373
1095.74,1107.84
1098.79,833.333
1101.85,715.686
1104.9,500
1107.96,343.137
1111.01,205.882
1114.07,127.451
1117.12,107.843
1120.18,68.6275
1123.23,107.843
1126.29,147.059
1129.34,284.314
1132.4,480.392
1135.45,656.863
1138.5,931.373
1141.56,1264.71
1144.61,1598.04
1147.67,1931.37
1150.72,2303.92
1153.78,2598.04
1156.83,2774.51
1159.89,2970.59
1162.94,3205.88
1166,3343.14
1169.05,3460.78
1172.11,3343.14
1175.16,2852.94
1178.22,2088.24
1181.27,1578.43
1184.32,1088.24
1187.38,735.294
1190.43,578.431
1193.49,460.784
1196.54,362.745
1199.6,284.314
1202.65,323.529
1205.71,343.137
1208.76,421.569
1211.82,617.647
1214.87,813.725
1217.93,1049.02
1220.98,1264.71
1224.04,1421.57
1227.09,1519.61
1230.14,1539.22
1233.2,1558.82
1236.25,1558.82
1239.31,1558.82
1242.36,1578.43
1245.42,1578.43
1248.47,1637.25
1251.53,1696.08
1254.58,1696.08
1257.64,1696.08
1260.69,1696.08
1263.75,1696.08
1266.8,1754.9
1269.86,1950.98
1272.91,2186.27
1275.96,2421.57
1279.02,2460.78
1282.07,2245.1
1285.13,2107.84
1288.18,1735.29
1291.24,1303.92
1294.29,872.549
1297.35,519.608
1300.4,303.922
1303.46,166.667
1306.51,127.451
1309.57,88.2353
1312.62,88.2353
1315.68,68.6275
1318.73,88.2353
1321.78,107.843
1324.84,166.667
1327.89,343.137
1330.95,598.039
1334,931.373
1337.06,1362.75
1340.11,1852.94
1343.17,2382.35
1346.22,2754.9
1349.28,3225.49
1352.33,3264.71
1355.39,2813.73
1358.44,2696.08
1361.5,2362.75
1364.55,2127.45
1367.6,2068.63
1370.66,2029.41
1373.71,2107.84
1376.77,2147.06
1379.82,2166.67
1382.88,2225.49
1385.93,2147.06
1388.99,2088.24
1392.04,1950.98
1395.1,1754.9
1398.15,1558.82
1401.21,1382.35
1404.26,1205.88
1407.32,1068.63
1410.37,931.373
1413.42,754.902
1416.48,617.647
1419.53,460.784
1422.59,303.922
1425.64,186.275
1428.7,107.843
1431.75,68.6275
1434.81,107.843
1437.86,166.667
1440.92,225.49
1443.97,323.529
1447.03,421.569
1450.08,519.608
1453.14,637.255
1456.19,774.51
1459.24,892.157
1462.3,1049.02
1465.35,1245.1
1468.41,1382.35
1471.46,1519.61
1474.52,1441.18
1477.57,1401.96
1480.63,1343.14
1483.68,1264.71
1486.74,1147.06
1489.79,1009.8
1492.85,911.765
1495.9,852.941
1498.95,833.333
1502.01,813.725
1505.06,813.725
1508.12,813.725
1511.17,794.118
