,GP550R
RamanShit,Intensity
258.762,19.7628
261.817,19.7628
264.871,19.7628
267.926,19.7628
270.981,75.0988
274.035,185.771
277.09,241.107
280.145,351.779
283.199,407.115
286.254,407.115
289.309,407.115
292.363,407.115
295.418,462.451
298.473,573.123
301.527,849.802
304.582,1015.81
307.637,1181.82
310.691,1015.81
313.746,960.474
316.801,739.13
319.855,573.123
322.91,517.787
325.965,517.787
329.019,517.787
332.074,573.123
335.129,573.123
338.183,628.458
341.238,628.458
344.293,573.123
347.347,462.451
350.402,351.779
353.457,241.107
356.511,75.0988
359.566,19.7628
362.621,19.7628
365.675,19.7628
368.73,19.7628
371.785,19.7628
374.839,19.7628
377.894,19.7628
380.949,19.7628
384.003,19.7628
387.058,19.7628
390.113,75.0988
393.167,75.0988
396.222,75.0988
399.277,75.0988
402.331,130.435
405.386,241.107
408.441,296.443
411.495,351.779
414.55,351.779
417.605,296.443
420.659,296.443
423.714,296.443
426.768,296.443
429.823,296.443
432.878,351.779
435.932,351.779
438.987,296.443
442.042,241.107
445.096,185.771
448.151,130.435
451.206,130.435
454.26,130.435
457.315,75.0988
460.37,75.0988
463.424,75.0988
466.479,130.435
469.534,185.771
472.588,296.443
475.643,462.451
478.698,739.13
481.752,1126.48
484.807,1347.83
487.862,1624.51
490.916,1347.83
493.971,1292.49
497.026,960.474
500.08,573.123
503.135,351.779
506.19,296.443
509.244,185.771
512.299,185.771
515.354,185.771
518.408,241.107
521.463,296.443
524.518,351.779
527.572,351.779
530.627,296.443
533.682,296.443
536.736,296.443
539.791,185.771
542.846,75.0988
545.9,75.0988
548.955,75.0988
552.01,75.0988
555.064,130.435
558.119,130.435
561.174,185.771
564.228,241.107
567.283,296.443
570.338,351.779
573.392,351.779
576.447,296.443
579.502,241.107
582.556,241.107
585.611,296.443
588.666,351.779
591.72,351.779
594.775,407.115
597.83,296.443
600.884,241.107
603.939,130.435
606.994,75.0988
610.048,75.0988
613.103,75.0988
616.158,130.435
619.212,130.435
622.267,185.771
625.322,130.435
628.376,130.435
631.431,130.435
634.486,130.435
637.54,75.0988
640.595,75.0988
643.65,75.0988
646.704,75.0988
649.759,75.0988
652.814,75.0988
655.868,19.7628
658.923,19.7628
661.977,19.7628
665.032,75.0988
668.087,185.771
671.141,185.771
674.196,241.107
677.251,241.107
680.305,241.107
683.36,185.771
686.415,130.435
689.469,130.435
692.524,130.435
695.579,75.0988
698.633,19.7628
701.688,19.7628
704.743,19.7628
707.797,19.7628
710.852,19.7628
713.907,19.7628
716.961,19.7628
720.016,75.0988
723.071,75.0988
726.125,75.0988
729.18,75.0988
732.235,75.0988
735.289,19.7628
738.344,19.7628
741.399,19.7628
744.453,19.7628
747.508,19.7628
750.563,19.7628
753.617,19.7628
756.672,19.7628
759.727,19.7628
762.781,19.7628
765.836,19.7628
768.891,19.7628
771.945,19.7628
775,19.7628
778.055,19.7628
781.109,19.7628
784.164,19.7628
787.219,19.7628
790.273,19.7628
793.328,19.7628
796.383,19.7628
799.437,19.7628
802.492,19.7628
805.547,19.7628
808.601,19.7628
811.656,75.0988
814.711,75.0988
817.765,75.0988
820.82,75.0988
823.875,75.0988
826.929,75.0988
829.984,75.0988
833.039,130.435
836.093,130.435
839.148,130.435
842.203,130.435
845.257,130.435
848.312,130.435
851.367,130.435
854.421,185.771
857.476,241.107
860.531,351.779
863.585,407.115
866.64,573.123
869.695,573.123
872.749,573.123
875.804,517.787
878.859,462.451
881.913,407.115
884.968,351.779
888.023,351.779
891.077,296.443
894.132,241.107
897.186,241.107
900.241,185.771
903.296,185.771
906.35,185.771
909.405,241.107
912.46,241.107
915.514,296.443
918.569,407.115
921.624,573.123
924.678,628.458
927.733,739.13
930.788,573.123
933.842,517.787
936.897,296.443
939.952,185.771
943.006,130.435
946.061,130.435
949.116,75.0988
952.17,75.0988
955.225,19.7628
958.28,19.7628
961.334,19.7628
964.389,75.0988
967.444,75.0988
970.498,130.435
973.553,185.771
976.608,296.443
979.662,351.779
982.717,351.779
985.772,351.779
988.826,296.443
991.881,241.107
994.936,130.435
997.99,75.0988
1001.05,75.0988
1004.1,19.7628
1007.15,19.7628
1010.21,19.7628
1013.26,19.7628
1016.32,19.7628
1019.37,19.7628
1022.43,19.7628
1025.48,19.7628
1028.54,19.7628
1031.59,19.7628
1034.65,19.7628
1037.7,19.7628
1040.76,19.7628
1043.81,19.7628
1046.86,19.7628
1049.92,19.7628
1052.97,19.7628
1056.03,19.7628
1059.08,75.0988
1062.14,75.0988
1065.19,130.435
1068.25,130.435
1071.3,241.107
1074.36,130.435
1077.41,130.435
1080.47,130.435
1083.52,130.435
1086.58,130.435
1089.63,130.435
1092.68,130.435
1095.74,75.0988
1098.79,75.0988
1101.85,19.7628
1104.9,19.7628
1107.96,19.7628
1111.01,19.7628
1114.07,19.7628
1117.12,19.7628
1120.18,75.0988
1123.23,185.771
1126.29,351.779
1129.34,628.458
1132.4,960.474
1135.45,1292.49
1138.5,1735.18
1141.56,2122.53
1144.61,2454.55
1147.67,2620.55
1150.72,2675.89
1153.78,2565.22
1156.83,2509.88
1159.89,2343.87
1162.94,2122.53
1166,1845.85
1169.05,1624.51
1172.11,1347.83
